naics6,naics6_title,weighted_auto_output,weighted_total_output,auto_share_of_output
333613,Mechanical Power Transmission Equipment Manufacturing,1034688296.6458644,2936818693.2299657,0.3523160278947611
333618,Other Engine Equipment Manufacturing,15960886920.257238,45645772811.55811,0.3496684564011967
333912,Air and Gas Compressor Manufacturing,8045566.329867162,5922449398.2446575,0.0013584862932305966
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",4918321.258597946,11784227128.83855,0.0004173647711322324
333921,Elevator and Moving Stairway Manufacturing,1255449.7838627826,4823152248.976468,0.00026029652788364796
333922,Conveyor and Conveying Equipment Manufacturing,10867333.19615705,10963676507.10096,0.0009912124996681987
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",23731589.992405217,8458113663.830832,0.002805778089018581
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",61102516.76101289,14527755161.450268,0.004205915923139304
333991,Power-Driven Handtool Manufacturing,13482957.312916616,7702273228.476635,0.0017505166219068669
333992,Welding and Soldering Equipment Manufacturing,49600473.81697791,7122467081.594393,0.00696394567342453
333993,Packaging Machinery Manufacturing,4216460.710224915,10148092063.475529,0.00041549295018721553
333994,Industrial Process Furnace and Oven Manufacturing,1276480.0136202858,2282281753.778907,0.0005592999249574438
333995,Fluid Power Cylinder and Actuator Manufacturing,1520259876.2548459,3842842187.864954,0.3956081988106536
333996,Fluid Power Pump and Motor Manufacturing,2570739050.692974,7888840481.839627,0.3258703299440394
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,68503382.25984077,7220312774.514149,0.00948759207518546
334111,Electronic Computer Manufacturing,301995398.86347574,57209726169.51361,0.005278742253872306
334112,Computer Storage Device Manufacturing,717375.000215431,10120845327.371353,7.08809370177137e-05
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,32063437.505289193,9971650503.500603,0.003215459416074916
334210,Telephone Apparatus Manufacturing,318272.39800053753,6926155564.686018,4.595224508431406e-05
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,1566278.944969644,12111284168.18492,0.00012932393652228023
334290,Other Communications Equipment Manufacturing,2501545.720764192,8588984852.553159,0.00029125045202758545
334310,Audio and Video Equipment Manufacturing,865514103.225127,14868450489.329166,0.05821145275671407
334412,Bare Printed Circuit Board Manufacturing,728706512.9625652,6885878499.971289,0.10582622289452298
334413,Semiconductor and Related Device Manufacturing,8545803496.22234,145856687563.012,0.05859041254128605
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",102576726.74513324,3087838833.114828,0.03321958570022255
334417,Electronic Connector Manufacturing,71900098.06574439,7172066893.121158,0.010025017772032341
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,934648492.7121739,29754433033.236526,0.03141207535926313
334419,Other Electronic Component Manufacturing,2379263001.343701,16691932276.996418,0.14253969893123905
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,698938.7005814074,33818037356.2428,2.066763050790656e-05
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",10725798.57731427,73314159654.49841,0.00014629914095531962
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",16951119.728223696,3943630505.0073204,0.004298353942312917
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",8221577.384997308,14972123994.376194,0.0005491256543216904
334514,Totalizing Fluid Meter and Counting Device Manufacturing,321194894.3627491,3231205437.256534,0.09940404613686857
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,2614160.516012547,12499052800.308584,0.00020914868972695332
334516,Analytical Laboratory Instrument Manufacturing,21468142.64869165,17315484098.33464,0.001239823416242599
334517,Irradiation Apparatus Manufacturing,42020.7477822227,9770683970.758272,4.300696646005796e-06
334519,Other Measuring and Controlling Device Manufacturing,648573.1578951883,18951559069.208134,3.4222680863706275e-05
334610,Manufacturing and Reproducing Magnetic and Optical Media,25493138.739159744,9666704507.07799,0.0026372109254496805
335131,Residential Electric Lighting Fixture Manufacturing,20021919.84812509,3404291663.0041485,0.005881376165770873
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",20021919.84812509,3404291663.0041485,0.005881376165770873
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,249878641.77236602,8155695277.662098,0.03063854561324365
335210,Small Electrical Appliance Manufacturing,124144.31850593859,4867165032.250606,2.5506494578124778e-05
335220,Major Household Appliance Manufacturing,4115418.1375648268,30178439867.92081,0.00013636947952168493
335311,"Power, Distribution, and Specialty Transformer Manufacturing",1652627.471106086,11359683285.46262,0.00014548182634818794
335312,Motor and Generator Manufacturing,213416925.21625355,13428763888.836607,0.015892521976178912
335313,Switchgear and Switchboard Apparatus Manufacturing,23053001.396864865,16836493398.338984,0.001369228190897469
335314,Relay and Industrial Control Manufacturing,207164795.89876348,14055141248.583076,0.014739431801843195
335910,Battery Manufacturing,3029886877.7646694,19855656119.947636,0.15259565634402517
335921,Fiber Optic Cable Manufacturing,80767454.50115852,6654672896.826833,0.012136953348927353
335929,Other Communication and Energy Wire Manufacturing,568978974.4185492,5559189880.681073,0.10234926070718092
335931,Current-Carrying Wiring Device Manufacturing,1302535711.138362,11898381149.512932,0.10947167474053242
335932,Noncurrent-Carrying Wiring Device Manufacturing,434178570.379454,3966127049.837644,0.10947167474053243
335991,Carbon and Graphite Product Manufacturing,0.0,3633029398.5452986,0.0
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,49931176.74580931,9393857540.740206,0.00531530061311478
336110,Automobile and Light Duty Motor Vehicle Manufacturing,724026849.7427362,333618755870.1466,0.0021702222582010555
336120,Heavy Duty Truck Manufacturing,364637443.84349746,30451948069.063957,0.011974191044084025
336211,Motor Vehicle Body Manufacturing,1924988596.93958,16269524397.051062,0.1183186766841503
336212,Truck Trailer Manufacturing,66423575.72078622,16628182487.499123,0.003994638365962287
336213,Motor Home Manufacturing,1357878.6443168889,8598618390.470337,0.00015791823554139772
336214,Travel Trailer and Camper Manufacturing,65891966.25156498,16990998326.209688,0.0038780514827031947
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,15737131810.935394,33419690526.78299,0.47089400179584084
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,8654161568.355864,28646028232.494118,0.3021068574714022
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,4009465571.352458,8972874312.959713,0.4468429436887912
336340,Motor Vehicle Brake System Manufacturing,5102956181.721311,11420021852.857817,0.44684294368879124
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,25896802431.04591,49920034759.46266,0.5187657131215639
336360,Motor Vehicle Seating and Interior Trim Manufacturing,30875488747.33787,34816772176.318665,0.8867992871647781
336370,Motor Vehicle Metal Stamping,32285775663.495422,34220468562.768093,0.9434638688326548
336390,Other Motor Vehicle Parts Manufacturing,24967881774.815235,65540256465.341095,0.3809548988875061
336411,Aircraft Manufacturing,5784430.441730652,78436795237.3066,7.374638936012298e-05
336412,Aircraft Engine and Engine Parts Manufacturing,305185.453541287,51680463278.684235,5.905238346947282e-06
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,1761044.2585465373,27514029483.60798,6.400531988946635e-05
336414,Guided Missile and Space Vehicle Manufacturing,3026.982541235279,41839148790.969604,7.234809093173069e-08
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,1789100.5833854438,3672888407.358936,0.00048710997584376176
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,1789100.5833854438,3672888407.358936,0.00048710997584376176
336510,Railroad Rolling Stock Manufacturing,23118331.53143842,7798938652.975197,0.002964292009479914
336611,Ship Building and Repairing,0.0,33808603449.82783,0.0
336612,Boat Building,29250860.94500077,17023996995.704594,0.001718213469632378
336991,"Motorcycle, Bicycle, and Parts Manufacturing",0.0,6576504172.483894,0.0
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",10793085.457657116,3917030993.193722,0.002755425085073696
336999,All Other Transportation Equipment Manufacturing,13862717.61761574,13816629464.232431,0.0010033357016269865
337110,Wood Kitchen Cabinet and Countertop Manufacturing,61552389.7223808,24690752646.55934,0.0024929329050225667
337121,Upholstered Household Furniture Manufacturing,1678112.874015974,10762244624.49317,0.00015592591811162276
337122,Nonupholstered Wood Household Furniture Manufacturing,3811135.7144595366,5471416637.984511,0.000696553738569511
337126,Household Furniture (except Wood and Upholstered) Manufacturing,133383.8953221619,4334442073.894025,3.077302523559416e-05
337127,Institutional Furniture Manufacturing,3319421.7925359826,4625362246.678029,0.0007176566105541284
337211,Wood Office Furniture Manufacturing,122087.79477878164,4680624833.027156,2.6083653173250022e-05
337212,Custom Architectural Woodwork and Millwork Manufacturing,1130803.9430748213,5796584448.213203,0.0001950810780343917
337214,Office Furniture (except Wood) Manufacturing,1084200.073490012,9359004411.496092,0.00011584566325860896
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",3053361.025363099,10295581012.150799,0.00029657005483804514
337910,Mattress Manufacturing,6615186.858775318,10209255593.021004,0.0006479597653816627
337920,Blind and Shade Manufacturing,366146.70386546105,2561481447.472797,0.0001429433362582844
339112,Surgical and Medical Instrument Manufacturing,14742860.200465571,48032707581.40447,0.0003069337737307394
339113,Surgical Appliance and Supplies Manufacturing,34837871.75296975,39765239891.79698,0.0008760885599524905
339114,Dental Equipment and Supplies Manufacturing,1592253.5887558612,5097991303.772651,0.0003123296007934636
339115,Ophthalmic Goods Manufacturing,3473721.997905335,6521918621.290835,0.0005326227142064227
339116,Dental Laboratories,0.0,6273447670.866156,0.0
339910,Jewelry and Silverware Manufacturing,1449017.9376753601,4327177037.607155,0.0003348644913489925
339920,Sporting and Athletic Goods Manufacturing,68598445.1536348,17030368822.848675,0.004028007018943723
339930,"Doll, Toy, and Game Manufacturing",1798847.5137144006,6105209963.811684,0.00029464138406000385
339940,Office Supplies (except Paper) Manufacturing,7543173.332247159,3528930419.181521,0.0021375239622878927
339950,Sign Manufacturing,10159433.364838757,15460190478.897182,0.0006571350707939955
339991,"Gasket, Packing, and Sealing Device Manufacturing",515865517.2657002,5062432383.521818,0.10190072245603495
339992,Musical Instrument Manufacturing,328664.34809687774,2075293476.6531944,0.00015837005791918718
339993,"Fastener, Button, Needle, and Pin Manufacturing",10454.025490024578,1283649127.9870687,8.143989866154367e-06
339994,"Broom, Brush, and Mop Manufacturing",568790.3189061768,2568176226.0392346,0.0002214763586466933
339995,Burial Casket Manufacturing,0.0,840011411.9357312,0.0
339999,All Other Miscellaneous Manufacturing,93935750.83228199,24714006203.779156,0.003800911517854914
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,22417040133.80387,55509730622.40708,0.4038398292056384
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,28925213075.875965,71625458867.62204,0.40383982920563843
423130,Tire and Tube Merchant Wholesalers,5785042615.175193,14325091773.524408,0.4038398292056384
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,4338781961.381394,10743818830.143307,0.4038398292056384
423210,Furniture Merchant Wholesalers,637975821.398601,15270673989.809889,0.04177784306208894
423220,Home Furnishing Merchant Wholesalers,1311394743.9860132,31389718756.83144,0.04177784306208893
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",1134179238.0419574,27147864870.773136,0.04177784306208893
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",1098736136.8531463,26299494093.561474,0.04177784306208894
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",673418922.5874122,16119044767.02155,0.04177784306208894
423390,Other Construction Material Merchant Wholesalers,1027849934.4755238,24602752539.138153,0.04177784306208893
423410,Photographic Equipment and Supplies Merchant Wholesalers,258792444.75261313,25758336861.19425,0.010046939216114227
423420,Office Equipment Merchant Wholesalers,376425374.1856191,37466671798.10072,0.010046939216114227
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,352898788.2990179,35125004810.71943,0.010046939216114227
423440,Other Commercial Equipment Merchant Wholesalers,423478545.95882154,42150005772.86331,0.010046939216114228
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",517584889.50522625,51516673722.3885,0.010046939216114227
423460,Ophthalmic Goods Merchant Wholesalers,152922808.26290777,15220835417.978418,0.010046939216114228
423490,Other Professional Equipment and Supplies Merchant Wholesalers,317608909.46911615,31612504329.647484,0.010046939216114228
423510,Metal Service Centers and Other Metal Merchant Wholesalers,2126586071.32867,50902246632.69963,0.04177784306208893
423520,Coal and Other Mineral and Ore Merchant Wholesalers,567089619.0209787,13573932435.386568,0.04177784306208893
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",2810294463.134585,82561309695.996,0.03403887939135826
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",3022392158.465497,88792351937.20325,0.03403887939135826
423690,Other Electronic Parts and Equipment Merchant Wholesalers,3499611972.960049,102812196979.91956,0.03403887939135825
423710,Hardware Merchant Wholesalers,744305124.9650345,17815786321.44487,0.04177784306208893
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,1311394743.9860132,31389718756.83144,0.04177784306208893
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,673418922.5874122,16119044767.02155,0.04177784306208894
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,673418922.5874122,16119044767.02155,0.04177784306208894
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,1502586652.8884854,13951694560.537048,0.1076992222248482
