naics6,naics6_title,weighted_auto_output,weighted_total_output,auto_share_of_output
333310,Commercial and Service Industry Machinery Manufacturing,79216.1386707877,14940843.498839002,0.005301985706291836
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,659873.6046321213,29839520.715132996,0.02211408188930692
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,11532.294284675285,9801531.012785401,0.0011765809106385754
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,38516256.41540443,196924377.458149,0.1955890728845393
333511,Industrial Mold Manufacturing,2770313.724996513,175038064.32572,0.015826921622267075
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",60150961.27047655,420211343.49026996,0.14314454429255394
333515,Cutting Tool and Machine Tool Accessory Manufacturing,14878777.907505533,183539756.845455,0.0810656947749682
333517,Machine Tool Manufacturing,9337649.213018056,234056659.48013002,0.03989482390186281
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,4918050.849936492,165636479.243612,0.029691834023489506
333611,Turbine and Turbine Generator Set Units Manufacturing,78355.19985343106,522539.6488731,0.1499507262700745
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",13169519.728689121,17345018.19017,0.7592681416818995
333613,Mechanical Power Transmission Equipment Manufacturing,7013462.726926034,12908706.5220445,0.5433125863500715
333618,Other Engine Equipment Manufacturing,173664853.95900777,239708357.823403,0.7244839334594644
333912,Air and Gas Compressor Manufacturing,169862.9525386925,9370248.459035,0.018127902721182053
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",60057.402774986505,17685408.210512497,0.0033958731435606558
333921,Elevator and Moving Stairway Manufacturing,4358.069210290391,665170.6969741299,0.006551805769729942
333922,Conveyor and Conveying Equipment Manufacturing,615996.2947764342,60566967.05046999,0.010170499279964428
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",510776.2676427886,17530427.850977,0.029136554565855743
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",278653.47710488166,7165157.6491747005,0.038890069241809024
333991,Power-Driven Handtool Manufacturing,156961.8217222965,4489843.505128001,0.03495930794537162
333992,Welding and Soldering Equipment Manufacturing,827050.5469789687,22778750.719063003,0.036307985331558566
333993,Packaging Machinery Manufacturing,232041.84625137656,17821991.657221,0.013019972779381215
333994,Industrial Process Furnace and Oven Manufacturing,74791.90061878403,8403383.502002,0.00890021270610413
333995,Fluid Power Cylinder and Actuator Manufacturing,33195431.953447007,45265691.7725669,0.7333463966536566
333996,Fluid Power Pump and Motor Manufacturing,21633220.073391676,30465130.535911802,0.7100977311714055
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,3584660.09569721,37763207.805314004,0.09492467149977603
334111,Electronic Computer Manufacturing,203274.42102391698,5889405.2680797,0.03451527136800295
334112,Computer Storage Device Manufacturing,1353.0284924882149,1869817.8314828998,0.0007236151403129823
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,96405.17071839831,1872435.2654181,0.051486517317260526
334210,Telephone Apparatus Manufacturing,365.11130981614633,506846.59869546,0.0007203586070339289
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,1094.426614111752,1187997.02801221,0.0009212368282965972
334290,Other Communications Equipment Manufacturing,16749.843970276142,4238057.471632999,0.00395224559421138
334310,Audio and Video Equipment Manufacturing,1539567.2256812975,4803904.2316459995,0.32048249745265706
334412,Bare Printed Circuit Board Manufacturing,5501069.538769107,11846945.776165,0.4643449579921915
334413,Semiconductor and Related Device Manufacturing,5846355.4801046625,17330801.0402409,0.33733902238735747
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",223544.64640194396,1096840.928546,0.20380771776841003
334417,Electronic Connector Manufacturing,58141.22791529521,659696.3515196999,0.08813331736845144
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,19543566.662205055,141723244.83103,0.13789951454686164
334419,Other Electronic Component Manufacturing,12840322.499242725,24126975.7803948,0.5321977613819536
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,959.6720259091614,4111821.0951442304,0.0002333934292623933
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",22601.965241768394,20304406.5581236,0.0011131556678136729
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",279875.47738543455,6000881.385093,0.046639061735278264
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",58608.987429309,11283639.818794,0.005194156173940436
334514,Totalizing Fluid Meter and Counting Device Manufacturing,1466935.989059974,3450389.8171456996,0.4251507994170589
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,4201.1740049247255,4497269.637817101,0.0009341610228565048
334516,Analytical Laboratory Instrument Manufacturing,336095.35917673324,15292578.151331,0.02197767805080538
334517,Irradiation Apparatus Manufacturing,9.847332617245472,279222.50637162,3.526697308611491e-05
334519,Other Measuring and Controlling Device Manufacturing,8483.116019625695,39098912.19337641,0.00021696552522151207
334610,Manufacturing and Reproducing Magnetic and Optical Media,116109.33723673646,5587357.263040001,0.020780725443277463
335131,Residential Electric Lighting Fixture Manufacturing,39350.31756091956,915220.2995998535,0.04299545975774799
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",39350.31756091956,915220.2995998535,0.04299545975774799
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,398727.08530236845,2308775.0385449934,0.17270070866395415
335210,Small Electrical Appliance Manufacturing,9672.80487655284,15104574.39043,0.0006403891050833822
335220,Major Household Appliance Manufacturing,192291.26470007695,70433555.50851999,0.002730108728883017
335311,"Power, Distribution, and Specialty Transformer Manufacturing",3843.380578853261,3292053.54087438,0.0011674720751450617
335312,Motor and Generator Manufacturing,557852.2167095178,6620428.6581678,0.08426225030327614
335313,Switchgear and Switchboard Apparatus Manufacturing,114368.31387639408,9203126.493002549,0.012427115281241892
335314,Relay and Industrial Control Manufacturing,984507.4421213923,10779824.158491902,0.09132871071425018
335910,Battery Manufacturing,126598072.09323652,230093318.98259997,0.5502031638859104
335921,Fiber Optic Cable Manufacturing,250738.39938498562,1372476.5034,0.18269048596740123
335929,Other Communication and Energy Wire Manufacturing,535861.4603327622,1173275.1587417,0.45672275283443015
335931,Current-Carrying Wiring Device Manufacturing,3042470.8310243217,6234764.647645799,0.4879848723998164
335932,Noncurrent-Carrying Wiring Device Manufacturing,1014156.9436747739,2078254.8825486,0.48798487239981636
335991,Carbon and Graphite Product Manufacturing,0.0,3367028.3664222,0.0
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,487285.92012965615,17695321.4836805,0.027537556781833845
336110,Automobile and Light Duty Motor Vehicle Manufacturing,38376690.84978161,5879615741.85007,0.006527074648199045
336120,Heavy Duty Truck Manufacturing,2855487.612977678,95151424.76712,0.030009930171475522
336211,Motor Vehicle Body Manufacturing,179676038.36173198,404346712.5302299,0.4443613186252849
336212,Truck Trailer Manufacturing,1098638.0729258526,101073083.35085799,0.010869739365842018
336214,Travel Trailer and Camper Manufacturing,349052.62917826895,58435524.4603,0.0059732950530016855
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,652859033.8225822,799362811.8640801,0.8167243010719285
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,1372644731.2755272,1868958852.838738,0.7344435267746181
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,693326891.1280733,837599391.5483129,0.8277547693133467
336340,Motor Vehicle Brake System Manufacturing,882416043.2539115,1066035589.2433074,0.8277547693133467
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,975895726.6468875,1139806202.58351,0.8561944341370495
336360,Motor Vehicle Seating and Interior Trim Manufacturing,3283320748.673665,3356181175.3716803,0.9782906753566585
336370,Motor Vehicle Metal Stamping,4616022414.266631,4771430736.66604,0.9674294082893891
336390,Other Motor Vehicle Parts Manufacturing,3497621703.337977,4598444508.993678,0.7606097445554247
336411,Aircraft Manufacturing,2886.35944663604,5224758.916519953,0.0005524387809569121
336412,Aircraft Engine and Engine Parts Manufacturing,9748.609218395373,75928314.23395601,0.0001283922778577334
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,4455.534308739864,4253822.7763148,0.001047418884855333
336414,Guided Missile and Space Vehicle Manufacturing,0.18235550333284012,560248.131247318,3.254906052552997e-07
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,20531.170571232928,12914583.5887395,0.0015897663622026878
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,20531.170571232928,12914583.5887395,0.0015897663622026878
336510,Railroad Rolling Stock Manufacturing,12467.529282170668,7688685.4937116,0.0016215423679857338
336611,Ship Building and Repairing,0.0,14892133.7955141,0.0
336612,Boat Building,1091419.1972572508,283459995.001133,0.0038503464915847765
336991,"Motorcycle, Bicycle, and Parts Manufacturing",0.0,4825613.5697637,0.0
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",600798.9388955939,7605407.236662,0.07899628779895335
336999,All Other Transportation Equipment Manufacturing,188640.7924261834,41926207.6497611,0.0044993526245452895
337110,Wood Kitchen Cabinet and Countertop Manufacturing,1307637.8966558243,35583314.916933,0.03674862501451656
337121,Upholstered Household Furniture Manufacturing,4274.1911475690395,3196414.6972998003,0.0013371829228478083
337122,Nonupholstered Wood Household Furniture Manufacturing,113062.61292230617,10863432.1994013,0.010407632767159648
337126,Household Furniture (except Wood and Upholstered) Manufacturing,4344.394141389913,21976042.951405,0.00019768773436585233
337127,Institutional Furniture Manufacturing,396614.24836510734,35518364.08626,0.011166455960693709
337211,Wood Office Furniture Manufacturing,105489.77037473516,66927561.42199999,0.0015761783058191518
337212,Custom Architectural Woodwork and Millwork Manufacturing,89517.47175261533,13465989.6341723,0.006647671220943845
337214,Office Furniture (except Wood) Manufacturing,380844.0687731132,180826189.55488,0.0021061333522018866
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",628823.6831863364,68840218.613398,0.009134539312226296
337910,Mattress Manufacturing,65057.429314270805,10900990.2935544,0.005968029285627228
337920,Blind and Shade Manufacturing,4560.480648517796,3895049.5436692,0.0011708402158658422
339112,Surgical and Medical Instrument Manufacturing,298376.3043530785,45992177.981831305,0.00648754456618577
339113,Surgical Appliance and Supplies Manufacturing,1216601.0873790334,121796258.56232399,0.009988821510116342
339114,Dental Equipment and Supplies Manufacturing,22311.01796767303,2963471.5611496,0.0075286762525968234
339115,Ophthalmic Goods Manufacturing,6960.693580679996,2140129.8257958996,0.003252463236940012
339116,Dental Laboratories,0.0,8061092.486599999,0.0
339910,Jewelry and Silverware Manufacturing,43874.263813982994,33278392.899240997,0.0013184009199850412
339920,Sporting and Athletic Goods Manufacturing,381065.6769730131,20955775.061394904,0.018184279791923275
339930,"Doll, Toy, and Game Manufacturing",101787.5696574846,15508963.515873,0.0065631445681916655
339940,Office Supplies (except Paper) Manufacturing,140881.83065987824,7297478.889842999,0.019305548229261026
339950,Sign Manufacturing,1040186.4705825849,90193315.838837,0.011532855410718622
339991,"Gasket, Packing, and Sealing Device Manufacturing",47125805.46267494,107418078.4828152,0.43871391229749235
339992,Musical Instrument Manufacturing,936.6291862239377,17883183.465051,5.237485753330142e-05
