segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,empl_2021,ep_openings_annual_avg,openings,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,employment_auto_pct_change,employment_raw_pct_change
3,3. Forging & Foundries,2030,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,53-0000,Transportation and Material Moving Occupations,550.8589784664686,550.8589784664686,992.266431571552,0.03217448700582848,0.031407035175879394,0.017353971962616777,No formal educational credential,Less than 5 years,Short-term on-the-job training,HS or less,43472.41152918401,710.0,1231.8999999999999,0.0,557.4468393033463,1001.6959798994974,-6.5878608368777805,-9.42954832794544,-0.011817917642354517,-0.009413583080259072
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,00-0000,All Occupations,7557.956454598554,7557.956454598554,13891.072116759451,0.5,0.4999999999999999,0.025870322210742182,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,HS or less,58229.863919439435,14030.0,4992.900000000001,0.0,8874.553681709272,15947.0,-1316.5972271107184,-2055.927883240549,-0.1483564440907339,-0.12892254864492061
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-0000,Management Occupations,470.63364928516967,470.63364928516967,864.9965109042449,0.031134980210081646,0.03015075376884414,0.012203481957424704,Bachelor's degree,5 years or more,Unreported,BA+,133287.35657583174,760.0,600.3,0.0,535.1489657312111,961.6281407035149,-64.51531644604142,-96.63162979926994,-0.12055580890059216,-0.10048752288860378
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,13-0000,Business and Financial Operations Occupations,225.71710305698494,225.71710305698494,414.8545410899889,0.014932416216796928,0.014447236180904393,0.006823107138019751,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,79796.73130958094,350.0,456.9,0.0,256.425546079537,460.7801507537647,-30.708443022552075,-45.92560966377579,-0.119755786785093,-0.09966924484192435
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,15-0000,Computer and Mathematical Occupations,39.745555861870066,39.745555861870066,73.0499555156876,0.0026293850791960656,0.002826633165829108,0.0018172377985461658,"Some college, no degree",Unreported,Moderate-term on-the-job training,SC or associate's,72972.11988706539,40.0,55.099999999999994,0.0,50.17021553730051,90.15263819095358,-10.42465967543044,-17.10268267526598,-0.20778582598832815,-0.1897080664355107
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,17-0000,Architecture and Engineering Occupations,321.56169882373734,321.56169882373734,591.0111781115677,0.021273058448761418,0.02010050251256281,0.01998150311526479,Bachelor's degree,Unreported,Unreported,BA+,95119.0597919295,740.0,52.89999999999999,0.0,356.76597715414164,641.0854271356783,-35.20427833040429,-50.0742490241106,-0.09867610866715072,-0.07810854358028164
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,19-0000,"Life, Physical, and Social Science Occupations",25.39723750779478,25.39723750779478,46.67860418441433,0.001680165641358129,0.0015703517587939545,0.0019470404984423002,Bachelor's degree,Unreported,Unreported,BA+,83910.0,0.0,14.9,0.0,27.872341965167045,50.084798994974385,-2.4751044573722645,-3.406194810560052,-0.08880145272562605,-0.06800855506881114
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,37-0000,Building and Grounds Cleaning and Maintenance Occupations,38.53989497642144,38.53989497642144,70.83402288777033,0.0025496240424203735,0.0025125628140703574,0.0038940809968847,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35930.0,120.0,351.3,0.0,44.59574714426781,80.13567839195998,-6.055852167846375,-9.301655504189654,-0.13579438748398173,-0.1160738349115029
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,41-0000,Sales and Related Occupations,90.92733082287059,90.92733082287059,167.1189980297431,0.006015338363556387,0.005967336683417067,0.020638629283489005,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,66780.0,150.0,114.8,0.0,105.91489946763548,190.32223618090393,-14.987568644764892,-23.203238151160832,-0.1415057628350453,-0.12191553975388263
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,43-0000,Office and Administrative Support Occupations,447.2972661785324,447.2972661785324,822.105633902514,0.029591151316198668,0.030464824120602987,0.013956466583164713,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,HS or less,47095.93377570953,940.0,1244.8000000000002,0.0,540.7234341242455,971.6451005025117,-93.42616794571308,-149.5394665999977,-0.17277995006268942,-0.15390338151518435
