adjustment_source,forecast_source,projection_label,stage,year,value_type,employment_auto,employment_raw,auto_share_ratio
sam_mi,bls_us,BLS US,Downstream,2022,QCEW,227476.0,227476.0,1.0
sam_mi,bls_us,BLS US,OEM,2022,QCEW,178140.83542844324,299542.0,0.5947107097784058
sam_mi,bls_us,BLS US,Upstream,2022,QCEW,57413.583208889475,205458.0,0.27944194535569056
sam_mi,bls_us,BLS US,Downstream,2023,QCEW,232636.0,232636.0,1.0
sam_mi,bls_us,BLS US,OEM,2023,QCEW,180133.84809517692,302226.0,0.5960236647249969
sam_mi,bls_us,BLS US,Upstream,2023,QCEW,58793.0162097439,209044.0,0.2812470877410684
sam_mi,bls_us,BLS US,Downstream,2024,QCEW,231829.0,231829.0,1.0
sam_mi,bls_us,BLS US,OEM,2024,QCEW,174114.02550542576,293289.0,0.5936602651494797
sam_mi,bls_us,BLS US,Upstream,2024,QCEW,57438.86459823029,205217.0,0.279893306101494
sam_mi,bls_us,BLS US,Downstream,2025,QCEW,234220.0,234220.0,1.0
sam_mi,bls_us,BLS US,OEM,2025,QCEW,167459.88466857994,283311.0,0.5910814781938574
sam_mi,bls_us,BLS US,Upstream,2025,QCEW,56442.172593017414,199629.0,0.2827353370152504
sam_mi,bls_us,BLS US,Downstream,2026,Forecast,234328.03642738957,234328.03642738957,1.0
sam_mi,bls_us,BLS US,OEM,2026,Forecast,164913.2002646626,281306.51622430846,0.5862402424164392
sam_mi,bls_us,BLS US,Upstream,2026,Forecast,56333.938557330825,199328.14639119594,0.2826190860510557
sam_mi,bls_us,BLS US,Downstream,2027,Forecast,234444.2262971892,234444.2262971892,1.0
sam_mi,bls_us,BLS US,OEM,2027,Forecast,162438.4007047875,279376.7949860735,0.5814312556376946
sam_mi,bls_us,BLS US,Upstream,2027,Forecast,56230.4858108221,199039.872569332,0.2825086505782163
sam_mi,bls_us,BLS US,Downstream,2028,Forecast,234568.47793825276,234568.47793825276,1.0
sam_mi,bls_us,BLS US,OEM,2028,Forecast,160033.72951532516,277520.0972936698,0.5766563613804826
sam_mi,bls_us,BLS US,Upstream,2028,Forecast,56131.82398190815,198764.19687065762,0.2824040992575487
sam_mi,bls_us,BLS US,Downstream,2029,Forecast,234700.70116971555,234700.70116971555,1.0
sam_mi,bls_us,BLS US,OEM,2029,Forecast,157697.47437119353,275734.72842287243,0.5719173470573697
sam_mi,bls_us,BLS US,Upstream,2029,Forecast,56037.96427750971,198501.14088914212,0.28230550225807266
sam_mi,bls_us,BLS US,Downstream,2030,Forecast,234840.80727897421,234840.80727897421,1.0
sam_mi,bls_us,BLS US,OEM,2030,Forecast,155427.96599268573,274019.03681455605,0.5672159416350058
sam_mi,bls_us,BLS US,Upstream,2030,Forecast,55948.919503567864,198250.72951919588,0.28221293126767805
sam_mi,bls_us,BLS US,Downstream,2031,Forecast,234988.709,234988.709,1.0
sam_mi,bls_us,BLS US,OEM,2031,Forecast,153223.57706989755,272371.41300000006,0.5625538134939937
sam_mi,bls_us,BLS US,Upstream,2031,Forecast,55864.704086378224,198012.991,0.2821264595027415
sam_mi,bls_us,BLS US,Downstream,2032,Forecast,235144.3204919803,235144.3204919803,1.0
sam_mi,bls_us,BLS US,OEM,2032,Forecast,151082.7212140637,270790.28855311003,0.5579325684880752
