adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2006,QCEW,98829.07437,98829.07437,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2006,QCEW,68884,68884,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2006,QCEW,38765,38765,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2007,QCEW,24394.54566,82139,0.296991023,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2007,QCEW,6121.481468,51185,0.119595223,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2007,QCEW,11290.77274,19764,0.571279738,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2007,QCEW,14954.38004,48225,0.310096009,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2007,QCEW,4118.463209,15751,0.261473126,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2007,QCEW,698.960594,93220,0.007497968,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2007,QCEW,198068,198068,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2007,QCEW,97215.685,97215.685,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2007,QCEW,66333,66333,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2007,QCEW,40761,40761,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2008,QCEW,22980.53767,77593,0.296167665,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2008,QCEW,5888.679286,49109,0.119910389,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2008,QCEW,10282.61941,17934,0.57335895,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2008,QCEW,14528.85552,46965,0.309354956,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2008,QCEW,4292.290996,15865,0.270550961,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2008,QCEW,673.0359223,88873,0.007573008,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2008,QCEW,167000,167000,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2008,QCEW,95828.59295,95828.59295,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2008,QCEW,63843,63843,1,,,,
