naics_code,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,auto_attributed_output,total_industry_output,auto_share_of_output
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,12179,-3.04971832658572,38.516082401512485,53.40043561389029,38230244.646720745,183181021.65166572,0.208701994901081
3313,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,2698,-11.217919509285505,13.12738322611663,69.16021411136859,13814036.511571482,59604931.65595599,0.2317599589125797
3314,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,1262,-16.72114924886053,15.441048033406032,60.435169261794975,13314493.516803013,30062752.549654,0.44289003459718973
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,4446,2.126263147746479,27.24970080967578,16.300083474445074,4543913.694952058,29375369.380297102,0.15468447855500977
3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM,48138,27.199870176160857,24.862203254629343,42.94047754260967,2855487.6135359867,95151424.76712,0.030009930177343106
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,8867,-2.726702620877361,12.393433271341902,19.409224378571977,2177771.587825858,104319121.16319665,0.02087605381969194
3339,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,17946,1.053256053597212,10.11815420057279,16.39233001955671,693715.9239583598,57770875.3338985,0.012008056307765596
3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,11221,-3.21027690266793,6.794475967426446,25.26277384432373,0.0,0.0,0.0
3312,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,1974,-15.007230370890202,11.21377298759406,5.6715982207323945,0.0,0.0,0.0
3272,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,2802,-9.09571418424086,10.489028561170894,0.3336415648663612,0.0,0.0,0.0
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,25978,3.668049189282737,22.47873542247077,25.09669897264981,0.0,0.0,0.0
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,6359,-0.7629358523141591,19.53300557839163,22.543724601810787,0.0,0.0,0.0
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,24407,0.997814058104456,22.71850400693711,18.075614300399607,0.0,0.0,0.0
