naics_code,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,auto_attributed_output,total_industry_output,sam_auto_share,sam_auto_share_us,lightcast_share,lightcast_share_us,legacy_bea_share,bea_summary_total_output_share,bea_detail_intermediate_share,bea_detail_total_output_share,mrio_indirect_share,mrio_total_share
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,6359,-0.762935852,19.53300558,22.5437246,399889665.4,1845386218,22%,4%,35%,7%,100%,100%,,,30%,31%
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,24407,0.997814058,22.71850401,18.0756143,2441192879,5955114974,41%,11%,45%,11%,100%,100%,11%,5%,44%,44%
4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,8732,0.224252436,22.15833473,22.96716273,831349567.6,3836460821,22%,4%,33%,7%,100%,100%,,,30%,31%
4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,3846,-5.734584608,19.59343072,17.97492421,50661250.87,5534119845,1%,0%,3%,0%,100%,100%,0%,0%,4%,8%
4413,"Automotive Parts, Accessories, and Tire Retailers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,18192,1.18154878,21.64742058,40.61401511,192005675.2,3450869252,6%,1%,43%,8%,100%,100%,,,8%,14%
4571,Gasoline Stations,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,27826,1.579261773,25.59593835,-4.278105163,2807252.155,1406500641,0%,0%,2%,0%,100%,100%,,,2%,8%
4411,Automobile Dealers,9,"Dealers, Maintenance, & Repair",Downstream,38262,0.401836599,20.67271689,35.6404829,89602648.43,1610405651,6%,1%,43%,8%,100%,100%,,,8%,14%
8111,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream,31338,6.212770115,36.96030963,12.14316539,51187057.82,8208432047,1%,0%,6%,1%,100%,100%,1%,0%,2%,8%
4841,General Freight Trucking,10,Logistics,Downstream,35249,-9.666031196,6.327774651,11.0871488,438784247.8,3126152115,14%,2%,22%,3%,100%,100%,,,19%,22%
4842,Specialized Freight Trucking,10,Logistics,Downstream,11640,-15.00895219,5.773744562,14.93716023,1550371009,11045737473,14%,2%,21%,3%,100%,100%,,,19%,22%
