Entity,employment_auto 2024,Delta employment_auto Moody's MI detail 2024-2030,Delta employment_auto Moody's MI CAGR 2024-2030,Delta employment_auto BLS US 2024-2030,Delta employment_auto DTMB MI 2024-2030
Core Automotive,173082.0,1922.8842921995092,1891.011999999988,-14801.407000000007,-5365.542000000045
Downstream,231829.0,-1452.1832141153864,-1453.002999999997,791.8559999999998,-1500.81700000001
Upstream,58470.89010365604,-4119.528245575115,-4115.702046726801,-591.5304211031616,-1084.0033216268712
Upstream + Core Automotive,231552.89010365604,-2196.6439533756056,-2224.6900467268133,-15392.937421103154,-6449.54532162688
