forecast_source,projection_label,segment_id,segment_name_norm,segment_label,base_raw,target_raw,raw_change,base_auto,target_auto,auto_change
bls_us,BLS US,1,Materials Processing,1-Materials Processing,70604.0,70941.90007802543,337.90007802542823,20928.031757707267,21038.679347233247,110.64758952597913
bls_us,BLS US,2,Equipment Manufacturing,2-Equipment Manufacturing,45958.0,45090.61788393269,-867.3821160673106,6089.0700130668665,6025.479981955723,-63.59003111114362
bls_us,BLS US,3,Forging Foundries,3-Forging Foundries,15947.0,14911.531306024337,-1035.468693975663,8874.553681709274,8268.23188889728,-606.3217928119939
bls_us,BLS US,4,Parts Machining,4-Parts Machining,49289.0,48821.95640263673,-467.04359736327024,14602.465964852336,14431.6807565103,-170.78520834203482
bls_us,BLS US,5,Component Systems,5-Component Systems,17831.0,18484.723848576723,653.723848576723,5948.051175681669,6184.84752897131,236.79635328964105
bls_us,BLS US,6,Engineering Design,6-Engineering Design,116864.0,119624.74808103827,2760.7480810382694,1012.8846685799389,1033.6772591679837,20.792590588044845
bls_us,BLS US,7,Core Automotive,7-Core Automotive,166447.0,154394.28873351775,-12052.711266482249,166447.0,154394.28873351775,-12052.711266482249
bls_us,BLS US,8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,116571.0,116112.65407112119,-458.34592887881445,116571.0,116112.65407112119,-458.34592887881445
bls_us,BLS US,9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,72444.0,73221.9868299356,777.9868299356021,72444.0,73221.9868299356,777.9868299356021
bls_us,BLS US,10,Logistics,10-Logistics,45205.0,45506.16637791743,301.16637791742687,45205.0,45506.16637791743,301.16637791742687
dtmb_mi,DTMB MI,1,Materials Processing,1-Materials Processing,70604.0,69423.45201552578,-1180.5479844742222,20928.031757707267,20559.29457346223,-368.7371842450375
dtmb_mi,DTMB MI,2,Equipment Manufacturing,2-Equipment Manufacturing,45958.0,45267.588635226,-690.4113647740014,6089.0700130668665,5997.595990308568,-91.47402275829882
dtmb_mi,DTMB MI,3,Forging Foundries,3-Forging Foundries,15947.0,15420.081622308395,-526.9183776916052,8874.553681709274,8560.49357316372,-314.0601085455546
dtmb_mi,DTMB MI,4,Parts Machining,4-Parts Machining,49289.0,48635.65826863437,-653.3417313656319,14602.465964852336,14378.636305202577,-223.82965964975847
dtmb_mi,DTMB MI,5,Component Systems,5-Component Systems,17831.0,18111.824292664598,280.82429266459803,5948.051175681669,6020.0147179096275,71.9635422279589
dtmb_mi,DTMB MI,6,Engineering Design,6-Engineering Design,116864.0,119969.7818105863,3105.781810586297,1012.8846685799389,1055.6157902337059,42.73112165376699
dtmb_mi,DTMB MI,7,Core Automotive,7-Core Automotive,166447.0,162135.8749340119,-4311.125065988104,166447.0,162135.8749340119,-4311.125065988104
dtmb_mi,DTMB MI,8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,116571.0,115054.49330912752,-1516.506690872484,116571.0,115054.49330912752,-1516.506690872484
dtmb_mi,DTMB MI,9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,72444.0,72162.78582264806,-281.2141773519397,72444.0,72162.78582264806,-281.2141773519397
dtmb_mi,DTMB MI,10,Logistics,10-Logistics,45205.0,45694.19296582644,489.19296582644165,45205.0,45694.19296582644,489.19296582644165
moodys_mi,Moody's MI,1,Materials Processing,1-Materials Processing,70604.0,66615.70869296914,-3988.291307030857,20928.031757707267,19609.79514570158,-1318.2366120056868
moodys_mi,Moody's MI,2,Equipment Manufacturing,2-Equipment Manufacturing,45958.0,44272.87950296938,-1685.1204970306208,6089.0700130668665,5980.326461291949,-108.74355177491725
moodys_mi,Moody's MI,3,Forging Foundries,3-Forging Foundries,15947.0,13891.072116759451,-2055.927883240549,8874.553681709274,7557.956454598554,-1316.5972271107203
moodys_mi,Moody's MI,4,Parts Machining,4-Parts Machining,49289.0,47548.289556431155,-1740.7104435688452,14602.465964852336,14004.574588178044,-597.8913766742917
moodys_mi,Moody's MI,5,Component Systems,5-Component Systems,17831.0,17541.08881152508,-289.9111884749218,5948.051175681669,5854.91850990432,-93.13266577734885
moodys_mi,Moody's MI,6,Engineering Design,6-Engineering Design,116864.0,120404.80839673376,3540.808396733759,1012.8846685799389,1025.3753583384485,12.490689758509575
moodys_mi,Moody's MI,7,Core Automotive,7-Core Automotive,166447.0,167618.66618277997,1171.666182779969,166447.0,167618.66618277997,1171.666182779969
moodys_mi,Moody's MI,8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,116571.0,117949.86294742004,1378.8629474200425,116571.0,117949.86294742004,1378.8629474200425
moodys_mi,Moody's MI,9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,72444.0,74226.83560090383,1782.8356009038253,72444.0,74226.83560090383,1782.8356009038253
moodys_mi,Moody's MI,10,Logistics,10-Logistics,45205.0,41041.49986795845,-4163.500132041547,45205.0,41041.49986795845,-4163.500132041547
moodys_mi_detail,Moody's MI (detail),1,Materials Processing,1-Materials Processing,70604.0,67511.77838058303,-3092.221619416974,20928.031757707267,19846.698714971928,-1081.3330427353394
moodys_mi_detail,Moody's MI (detail),2,Equipment Manufacturing,2-Equipment Manufacturing,45958.0,45032.41650438224,-925.5834956177569,6089.0700130668665,6106.302442746532,17.232429679665074
moodys_mi_detail,Moody's MI (detail),3,Forging Foundries,3-Forging Foundries,15947.0,14010.175949899225,-1936.824050100775,8874.553681709274,7627.794099891538,-1246.759581817736
moodys_mi_detail,Moody's MI (detail),4,Parts Machining,4-Parts Machining,49289.0,48045.64526115707,-1243.3547388429288,14602.465964852336,14141.45016947364,-461.01579537869657
moodys_mi_detail,Moody's MI (detail),5,Component Systems,5-Component Systems,17831.0,17645.525263867006,-185.4747361329937,5948.051175681669,5862.459434922803,-85.59174075886585
moodys_mi_detail,Moody's MI (detail),6,Engineering Design,6-Engineering Design,116864.0,122645.50423907203,5781.504239072034,1012.8846685799389,1040.654309623293,27.769641043354227
moodys_mi_detail,Moody's MI (detail),7,Core Automotive,7-Core Automotive,166447.0,173161.88748054547,6714.887480545469,166447.0,173161.88748054547,6714.887480545469
moodys_mi_detail,Moody's MI (detail),8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,116571.0,117202.50964481616,631.5096448161639,116571.0,117202.50964481616,631.5096448161639
moodys_mi_detail,Moody's MI (detail),9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,72444.0,73517.83418432807,1073.834184328065,72444.0,73517.83418432807,1073.834184328065
moodys_mi_detail,Moody's MI (detail),10,Logistics,10-Logistics,45205.0,40127.20459683537,-5077.7954031646295,45205.0,40127.20459683537,-5077.7954031646295
moodys_us,Moody's US,1,Materials Processing,1-Materials Processing,70604.0,68304.41689135271,-2299.58310864729,20928.031757707267,20120.28091238304,-807.7508453242262
moodys_us,Moody's US,2,Equipment Manufacturing,2-Equipment Manufacturing,45958.0,43667.84291969566,-2290.1570803043433,6089.0700130668665,5918.504709439803,-170.56530362706326
moodys_us,Moody's US,3,Forging Foundries,3-Forging Foundries,15947.0,14395.701208822347,-1551.2987911776527,8874.553681709274,7869.2330209330585,-1005.3206607762158
moodys_us,Moody's US,4,Parts Machining,4-Parts Machining,49289.0,47582.2824942295,-1706.7175057705026,14602.465964852336,14019.231134903104,-583.2348299492314
moodys_us,Moody's US,5,Component Systems,5-Component Systems,17831.0,17574.297884251413,-256.70211574858695,5948.051175681669,5805.738171318162,-142.31300436350648
moodys_us,Moody's US,6,Engineering Design,6-Engineering Design,116864.0,124497.19130966175,7633.19130966175,1012.8846685799389,1057.0030461722895,44.11837759235061
moodys_us,Moody's US,7,Core Automotive,7-Core Automotive,166447.0,173576.44741125213,7129.4474112521275,166447.0,173576.44741125213,7129.4474112521275
moodys_us,Moody's US,8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,116571.0,120369.6629034522,3798.662903452205,116571.0,120369.6629034522,3798.662903452205
moodys_us,Moody's US,9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,72444.0,74968.43800094948,2524.438000949478,72444.0,74968.43800094948,2524.438000949478
moodys_us,Moody's US,10,Logistics,10-Logistics,45205.0,40564.277685070985,-4640.722314929015,45205.0,40564.277685070985,-4640.722314929015
