stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_edu_training_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,41600,873.0074093795421,873.0074093795421,2776.781432248055,994.8540987531467,3153.996333301687,-121.84668937360448,-377.2149010536324,73.85849487136568,10.0,1860.0,-0.12247694363054368,-0.11959902967254049,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-4194,"Tool Grinders, Filers, and Sharpeners",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,48970,19.24703447946474,19.24703447946474,142.0082469443173,24.531876642974904,185.15733672603773,-5.284842163510163,-43.14908978172042,1.7184852213807804,0.5,60.0,-0.21542755331861504,-0.23304012978737443,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-4199,"Metal Workers and Plastic Workers, All Other",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,42750,303.52464507588604,303.52464507588604,816.9067101535227,333.22776881901734,895.878710634193,-29.703123743131254,-78.97200048067029,26.52914635624711,8.5,250.0,-0.08913760053191609,-0.08815032609131426,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-5111,Prepress Technicians and Workers,Postsecondary nondegree award,Unreported,Unreported,SC or associate's,SC/Associate or Employer Training,47300,0.41607800830877406,0.41607800830877406,49.006995379762685,0.41140725774972575,47.467099918759885,0.004670750559048309,1.5398954610028,0.04804199683565226,2.8,0.0,0.011353106857170952,0.03244132174997707,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-5112,Printing Press Operators,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,45160,56.94881345933515,56.94881345933515,329.77401481109183,56.20489445163445,318.65725417968156,0.7439190077006985,11.116760631410294,5.41428691459328,41.099999999999994,210.0,0.013235840311751804,0.034886262545719034,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-6031,Sewing Machine Operators,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,HS or Less - Limited Training,36000,71.11498986972896,71.11498986972896,213.82162564835676,73.61770896134745,213.14314666250007,-2.5027190916184976,0.6784789858566853,7.878098579518333,39.0,50.0,-0.03399615563875447,0.003183208076265374,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-6093,Upholsterers,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,46190,29.94740657883579,29.94740657883579,29.94740657883579,28.59914089346693,28.59914089346693,1.3482656853688582,1.3482656853688582,2.928190865486166,2.2,780.0,0.04714357296225113,0.04714357296225113,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,39950,3.806799076967434,3.806799076967434,28.087280872602484,3.8734542067853837,29.235368956741834,-0.06665512981794963,-1.1480880841393493,0.4074166236219327,4.8,0.0,-0.01720818841776559,-0.03927051804402126,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-8021,Stationary Engineers and Boiler Operators,High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,SC/Associate or Employer Training,75190,63.1460839964896,63.1460839964896,63.1460839964896,66.73132875142839,66.73132875142839,-3.585244754938792,-3.585244754938792,7.130909931252912,3.8,0.0,-0.053726560253186166,-0.053726560253186166,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-8031,Water and Wastewater Treatment Plant and System Operators,High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,SC/Associate or Employer Training,58260,64.05340372116785,64.05340372116785,108.29116332891049,62.56095859696735,108.0171263901249,1.4924451242005041,0.2740369387855779,5.350284307700983,32.099999999999994,60.0,0.023855854476514535,0.002536976754925326,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9011,Chemical Equipment Operators and Tenders,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,57090,464.32936369039095,464.32936369039095,1576.3073373834218,478.22170938609537,1613.355998327999,-13.892345695704421,-37.04866094457725,51.040785016348316,14.4,1810.0,-0.029050010534942793,-0.02296372343300091,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,49500,7.973340147330639,7.973340147330639,27.067929707912192,8.747958098524695,29.512609725507318,-0.7746179511940561,-2.4446800175951253,0.8093239999170196,5.4,0.0,-0.08854842952719355,-0.08283510134592482,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,46890,76.82825828301162,76.82825828301162,260.81690437878734,81.64760891957707,275.45102410477966,-4.819350636565446,-14.63411972599232,7.329904500499343,2.7,110.0,-0.0590262311455135,-0.05312784649668103,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,41690,188.46264011282216,188.46264011282216,232.05245888884525,215.13461599357257,277.5593455168737,-26.671975880750423,-45.50688662802848,14.291005885332487,2.4000000000000004,270.0,-0.12397807650604813,-0.16395371787350602,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,47680,208.00765194596747,208.00765194596747,706.1452788347766,227.44691056167972,767.3278528633174,-19.439258615712248,-61.182574028540785,18.735591986944872,8.8,980.0,-0.08546723526693344,-0.07973459297774131,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,45700,59.3735412245698,59.3735412245698,201.5615552177995,61.23570668968122,206.58826807857943,-1.8621654651114241,-5.026712860779924,6.494938462130442,5.3,170.0,-0.030409797906769582,-0.024332034473844983,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,45130,757.3614191150446,757.3614191150446,1623.167917793152,781.9394999476438,1665.052329271091,-24.57808083259914,-41.88441147793898,68.0774309316894,15.600000000000001,2550.0,-0.03143220266305106,-0.025155012092787917,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,47010,11.22532849209751,11.22532849209751,38.107793842715076,11.663944131366957,39.35014630067878,-0.4386156392694467,-1.2423524579637046,1.2733208438797174,1.9,80.0,-0.03760440159258917,-0.03157173669624386,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,47460,7012.718740010858,7012.718740010858,14780.288487234504,7047.148239169361,14870.53861615109,-34.42949915850292,-90.25012891658741,819.6455813506545,489.30000000000007,15040.0,-0.004885593149174493,-0.006069055818769439,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,40900,624.253711801931,624.253711801931,1468.5335770185022,647.1109250493218,1494.2923412860239,-22.857213247390845,-25.758764267521634,72.56528905472793,271.79999999999995,720.0,-0.03532193996824996,-0.01723810231494128,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,47590,1447.9820324951124,1447.9820324951124,2647.9392848282105,1400.814181233196,2656.695970437452,47.16785126191665,-8.75668560924177,137.73700248899928,110.60000000000001,2740.0,0.03367174025922039,-0.0032960811875661833,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,51180,140.463461036093,140.463461036093,476.7431265539777,135.75796364766884,458.2359093550275,4.705497388424163,18.507217198950173,16.279569035386707,3.9,150.0,0.034660930835971354,0.04038796790281954,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,49970,1494.2336823576231,1494.2336823576231,4425.922832659327,1648.2662899783106,4878.06385681063,-154.03260762068743,-452.14102415130355,120.35891832832884,94.5,7400.0,-0.09345128791217003,-0.09268862348327722,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,Unreported,Moderate-term on-the-job training,SC or associate's,SC/Associate or Employer Training,65670,454.4300757565478,454.4300757565478,1774.5254760202397,440.321671360097,1708.1091092632796,14.108404396450814,66.41636675696017,46.80176859951156,18.6,1360.0,0.0320411310959821,0.038882976735371465,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,SC/Associate or Employer Training,41460,135.82654188816517,135.82654188816517,403.09718124485164,144.45729850795152,425.96082822659645,-8.630756619786364,-22.86364698174485,14.585400471212369,4.800000000000001,230.0,-0.059746075199594656,-0.05367546841556562,2030
Upstream + Core/OEM,sam_mi_moodys_us,moodys_us,Moody's US,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,SC/Associate or Employer Training,45690,190.51693100696662,190.51693100696662,646.7677035439391,230.58726602551948,687.4096018192117,-40.07033501855287,-40.64189827527264,24.368444663681778,11.0,950.0,-0.173775142527247,-0.05912326241547238,2030
