segment_id,segment_name,training_group,employment_base_auto_adj,employment_target_auto_adj,employment_change,pct_change
1,1. Materials & Processing,BA+,1007.8202243244909,974.2519707822128,-33.56825354227817,-0.03330777923689503
1,1. Materials & Processing,HS or Less - Limited Training,1288.730664209113,1197.895707685613,-90.83495652350007,-0.07048404996186304
1,1. Materials & Processing,SC/Associate or Employer Training,3906.815963933734,3640.4750563825583,-266.34090755117586,-0.0681733949103146
2,2. Equipment Manufacturing,BA+,215.0316046456151,217.0986626307871,2.0670579851719992,0.00961281011960374
2,2. Equipment Manufacturing,HS or Less - Limited Training,110.50948019178007,107.04838017365657,-3.4611000181235028,-0.03131948509862728
2,2. Equipment Manufacturing,SC/Associate or Employer Training,481.2123340239593,468.198719060805,-13.013614963154282,-0.027043394449873644
3,3. Forging & Foundries,BA+,626.6461176519293,556.8387004305551,-69.80741722137418,-0.11139846757998861
3,3. Forging & Foundries,HS or Less - Limited Training,871.7205894068951,748.3823323517595,-123.33825705513561,-0.1414882917232149
3,3. Forging & Foundries,SC/Associate or Employer Training,3440.3492300791722,2900.8045695476517,-539.5446605315205,-0.15682845677823937
4,4. Parts & Machining,BA+,738.2036388408274,739.9808878093856,1.7772489685582968,0.0024075321158658096
4,4. Parts & Machining,HS or Less - Limited Training,686.2528719757545,646.6434864912551,-39.6093854844994,-0.05771835295998413
4,4. Parts & Machining,SC/Associate or Employer Training,2901.701704092848,2762.401245535546,-139.30045855730214,-0.04800647094800232
5,5. Component Systems,BA+,809.9564262387338,801.4018317960312,-8.554594442702637,-0.010561795876388514
5,5. Component Systems,HS or Less - Limited Training,255.5807625478926,247.09368012734208,-8.487082420550507,-0.033207047103007745
5,5. Component Systems,SC/Associate or Employer Training,918.6091175634426,904.58367187769,-14.02544568575263,-0.015268132459815236
6,6. Engineering & Design,BA+,6.277150757598107,6.412300859720414,0.13515010212230738,0.021530485301586307
6,6. Engineering & Design,HS or Less - Limited Training,0.6546721649028632,0.6392351422112578,-0.015437022691605407,-0.02357977552611523
6,6. Engineering & Design,SC/Associate or Employer Training,1.8470598116540529,1.8356061462121145,-0.011453665441938377,-0.0062010257435472825
7,7. Core Automotive,BA+,27331.245647193307,28187.732622672804,856.4869754794963,0.03133728284965491
7,7. Core Automotive,HS or Less - Limited Training,18513.177205040014,18110.62677533145,-402.5504297085645,-0.02174399484487052
7,7. Core Automotive,SC/Associate or Employer Training,120602.57714776667,121320.30678477575,717.7296370090771,0.005951196516552782
8,"8. Motor Vehicle Parts, Materials, & Products Sales",BA+,19856.656972543227,20833.296270941286,976.6392983980586,0.04918447751545014
8,"8. Motor Vehicle Parts, Materials, & Products Sales",HS or Less - Limited Training,61422.978143063774,60643.23162594652,-779.7465171172516,-0.012694703850098238
8,"8. Motor Vehicle Parts, Materials, & Products Sales",SC/Associate or Employer Training,35291.364884393006,36473.33505053223,1181.9701661392246,0.03349176689570117
9,"9. Dealers, Maintenance, & Repair",BA+,6398.639265413194,6524.864651469127,126.22538605593309,0.019726910804024212
9,"9. Dealers, Maintenance, & Repair",HS or Less - Limited Training,36153.36773065153,36868.45244347488,715.0847128233509,0.019779200603131864
9,"9. Dealers, Maintenance, & Repair",SC/Associate or Employer Training,29891.993003935273,30833.518505959808,941.525502024535,0.03149758204147122
10,10. Logistics,BA+,3773.5008517887354,3533.828863135817,-239.67198865291857,-0.06351449173234132
10,10. Logistics,HS or Less - Limited Training,10261.61201022145,9331.524093486825,-930.0879167346247,-0.09063760311812384
10,10. Logistics,SC/Associate or Employer Training,31169.887137989812,28176.14691133581,-2993.740226654001,-0.09604591166469881
