segment_id,segment_label_us,stage,occcd,Occupation Title,Occupation Type,Display Level,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",segment_share_2024,segment_share_2034,segment_label_raw,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,segment_label_mi,segment_name,share_diff_2024,share_diff_pct_points
1.0,1. Materials & Processing,Upstream,37-0000,Building and grounds cleaning and maintenance occupations,Summary,1.0,8.4,4.0,0.0,8.6,4.0,0.1,0.2,22.4,0.0040160642570281,0.0040423031727379,1. Materials & Processing,Building and Grounds Cleaning and Maintenance Occupations,370.0,420.0,major,False,0.0051388888888888,,0.003453947368421,,50.0,13.513513513513509,  Building and grounds cleaning and maintenance occupations,Summary,5715.9,5832.9,117.1,2.0,788.7,36790.0,—,—,—,,1. Materials & Processing,1. Materials & Processing,0.0005621168886070999,0.056211688860709985
1.0,1. Materials & Processing,Upstream,39-0000,Personal care and service occupations,Summary,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,2.1,4.78102887741442e-05,4.700352526439483e-05,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
1.0,1. Materials & Processing,Upstream,41-0000,Sales and related occupations,Summary,1.0,53.0,24.7,0.4,53.1,24.4,0.4,-2.775557561562892e-17,-6.999999999999999,0.0253394530502964,0.0249588719153936,1. Materials & Processing,Sales and Related Occupations,1600.0,1540.0,major,False,0.0222222222222222,,0.0126644736842105,,-60.0,-3.749999999999998,  Sales and related occupations,Summary,14532.6,14234.8,-297.8,-2.0,1786.8,37460.0,—,—,—,,1. Materials & Processing,1. Materials & Processing,0.0126749793660859,1.2674979366085901
1.0,1. Materials & Processing,Upstream,43-0000,Office and administrative support occupations,Summary,1.0,165.0,76.5,0.7000000000000001,154.9,70.9,0.7000000000000001,-9.8,-67.1,0.0788869764773379,0.0728084606345476,1. Materials & Processing,Office and Administrative Support Occupations,6190.0,5970.0,major,False,0.0859722222222222,,0.0490953947368421,,-220.0,-3.5541195476575083,  Office and administrative support occupations,Summary,19325.2,18563.3,-761.9,-3.9,1996.8,46320.0,—,—,—,,1. Materials & Processing,1. Materials & Processing,0.0297915817404958,2.97915817404958
1.0,1. Materials & Processing,Upstream,45-0000,"Farming, fishing, and forestry occupations",Summary,1.0,0.3,0.1,0.0,0.3,0.1,0.0,0.0,0.4,0.0001434308663224,0.0001410105757931,,,,,,,,,,,,,,,,,,,,,,,,,,1. Materials & Processing,,
1.0,1. Materials & Processing,Upstream,47-0000,Construction and extraction occupations,Summary,1.0,48.7,21.0,0.5,51.1,21.6,0.6,2.5,27.7,0.0232836106330082,0.0240188014101057,1. Materials & Processing,Construction and Extraction Occupations,220.0,3180.0,major,False,0.0030555555555555,,0.0261513157894736,,2960.0,1345.4545454545455,  Construction and extraction occupations,Summary,7574.7,7968.8,394.1,5.2,649.3,58360.0,—,—,—,,1. Materials & Processing,1. Materials & Processing,-0.002867705156465398,-0.28677051564653977
1.0,1. Materials & Processing,Upstream,49-0000,"Installation, maintenance, and repair occupations",Summary,1.0,147.4,77.8,2.4,161.4,83.0,2.4,14.1,68.8,0.0704723656530885,0.0758636897767332,1. Materials & Processing,"Installation, Maintenance, and Repair Occupations",4200.0,6310.0,major,False,0.0583333333333333,,0.051891447368421,,2110.0,50.23809523809524,"  Installation, maintenance, and repair occupations",Summary,6492.9,6794.3,301.4,4.6,608.1,58230.0,—,—,—,,1. Materials & Processing,1. Materials & Processing,0.018580918284667493,1.8580918284667494
1.0,1. Materials & Processing,Upstream,51-0000,Production occupations,Summary,1.0,1016.0,502.6,11.3,1019.7,495.0,11.4,3.900000000000002,-10.5,0.485752533945305,0.4792949471210341,1. Materials & Processing,Production Occupations,39640.0,80270.0,major,False,0.5505555555555556,,0.6601151315789474,,40630.0,102.49747729566096,  Production occupations,Summary,9001.2,8901.6,-99.6,-1.1,963.4,45960.0,—,—,—,,1. Materials & Processing,1. Materials & Processing,-0.17436259763364242,-17.43625976336424
1.0,1. Materials & Processing,Upstream,53-0000,Transportation and material moving occupations,Summary,1.0,282.2,120.8,1.9,289.1,122.3,1.9,7.2,18.4,0.1349206349206349,0.1358871915393654,1. Materials & Processing,Transportation and Material Moving Occupations,6180.0,6350.0,major,False,0.0858333333333333,,0.0522203947368421,,170.0,2.75080906148868,  Transportation and material moving occupations,Summary,14204.6,14784.4,579.9,4.1,1830.0,42740.0,—,—,—,,1. Materials & Processing,1. Materials & Processing,0.08270024018379282,8.270024018379281
2.0,2. Equipment Manufacturing,Upstream,00-0000,"Total, all occupations",Summary,0.0,937.3,200.0,0.6,930.2,200.0,0.5,-7.1,-5.9,1.0,1.0,2. Equipment Manufacturing,Total all occupations,47880.0,48310.0,major,True,,,,,430.0,0.8980785296574867,"Total, all occupations",Summary,169956.1,175167.9,5211.8,3.1,18863.3,49500.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,,
