segment_id,segment_name,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
1,1. Materials & Processing,2001,6408.723743439,QCEW,,
1,1. Materials & Processing,2002,5917.804295476,QCEW,,
1,1. Materials & Processing,2003,5783.647270935,QCEW,,
1,1. Materials & Processing,2004,5692.766741318001,QCEW,,
1,1. Materials & Processing,2005,5638.5342252069995,QCEW,,
1,1. Materials & Processing,2006,5474.88094268,QCEW,,
1,1. Materials & Processing,2007,5282.717045612,QCEW,,
1,1. Materials & Processing,2008,4983.565206061,QCEW,,
1,1. Materials & Processing,2009,3755.9031016960002,QCEW,,
1,1. Materials & Processing,2010,4092.01387913,QCEW,,
1,1. Materials & Processing,2011,4516.355260275,QCEW,,
1,1. Materials & Processing,2012,4636.829479004,QCEW,,
1,1. Materials & Processing,2013,4825.079021755,QCEW,,
1,1. Materials & Processing,2014,5047.50725806,QCEW,,
1,1. Materials & Processing,2015,5141.513900202,QCEW,,
1,1. Materials & Processing,2016,5194.7440682960005,QCEW,,
1,1. Materials & Processing,2017,5260.918482744,QCEW,,
1,1. Materials & Processing,2018,5327.235128095,QCEW,,
1,1. Materials & Processing,2019,5287.025044109,QCEW,,
1,1. Materials & Processing,2020,4436.1492898060005,QCEW,,
1,1. Materials & Processing,2021,4514.198420805,QCEW,,
1,1. Materials & Processing,2022,4576.459496529,QCEW,,
1,1. Materials & Processing,2023,4625.282707936,QCEW,,
1,1. Materials & Processing,2024,4562.31377394,QCEW,,
1,1. Materials & Processing,2025,4512.525248514875,Forecast,Moody,-1.091299895011983
1,1. Materials & Processing,2026,4524.446025134036,Forecast,Moody,0.2641708569516452
1,1. Materials & Processing,2027,4512.238599180828,Forecast,Moody,-0.2698104007738087
1,1. Materials & Processing,2028,4502.319358456689,Forecast,Moody,-0.2198297032860793
1,1. Materials & Processing,2029,4480.407931601384,Forecast,Moody,-0.4866697608677741
1,1. Materials & Processing,2030,4457.6721027493095,Forecast,Moody,-0.5074499732873294
1,1. Materials & Processing,2031,4424.178618249082,Forecast,Moody,-0.7513671649282917
1,1. Materials & Processing,2032,4369.38355684259,Forecast,Moody,-1.238536373293585
1,1. Materials & Processing,2033,4296.597079404599,Forecast,Moody,-1.66582943545904
1,1. Materials & Processing,2034,4219.11841419126,Forecast,Moody,-1.8032564790570311
1,1. Materials & Processing,2035,4146.211808149224,Forecast,Moody,-1.728005684713881
1,1. Materials & Processing,2036,4082.156522730207,Forecast,Moody,-1.5449110750473267
1,1. Materials & Processing,2037,4021.474051674051,Forecast,Moody,-1.48652974765334
1,1. Materials & Processing,2038,3961.964144727906,Forecast,Moody,-1.4798033303577536
1,1. Materials & Processing,2039,3905.0472100289307,Forecast,Moody,-1.4365837907623078
1,1. Materials & Processing,2040,3846.334496784866,Forecast,Moody,-1.5035084106865289
1,1. Materials & Processing,2041,3787.6740811581653,Forecast,Moody,-1.525099173660916
1,1. Materials & Processing,2042,3728.655764731117,Forecast,Moody,-1.5581677610709892
1,1. Materials & Processing,2043,3669.1453648170223,Forecast,Moody,-1.5960282651189206
1,1. Materials & Processing,2044,3610.993105782956,Forecast,Moody,-1.5848992953967207
1,1. Materials & Processing,2045,3554.8528337404155,Forecast,Moody,-1.5547044925849474
1,1. Materials & Processing,2046,3500.886700692117,Forecast,Moody,-1.5180975295541377
1,1. Materials & Processing,2047,3447.2033565232477,Forecast,Moody,-1.5334213517465758
1,1. Materials & Processing,2048,3392.7748908609115,Forecast,Moody,-1.5789165892792465
1,1. Materials & Processing,2049,3340.1992261057503,Forecast,Moody,-1.5496361075055065
1,1. Materials & Processing,2050,3290.8452452907836,Forecast,Moody,-1.477575961015581
1,1. Materials & Processing,2051,3243.8345229218135,Forecast,Moody,-1.428530327770438
1,1. Materials & Processing,2052,3197.545900688573,Forecast,Moody,-1.4269723657650295
1,1. Materials & Processing,2053,3150.143060451777,Forecast,Moody,-1.4824756769430092
1,1. Materials & Processing,2054,3100.735986025034,Forecast,Moody,-1.5684073224171953
1,1. Materials & Processing,2055,3050.36548088316,Forecast,Moody,-1.6244693314391327
2,2. Equipment Manufacturing,2001,2746.606227456,QCEW,,
2,2. Equipment Manufacturing,2002,2406.54235832,QCEW,,
2,2. Equipment Manufacturing,2003,2294.53703912,QCEW,,
2,2. Equipment Manufacturing,2004,2238.455779296,QCEW,,
2,2. Equipment Manufacturing,2005,2190.155941648,QCEW,,
2,2. Equipment Manufacturing,2006,2135.489485856,QCEW,,
2,2. Equipment Manufacturing,2007,2011.57623272,QCEW,,
2,2. Equipment Manufacturing,2008,1929.9892002079998,QCEW,,
2,2. Equipment Manufacturing,2009,1552.15792344,QCEW,,
2,2. Equipment Manufacturing,2010,1576.9562941119998,QCEW,,
2,2. Equipment Manufacturing,2011,1745.553774592,QCEW,,
2,2. Equipment Manufacturing,2012,1915.9983603359997,QCEW,,
2,2. Equipment Manufacturing,2013,1978.642738864,QCEW,,
2,2. Equipment Manufacturing,2014,2028.67178144,QCEW,,
2,2. Equipment Manufacturing,2015,2081.72693264,QCEW,,
2,2. Equipment Manufacturing,2016,2098.468780352,QCEW,,
2,2. Equipment Manufacturing,2017,2142.602806128,QCEW,,
2,2. Equipment Manufacturing,2018,2178.1694074879997,QCEW,,
2,2. Equipment Manufacturing,2019,2102.634592224,QCEW,,
2,2. Equipment Manufacturing,2020,1896.8985059039996,QCEW,,
2,2. Equipment Manufacturing,2021,1902.9114230399998,QCEW,,
2,2. Equipment Manufacturing,2022,1919.3781699679998,QCEW,,
2,2. Equipment Manufacturing,2023,1920.832274112,QCEW,,
