segment_id,segment_name,occcd,issue,level
2.0,2. Equipment Manufacturing,49-9040,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9069,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9090,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9096,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,49-9098,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-2020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-2021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-2051,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4022,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4023,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4030,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4050,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4051,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4060,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4062,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4070,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4120,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4190,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-4193,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-5100,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-5111,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-5112,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-6000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-6031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-7000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-7040,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-7099,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-8000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-8031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9012,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9023,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9030,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9032,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9041,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9051,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9120,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9123,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9160,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9190,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9191,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9192,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9194,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9195,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,51-9196,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-2010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-2012,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-3030,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-3031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7060,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7061,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7063,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7070,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7072,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,53-7199,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-2020,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-3010,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-3012,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-3013,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-3071,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-9000,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-9021,missing_in_mi,detailed
3.0,3. Forging & Foundries,11-9199,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1051,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1070,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1080,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1081,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1111,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1141,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-1151,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-2031,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-2041,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-2050,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-2051,missing_in_mi,detailed
3.0,3. Forging & Foundries,13-2099,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1200,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1210,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1211,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1212,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1230,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1231,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1240,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1241,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1242,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1250,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1251,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1253,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1254,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1255,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-1299,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-2031,missing_in_mi,detailed
3.0,3. Forging & Foundries,15-2051,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2011,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2051,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2070,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2071,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2072,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2110,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2111,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-2131,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3010,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3011,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3012,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3019,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3020,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3021,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3023,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3024,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3027,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3028,missing_in_mi,detailed
3.0,3. Forging & Foundries,17-3029,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-2030,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-2031,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-2032,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-4000,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-4031,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-4090,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-4099,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-5000,missing_in_mi,detailed
3.0,3. Forging & Foundries,19-5012,missing_in_mi,detailed
3.0,3. Forging & Foundries,23-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,23-1010,missing_in_mi,detailed
3.0,3. Forging & Foundries,23-1011,missing_in_mi,detailed
3.0,3. Forging & Foundries,27-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,27-1020,missing_in_mi,detailed
3.0,3. Forging & Foundries,27-1024,missing_in_mi,detailed
3.0,3. Forging & Foundries,27-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,27-3031,missing_in_mi,detailed
3.0,3. Forging & Foundries,27-3040,missing_in_mi,detailed
3.0,3. Forging & Foundries,27-3042,missing_in_mi,detailed
3.0,3. Forging & Foundries,33-9000,missing_in_mi,detailed
3.0,3. Forging & Foundries,33-9030,missing_in_mi,detailed
3.0,3. Forging & Foundries,33-9032,missing_in_mi,detailed
3.0,3. Forging & Foundries,37-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,37-2010,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-1012,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-2031,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-3091,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-4000,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-4011,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-9000,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-9090,missing_in_mi,detailed
3.0,3. Forging & Foundries,41-9099,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-3011,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-3021,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-3051,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-3061,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-4000,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-4071,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-4151,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-4161,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-4171,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-5000,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-5111,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-6000,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-6011,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-9000,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-9020,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-9021,missing_in_mi,detailed
3.0,3. Forging & Foundries,43-9199,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-1011,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2031,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2061,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2140,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2141,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2150,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2152,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-2211,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-3015,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-4000,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-5000,missing_in_mi,detailed
3.0,3. Forging & Foundries,47-5032,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-2090,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-3011,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-3040,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-3042,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9000,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9010,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9012,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9040,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9043,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9090,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9096,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9098,missing_in_mi,detailed
3.0,3. Forging & Foundries,49-9099,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-2000,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-2020,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-2021,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-2028,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-2051,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4000,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4020,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4021,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4030,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4032,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4035,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4050,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4060,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4061,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4070,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4120,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4190,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4192,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-4194,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-5100,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-5112,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-6000,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-6031,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-7000,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-7040,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-7042,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-7099,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-8000,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-8021,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9000,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9010,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9011,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9020,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9021,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9022,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9023,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9030,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9031,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9032,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9041,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9051,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9120,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9123,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9160,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9190,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9191,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9194,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9195,missing_in_mi,detailed
3.0,3. Forging & Foundries,51-9196,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-1000,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-3000,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-3030,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-3033,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-7000,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-7060,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-7061,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-7063,missing_in_mi,detailed
3.0,3. Forging & Foundries,53-7064,missing_in_mi,detailed
4.0,4. Parts & Machining,11-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,11-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,11-2020,missing_in_mi,detailed
4.0,4. Parts & Machining,11-2030,missing_in_mi,detailed
4.0,4. Parts & Machining,11-2032,missing_in_mi,detailed
4.0,4. Parts & Machining,11-3000,missing_in_mi,detailed
4.0,4. Parts & Machining,11-3010,missing_in_mi,detailed
4.0,4. Parts & Machining,11-3111,missing_in_mi,detailed
4.0,4. Parts & Machining,11-3131,missing_in_mi,detailed
4.0,4. Parts & Machining,11-9000,missing_in_mi,detailed
4.0,4. Parts & Machining,11-9021,missing_in_mi,detailed
4.0,4. Parts & Machining,13-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,13-1041,missing_in_mi,detailed
4.0,4. Parts & Machining,13-1070,missing_in_mi,detailed
4.0,4. Parts & Machining,13-1080,missing_in_mi,detailed
4.0,4. Parts & Machining,13-1141,missing_in_mi,detailed
4.0,4. Parts & Machining,13-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,13-2031,missing_in_mi,detailed
4.0,4. Parts & Machining,13-2041,missing_in_mi,detailed
4.0,4. Parts & Machining,13-2050,missing_in_mi,detailed
4.0,4. Parts & Machining,13-2099,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1200,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1210,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1212,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1230,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1231,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1240,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1241,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1242,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1243,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1250,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1253,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1254,missing_in_mi,detailed
4.0,4. Parts & Machining,15-1255,missing_in_mi,detailed
4.0,4. Parts & Machining,15-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,15-2031,missing_in_mi,detailed
4.0,4. Parts & Machining,15-2051,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2011,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2041,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2061,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2070,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2081,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2110,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2111,missing_in_mi,detailed
4.0,4. Parts & Machining,17-2131,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3000,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3010,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3011,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3012,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3019,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3020,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3021,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3024,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3028,missing_in_mi,detailed
4.0,4. Parts & Machining,17-3029,missing_in_mi,detailed
4.0,4. Parts & Machining,19-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,19-2010,missing_in_mi,detailed
4.0,4. Parts & Machining,19-2012,missing_in_mi,detailed
4.0,4. Parts & Machining,19-2030,missing_in_mi,detailed
4.0,4. Parts & Machining,19-2031,missing_in_mi,detailed
4.0,4. Parts & Machining,19-2032,missing_in_mi,detailed
4.0,4. Parts & Machining,19-4000,missing_in_mi,detailed
4.0,4. Parts & Machining,19-4031,missing_in_mi,detailed
4.0,4. Parts & Machining,19-4090,missing_in_mi,detailed
4.0,4. Parts & Machining,19-5000,missing_in_mi,detailed
4.0,4. Parts & Machining,19-5012,missing_in_mi,detailed
4.0,4. Parts & Machining,23-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,23-1010,missing_in_mi,detailed
4.0,4. Parts & Machining,23-1011,missing_in_mi,detailed
4.0,4. Parts & Machining,23-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,23-2011,missing_in_mi,detailed
4.0,4. Parts & Machining,27-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,27-1020,missing_in_mi,detailed
4.0,4. Parts & Machining,27-1021,missing_in_mi,detailed
4.0,4. Parts & Machining,27-3000,missing_in_mi,detailed
4.0,4. Parts & Machining,27-3031,missing_in_mi,detailed
4.0,4. Parts & Machining,27-3040,missing_in_mi,detailed
4.0,4. Parts & Machining,27-3042,missing_in_mi,detailed
4.0,4. Parts & Machining,33-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,33-1090,missing_in_mi,detailed
4.0,4. Parts & Machining,33-9000,missing_in_mi,detailed
4.0,4. Parts & Machining,33-9030,missing_in_mi,detailed
4.0,4. Parts & Machining,33-9032,missing_in_mi,detailed
4.0,4. Parts & Machining,37-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,37-2010,missing_in_mi,detailed
4.0,4. Parts & Machining,41-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,41-1012,missing_in_mi,detailed
4.0,4. Parts & Machining,41-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,41-2020,missing_in_mi,detailed
4.0,4. Parts & Machining,41-2021,missing_in_mi,detailed
4.0,4. Parts & Machining,41-2022,missing_in_mi,detailed
4.0,4. Parts & Machining,41-2031,missing_in_mi,detailed
4.0,4. Parts & Machining,41-3000,missing_in_mi,detailed
4.0,4. Parts & Machining,41-4000,missing_in_mi,detailed
4.0,4. Parts & Machining,41-9000,missing_in_mi,detailed
4.0,4. Parts & Machining,41-9090,missing_in_mi,detailed
4.0,4. Parts & Machining,41-9099,missing_in_mi,detailed
4.0,4. Parts & Machining,43-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,43-3000,missing_in_mi,detailed
4.0,4. Parts & Machining,43-3011,missing_in_mi,detailed
4.0,4. Parts & Machining,43-3021,missing_in_mi,detailed
4.0,4. Parts & Machining,43-3051,missing_in_mi,detailed
4.0,4. Parts & Machining,43-4000,missing_in_mi,detailed
4.0,4. Parts & Machining,43-4071,missing_in_mi,detailed
4.0,4. Parts & Machining,43-5000,missing_in_mi,detailed
4.0,4. Parts & Machining,43-5111,missing_in_mi,detailed
4.0,4. Parts & Machining,43-6000,missing_in_mi,detailed
4.0,4. Parts & Machining,43-9000,missing_in_mi,detailed
4.0,4. Parts & Machining,43-9020,missing_in_mi,detailed
4.0,4. Parts & Machining,43-9199,missing_in_mi,detailed
4.0,4. Parts & Machining,47-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,47-1011,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2031,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2061,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2140,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2141,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2150,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2152,missing_in_mi,detailed
4.0,4. Parts & Machining,47-2211,missing_in_mi,detailed
4.0,4. Parts & Machining,47-3000,missing_in_mi,detailed
4.0,4. Parts & Machining,47-3015,missing_in_mi,detailed
4.0,4. Parts & Machining,47-4000,missing_in_mi,detailed
4.0,4. Parts & Machining,47-5000,missing_in_mi,detailed
4.0,4. Parts & Machining,47-5032,missing_in_mi,detailed
4.0,4. Parts & Machining,49-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,49-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,49-2090,missing_in_mi,detailed
4.0,4. Parts & Machining,49-2094,missing_in_mi,detailed
4.0,4. Parts & Machining,49-3000,missing_in_mi,detailed
4.0,4. Parts & Machining,49-3011,missing_in_mi,detailed
4.0,4. Parts & Machining,49-3020,missing_in_mi,detailed
4.0,4. Parts & Machining,49-3023,missing_in_mi,detailed
4.0,4. Parts & Machining,49-3040,missing_in_mi,detailed
4.0,4. Parts & Machining,49-3042,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9000,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9010,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9012,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9021,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9040,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9044,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9090,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9096,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9098,missing_in_mi,detailed
4.0,4. Parts & Machining,49-9099,missing_in_mi,detailed
4.0,4. Parts & Machining,51-1000,missing_in_mi,detailed
4.0,4. Parts & Machining,51-2000,missing_in_mi,detailed
4.0,4. Parts & Machining,51-2020,missing_in_mi,detailed
4.0,4. Parts & Machining,51-2051,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4000,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4020,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4030,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4050,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4052,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4060,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4062,missing_in_mi,detailed
4.0,4. Parts & Machining,51-4070,missing_in_mi,detailed
