segment_id,segment_name,occcd,issue,level
1.0,1. Materials & Processing,19-4010,missing_in_mi,detailed
1.0,1. Materials & Processing,19-4013,missing_in_mi,detailed
1.0,1. Materials & Processing,19-4021,missing_in_mi,detailed
1.0,1. Materials & Processing,19-4040,missing_in_mi,detailed
1.0,1. Materials & Processing,19-4042,missing_in_mi,detailed
1.0,1. Materials & Processing,19-4090,missing_in_mi,detailed
1.0,1. Materials & Processing,19-5000,missing_in_mi,detailed
1.0,1. Materials & Processing,23-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,23-1010,missing_in_mi,detailed
1.0,1. Materials & Processing,23-1011,missing_in_mi,detailed
1.0,1. Materials & Processing,27-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,27-1010,missing_in_mi,detailed
1.0,1. Materials & Processing,27-1012,missing_in_mi,detailed
1.0,1. Materials & Processing,27-1013,missing_in_mi,detailed
1.0,1. Materials & Processing,27-1020,missing_in_mi,detailed
1.0,1. Materials & Processing,27-1029,missing_in_mi,detailed
1.0,1. Materials & Processing,27-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,27-3031,missing_in_mi,detailed
1.0,1. Materials & Processing,27-3040,missing_in_mi,detailed
1.0,1. Materials & Processing,27-3042,missing_in_mi,detailed
1.0,1. Materials & Processing,29-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,33-9000,missing_in_mi,detailed
1.0,1. Materials & Processing,33-9030,missing_in_mi,detailed
1.0,1. Materials & Processing,37-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,37-2010,missing_in_mi,detailed
1.0,1. Materials & Processing,37-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,37-3011,missing_in_mi,detailed
1.0,1. Materials & Processing,39-4000,missing_in_mi,detailed
1.0,1. Materials & Processing,39-9000,missing_in_mi,detailed
1.0,1. Materials & Processing,41-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,41-1011,missing_in_mi,detailed
1.0,1. Materials & Processing,41-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,41-2020,missing_in_mi,detailed
1.0,1. Materials & Processing,41-2021,missing_in_mi,detailed
1.0,1. Materials & Processing,41-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,41-4000,missing_in_mi,detailed
1.0,1. Materials & Processing,41-9000,missing_in_mi,detailed
1.0,1. Materials & Processing,41-9090,missing_in_mi,detailed
1.0,1. Materials & Processing,41-9099,missing_in_mi,detailed
1.0,1. Materials & Processing,43-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,43-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,43-3011,missing_in_mi,detailed
1.0,1. Materials & Processing,43-3021,missing_in_mi,detailed
1.0,1. Materials & Processing,43-4000,missing_in_mi,detailed
1.0,1. Materials & Processing,43-4041,missing_in_mi,detailed
1.0,1. Materials & Processing,43-5000,missing_in_mi,detailed
1.0,1. Materials & Processing,43-5011,missing_in_mi,detailed
1.0,1. Materials & Processing,43-5030,missing_in_mi,detailed
1.0,1. Materials & Processing,43-5032,missing_in_mi,detailed
1.0,1. Materials & Processing,43-6000,missing_in_mi,detailed
1.0,1. Materials & Processing,43-9000,missing_in_mi,detailed
1.0,1. Materials & Processing,43-9020,missing_in_mi,detailed
1.0,1. Materials & Processing,43-9199,missing_in_mi,detailed
1.0,1. Materials & Processing,45-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,45-2090,missing_in_mi,detailed
1.0,1. Materials & Processing,45-2091,missing_in_mi,detailed
1.0,1. Materials & Processing,45-2092,missing_in_mi,detailed
1.0,1. Materials & Processing,47-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,47-1011,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2020,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2021,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2022,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2031,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2040,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2044,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2050,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2051,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2061,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2070,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2071,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2073,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2121,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2140,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2141,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2150,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2171,missing_in_mi,detailed
1.0,1. Materials & Processing,47-2221,missing_in_mi,detailed
1.0,1. Materials & Processing,47-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,47-3011,missing_in_mi,detailed
1.0,1. Materials & Processing,47-4000,missing_in_mi,detailed
1.0,1. Materials & Processing,47-4011,missing_in_mi,detailed
1.0,1. Materials & Processing,47-4090,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5000,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5020,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5022,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5023,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5032,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5040,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5044,missing_in_mi,detailed
1.0,1. Materials & Processing,47-5051,missing_in_mi,detailed
1.0,1. Materials & Processing,49-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,49-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,49-2090,missing_in_mi,detailed
1.0,1. Materials & Processing,49-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,49-3020,missing_in_mi,detailed
1.0,1. Materials & Processing,49-3021,missing_in_us,detailed
1.0,1. Materials & Processing,49-3040,missing_in_mi,detailed
1.0,1. Materials & Processing,49-3090,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9000,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9010,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9012,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9021,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9040,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9060,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9069,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9090,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9096,missing_in_mi,detailed
1.0,1. Materials & Processing,49-9099,missing_in_mi,detailed
1.0,1. Materials & Processing,51-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-2000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-2020,missing_in_mi,detailed
1.0,1. Materials & Processing,51-2021,missing_in_mi,detailed
1.0,1. Materials & Processing,51-2028,missing_in_mi,detailed
1.0,1. Materials & Processing,51-2041,missing_in_mi,detailed
1.0,1. Materials & Processing,51-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-3090,missing_in_mi,detailed
1.0,1. Materials & Processing,51-3092,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4020,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4022,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4030,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4032,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4050,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4070,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4120,missing_in_mi,detailed
1.0,1. Materials & Processing,51-4190,missing_in_mi,detailed
1.0,1. Materials & Processing,51-5100,missing_in_mi,detailed
1.0,1. Materials & Processing,51-5111,missing_in_mi,detailed
1.0,1. Materials & Processing,51-5113,missing_in_mi,detailed
1.0,1. Materials & Processing,51-6000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-6060,missing_in_mi,detailed
1.0,1. Materials & Processing,51-6063,missing_in_mi,detailed
1.0,1. Materials & Processing,51-6064,missing_in_mi,detailed
1.0,1. Materials & Processing,51-6090,missing_in_mi,detailed
1.0,1. Materials & Processing,51-6091,missing_in_mi,detailed
1.0,1. Materials & Processing,51-7000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-7011,missing_in_mi,detailed
1.0,1. Materials & Processing,51-7040,missing_in_mi,detailed
1.0,1. Materials & Processing,51-7041,missing_in_mi,detailed
1.0,1. Materials & Processing,51-8000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-8010,missing_in_mi,detailed
