segment_id,segment_name,stage,Occupation Code,Occupation Title,Occupation Type,Display Level,2024 Employment,Projected 2034 Employment,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",segment_share_2024,segment_share_2034
1,1. Materials & Processing,Upstream,13-1071,Human resources specialists,Line Item,4.0,12.3,12.6,0.39999999999999997,22.4,0.005880665519219737,0.0059224441833137485
1,1. Materials & Processing,Upstream,13-1080,Logisticians and project management specialists,Summary,3.0,16.7,18.4,1.5,85.8,0.00798431822528208,0.008648648648648649
1,1. Materials & Processing,Upstream,13-1081,Logisticians,Line Item,4.0,8.8,10.2,1.4,145.0,0.00420730541212469,0.004794359576968272
1,1. Materials & Processing,Upstream,13-1082,Project management specialists,Line Item,4.0,7.9,8.4,0.2,22.4,0.003777012813157392,0.003948296122209166
1,1. Materials & Processing,Upstream,13-1111,Management analysts,Line Item,3.0,1.7,2.0,0.0,24.6,0.0008127749091604513,0.0009400705052878966
1,1. Materials & Processing,Upstream,13-1141,"Compensation, benefits, and job analysis specialists",Line Item,3.0,0.4,0.4,0.0,10.8,0.0001912411550965768,0.00018801410105757932
1,1. Materials & Processing,Upstream,13-1151,Training and development specialists,Line Item,3.0,4.5,4.8,0.30000000000000004,65.7,0.002151462994836489,0.002256169212690952
1,1. Materials & Processing,Upstream,13-1161,Market research analysts and marketing specialists,Line Item,3.0,5.9,6.1000000000000005,0.2,20.8,0.002820807037674508,0.0028672150411280847
1,1. Materials & Processing,Upstream,13-1199,"Business operations specialists, all other",Line Item,3.0,5.1,5.1,0.1,22.4,0.0024383247274813538,0.002397179788484136
1,1. Materials & Processing,Upstream,13-2000,Financial specialists,Summary,2.0,16.7,17.3,0.4,20.9,0.00798431822528208,0.008131609870740306
1,1. Materials & Processing,Upstream,13-2011,Accountants and auditors,Line Item,3.0,14.7,15.3,0.30000000000000004,22.4,0.007028112449799197,0.007191539365452409
1,1. Materials & Processing,Upstream,13-2041,Credit analysts,Line Item,3.0,0.1,0.1,0.0,-4.4,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,13-2050,Financial analysts and advisors,Summary,3.0,1.4000000000000001,1.4000000000000001,0.0,23.0,0.0006693440428380188,0.0006580493537015277
1,1. Materials & Processing,Upstream,13-2051,Financial and investment analysts,Line Item,4.0,1.3,1.4000000000000001,0.0,23.0,0.0006215337540638746,0.0006580493537015277
1,1. Materials & Processing,Upstream,13-2099,"Financial specialists, all other",Line Item,3.0,0.2,0.2,0.0,8.7,9.56205775482884e-05,9.400705052878966e-05
1,1. Materials & Processing,Upstream,15-0000,Computer and mathematical occupations,Summary,1.0,17.2,17.5,0.30000000000000004,-0.09999999999999964,0.008223369669152802,0.008225616921269096
1,1. Materials & Processing,Upstream,15-1200,Computer occupations,Summary,2.0,16.099999999999998,16.2,0.0,-11.7,0.007697456492637215,0.007614571092831962
1,1. Materials & Processing,Upstream,15-1210,Computer and information analysts,Summary,3.0,2.4,2.5,0.1,66.1,0.0011474469305794608,0.0011750881316098707
1,1. Materials & Processing,Upstream,15-1211,Computer systems analysts,Line Item,4.0,1.8,2.0,0.0,32.9,0.0008605851979345956,0.0009400705052878966
1,1. Materials & Processing,Upstream,15-1212,Information security analysts,Line Item,4.0,0.30000000000000004,0.4,0.0,71.8,0.0001434308663224326,0.00018801410105757932
1,1. Materials & Processing,Upstream,15-1230,Computer support specialists,Summary,3.0,4.1000000000000005,3.8,-0.1,-64.7,0.0019602218397399124,0.0017861339600470033
1,1. Materials & Processing,Upstream,15-1231,Computer network support specialists,Line Item,4.0,0.6000000000000001,0.6000000000000001,0.0,-7.7,0.0002868617326448652,0.00028202115158636903
1,1. Materials & Processing,Upstream,15-1232,Computer user support specialists,Line Item,4.0,3.5,3.4000000000000004,-0.1,-79.8,0.0016733601070950468,0.0015981198589894244
1,1. Materials & Processing,Upstream,15-1240,Database and network administrators and architects,Summary,3.0,3.8000000000000003,3.8000000000000003,-0.1,-55.3,0.0018167909734174796,0.0017861339600470036
1,1. Materials & Processing,Upstream,15-1241,Computer network architects,Line Item,4.0,0.30000000000000004,0.4,0.0,26.5,0.0001434308663224326,0.00018801410105757932
1,1. Materials & Processing,Upstream,15-1242,Database administrators,Line Item,4.0,0.2,0.2,0.0,-5.9,9.56205775482884e-05,9.400705052878966e-05
1,1. Materials & Processing,Upstream,15-1244,Network and computer systems administrators,Line Item,4.0,3.0,2.8000000000000003,-0.1,-79.8,0.001434308663224326,0.0013160987074030553
1,1. Materials & Processing,Upstream,15-1250,"Software and web developers, programmers, and testers",Summary,3.0,3.9,4.1000000000000005,0.2,43.5,0.0018646012621916237,0.0019271445358401882
1,1. Materials & Processing,Upstream,15-1251,Computer programmers,Line Item,4.0,0.5,0.4,0.0,-27.0,0.000239051443870721,0.00018801410105757932
1,1. Materials & Processing,Upstream,15-1252,Software developers,Line Item,4.0,2.7,3.1,0.2,73.4,0.0012908777969018934,0.0014571092831962397
1,1. Materials & Processing,Upstream,15-1253,Software quality assurance analysts and testers,Line Item,4.0,0.1,0.1,0.0,2.5,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,15-1254,Web developers,Line Item,4.0,0.30000000000000004,0.30000000000000004,0.0,12.4,0.0001434308663224326,0.00014101057579318451
1,1. Materials & Processing,Upstream,15-1255,Web and digital interface designers,Line Item,4.0,0.30000000000000004,0.30000000000000004,0.0,12.0,0.0001434308663224326,0.00014101057579318451
1,1. Materials & Processing,Upstream,15-1299,"Computer occupations, all other",Line Item,3.0,1.4000000000000001,1.4000000000000001,0.0,13.1,0.0006693440428380188,0.0006580493537015277
1,1. Materials & Processing,Upstream,15-2000,Mathematical science occupations,Summary,2.0,1.0,1.2,0.2,106.8,0.000478102887741442,0.000564042303172738
1,1. Materials & Processing,Upstream,15-2031,Operations research analysts,Line Item,3.0,0.2,0.2,0.0,40.0,9.56205775482884e-05,9.400705052878966e-05
1,1. Materials & Processing,Upstream,15-2051,Data scientists,Line Item,3.0,0.7000000000000001,0.8,0.2,90.4,0.0003346720214190094,0.00037602820211515863
1,1. Materials & Processing,Upstream,17-0000,Architecture and engineering occupations,Summary,1.0,82.2,88.7,6.4,66.39999999999999,0.039300057372346535,0.041692126909518214
1,1. Materials & Processing,Upstream,17-2000,Engineers,Summary,2.0,61.1,67.2,6.0,91.0,0.029212086441002105,0.03158636897767333
1,1. Materials & Processing,Upstream,17-2041,Chemical engineers,Line Item,3.0,5.3999999999999995,5.6000000000000005,0.1,12.4,0.0025817555938037863,0.0026321974148061106
1,1. Materials & Processing,Upstream,17-2051,Civil engineers,Line Item,3.0,0.4,0.4,0.0,4.6,0.0001912411550965768,0.00018801410105757932
1,1. Materials & Processing,Upstream,17-2061,Computer hardware engineers,Line Item,3.0,0.1,0.1,0.0,2.5,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,17-2070,Electrical and electronics engineers,Summary,3.0,2.9,3.2,0.1,42.8,0.0013864983744501817,0.0015041128084606345
1,1. Materials & Processing,Upstream,17-2071,Electrical engineers,Line Item,4.0,2.4,2.6,0.0,46.1,0.0011474469305794608,0.0012220916568742655
