segment,occcd,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
2. Equipment Manufacturing,37-0000,Building and Grounds Cleaning and Maintenance Occupations,250.0,310.0,major,False,0.005222477543346564,,0.0064235391628678,,60.0,24.0,,,,,,,,,,,,
2. Equipment Manufacturing,41-0000,Sales and Related Occupations,1840.0,1920.0,major,False,0.03843743471903071,,0.03978450062163282,,80.0,4.347826086956519,,,,,,,,,,,,
2. Equipment Manufacturing,43-0000,Office and Administrative Support Occupations,4260.0,4150.0,major,False,0.08899101733862544,,0.08599254040613344,,-110.0,-2.5821596244131495,,,,,,,,,,,,
2. Equipment Manufacturing,47-0000,Construction and Extraction Occupations,510.0,520.0,major,False,0.01065385418842699,,0.01077496891835889,,10.0,1.9607843137254832,,,,,,,,,,,,
2. Equipment Manufacturing,49-0000,"Installation, Maintenance, and Repair Occupations",1670.0,1770.0,major,False,0.03488614998955505,,0.03667633651056776,,100.0,5.988023952095811,,,,,,,,,,,,
2. Equipment Manufacturing,51-0000,Production Occupations,25590.0,24370.0,major,False,0.5345728013369543,,0.5049730625777041,,-1220.0,-4.767487299726458,,,,,,,,,,,,
2. Equipment Manufacturing,53-0000,Transportation and Material Moving Occupations,1320.0,1290.0,major,False,0.027574681428869856,,0.02673021135515955,,-30.0,-2.2727272727272707,,,,,,,,,,,,
3.Forging and foundries,00-0000,Total all occupations,15950.0,17010.0,major,True,,,,,1060.0,6.645768025078369,,,,,,,,,,,,
3.Forging and foundries,11-0000,Management Occupations,890.0,1030.0,major,False,0.055834378920953574,,0.060588235294117644,,140.0,15.73033707865168,,,,,,,,,,,,
3.Forging and foundries,13-0000,Business and Financial Operations Occupations,530.0,590.0,major,False,0.033249686323713924,,0.03470588235294118,,60.0,11.32075471698113,,,,,,,,,,,,
3.Forging and foundries,15-0000,Computer and Mathematical Occupations,160.0,160.0,major,False,0.010037641154328732,,0.009411764705882352,,0.0,0.0,,,,,,,,,,,,
3.Forging and foundries,17-0000,Architecture and Engineering Occupations,900.0,740.0,major,False,0.056461731493099125,,0.04352941176470588,,-160.0,-17.777777777777782,,,,,,,,,,,,
3.Forging and foundries,19-0000,"Life, Physical, and Social Science Occupations",70.0,70.0,major,False,0.00439146800501882,,0.00411764705882353,,0.0,0.0,,,,,,,,,,,,
3.Forging and foundries,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",50.0,,major,False,0.003136762860727729,,,,,,,,,,,,,,,,,
3.Forging and foundries,37-0000,Building and Grounds Cleaning and Maintenance Occupations,120.0,80.0,major,False,0.0075282308657465494,,0.004705882352941176,,-40.0,-33.333333333333336,,,,,,,,,,,,
3.Forging and foundries,41-0000,Sales and Related Occupations,220.0,220.0,major,False,0.013801756587202008,,0.012941176470588235,,0.0,0.0,,,,,,,,,,,,
3.Forging and foundries,43-0000,Office and Administrative Support Occupations,1030.0,1070.0,major,False,0.06461731493099122,,0.06294117647058824,,40.0,3.8834951456310662,,,,,,,,,,,,
3.Forging and foundries,47-0000,Construction and Extraction Occupations,140.0,130.0,major,False,0.00878293601003764,,0.007647058823529412,,-10.0,-7.14285714285714,,,,,,,,,,,,
3.Forging and foundries,49-0000,"Installation, Maintenance, and Repair Occupations",940.0,1070.0,major,False,0.05897114178168131,,0.06294117647058824,,130.0,13.829787234042556,,,,,,,,,,,,
3.Forging and foundries,51-0000,Production Occupations,10100.0,10810.0,major,False,0.6336260978670013,,0.6358823529411765,,710.0,7.029702970297036,,,,,,,,,,,,
3.Forging and foundries,53-0000,Transportation and Material Moving Occupations,790.0,1030.0,major,False,0.04956085319949812,,0.060588235294117644,,240.0,30.379746835443044,,,,,,,,,,,,
4. Parts & Machining,00-0000,Total all occupations,47500.0,52670.0,major,True,,,,,5170.0,10.884210526315785,,,,,,,,,,,,
4. Parts & Machining,11-0000,Management Occupations,3560.0,3580.0,major,False,0.07499473351590479,,0.06802204066121983,,20.0,0.561797752808979,,,,,,,,,,,,
4. Parts & Machining,13-0000,Business and Financial Operations Occupations,1650.0,2390.0,major,False,0.03475879502843902,,0.045411362340870225,,740.0,44.84848484848485,,,,,,,,,,,,
4. Parts & Machining,15-0000,Computer and Mathematical Occupations,430.0,510.0,major,False,0.009058352643775016,,0.009690290708721261,,80.0,18.60465116279071,,,,,,,,,,,,
4. Parts & Machining,17-0000,Architecture and Engineering Occupations,3420.0,3360.0,major,False,0.07204550242258269,,0.06384191525745772,,-60.0,-1.7543859649122862,,,,,,,,,,,,
4. Parts & Machining,19-0000,"Life, Physical, and Social Science Occupations",,160.0,major,False,,,0.0030400912027360822,,,,,,,,,,,,,,,
4. Parts & Machining,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",60.0,70.0,major,False,0.0012639561828523278,,0.001330039901197036,,10.0,16.666666666666675,,,,,,,,,,,,
4. Parts & Machining,37-0000,Building and Grounds Cleaning and Maintenance Occupations,270.0,180.0,major,False,0.005687802822835475,,0.003420102603078092,,-90.0,-33.333333333333336,,,,,,,,,,,,
4. Parts & Machining,41-0000,Sales and Related Occupations,1020.0,1180.0,major,False,0.021487255108489572,,0.022420672620178606,,160.0,15.686274509803933,,,,,,,,,,,,
4. Parts & Machining,43-0000,Office and Administrative Support Occupations,4220.0,4120.0,major,False,0.08889825152728038,,0.07828234847045411,,-100.0,-2.3696682464455,,,,,,,,,,,,
4. Parts & Machining,47-0000,Construction and Extraction Occupations,260.0,160.0,major,False,0.0054771434590267535,,0.0030400912027360822,,-100.0,-38.46153846153846,,,,,,,,,,,,
4. Parts & Machining,49-0000,"Installation, Maintenance, and Repair Occupations",1630.0,1900.0,major,False,0.034337476300821575,,0.036101083032490974,,270.0,16.564417177914102,,,,,,,,,,,,
4. Parts & Machining,51-0000,Production Occupations,28800.0,32440.0,major,False,0.6066989677691174,,0.6163784913547407,,3640.0,12.63888888888889,,,,,,,,,,,,
4. Parts & Machining,53-0000,Transportation and Material Moving Occupations,2150.0,2580.0,major,False,0.04529176321887508,,0.049021470644119325,,430.0,19.999999999999996,,,,,,,,,,,,
5. Component Systems,00-0000,Total all occupations,16710.0,17860.0,major,True,,,,,1150.0,6.882106523040088,,,,,,,,,,,,
5. Component Systems,11-0000,Management Occupations,1670.0,1840.0,major,False,0.09994015559545183,,0.10302351623740201,,170.0,10.179640718562876,,,,,,,,,,,,
5. Component Systems,13-0000,Business and Financial Operations Occupations,1230.0,1520.0,major,False,0.07360861759425494,,0.0851063829787234,,290.0,23.57723577235773,,,,,,,,,,,,
5. Component Systems,15-0000,Computer and Mathematical Occupations,930.0,1030.0,major,False,0.05565529622980251,,0.05767077267637178,,100.0,10.752688172043001,,,,,,,,,,,,
5. Component Systems,17-0000,Architecture and Engineering Occupations,1640.0,3220.0,major,False,0.09814482345900659,,0.18029115341545351,,1580.0,96.34146341463415,,,,,,,,,,,,
5. Component Systems,19-0000,"Life, Physical, and Social Science Occupations",180.0,110.0,major,False,0.010771992818671455,,0.006159014557670772,,-70.0,-38.888888888888886,,,,,,,,,,,,
5. Component Systems,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",210.0,70.0,major,False,0.012567324955116697,,0.003919372900335946,,-140.0,-66.66666666666667,,,,,,,,,,,,
5. Component Systems,37-0000,Building and Grounds Cleaning and Maintenance Occupations,70.0,40.0,major,False,0.004189108318372232,,0.0022396416573348264,,-30.0,-42.85714285714286,,,,,,,,,,,,
5. Component Systems,41-0000,Sales and Related Occupations,910.0,860.0,major,False,0.054458408138839016,,0.048152295632698766,,-50.0,-5.494505494505497,,,,,,,,,,,,
5. Component Systems,43-0000,Office and Administrative Support Occupations,1730.0,1370.0,major,False,0.10353081986834231,,0.0767077267637178,,-360.0,-20.809248554913296,,,,,,,,,,,,
5. Component Systems,47-0000,Construction and Extraction Occupations,30.0,190.0,major,False,0.0017953321364452424,,0.010638297872340425,,160.0,533.3333333333333,,,,,,,,,,,,
5. Component Systems,49-0000,"Installation, Maintenance, and Repair Occupations",590.0,670.0,major,False,0.0353081986834231,,0.037513997760358346,,80.0,13.559322033898313,,,,,,,,,,,,
5. Component Systems,51-0000,Production Occupations,7070.0,6450.0,major,False,0.42309994015559543,,0.36114221724524076,,-620.0,-8.769448373408773,,,,,,,,,,,,
5. Component Systems,53-0000,Transportation and Material Moving Occupations,450.0,490.0,major,False,0.026929982046678635,,0.027435610302351622,,40.0,8.888888888888879,,,,,,,,,,,,
6. Engineering & Design,00-0000,Total all occupations,120900.0,125730.0,major,True,,,,,4830.0,3.995037220843667,,,,,,,,,,,,
6. Engineering & Design,11-0000,Management Occupations,14380.0,14870.0,major,False,0.11898063875558497,,0.11832577385215247,,490.0,3.4075104311543702,,,,,,,,,,,,
6. Engineering & Design,13-0000,Business and Financial Operations Occupations,12260.0,12260.0,major,False,0.10143968227701473,,0.0975570939762871,,0.0,0.0,,,,,,,,,,,,
6. Engineering & Design,15-0000,Computer and Mathematical Occupations,8030.0,11700.0,major,False,0.0664405096806222,,0.09310097875387921,,3670.0,45.70361145703612,,,,,,,,,,,,
6. Engineering & Design,17-0000,Architecture and Engineering Occupations,52260.0,49530.0,major,False,0.4324011252689062,,0.3941274767247553,,-2730.0,-5.223880597014929,,,,,,,,,,,,
6. Engineering & Design,19-0000,"Life, Physical, and Social Science Occupations",5590.0,5870.0,major,False,0.04625186165811683,,0.04670963634916846,,280.0,5.008944543828275,,,,,,,,,,,,
6. Engineering & Design,21-0000,Community and Social Service Occupations,50.0,70.0,major,False,0.0004137018037398643,,0.0005570144028009867,,20.0,39.99999999999999,,,,,,,,,,,,
6. Engineering & Design,23-0000,Legal Occupations,210.0,260.0,major,False,0.0017375475757074302,,0.0020689106389750935,,50.0,23.809523809523814,,,,,,,,,,,,
6. Engineering & Design,25-0000,Educational Instruction and Library Occupations,40.0,130.0,major,False,0.00033096144299189144,,0.0010344553194875468,,90.0,225.0,,,,,,,,,,,,
6. Engineering & Design,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",4140.0,3330.0,major,False,0.03425450934966076,,0.02649797087610408,,-810.0,-19.565217391304344,,,,,,,,,,,,
6. Engineering & Design,29-0000,Healthcare Practitioners and Technical Occupations,460.0,970.0,major,False,0.0038060565944067516,,0.007718628153099387,,510.0,110.86956521739131,,,,,,,,,,,,
6. Engineering & Design,31-0000,Healthcare Support Occupations,,110.0,major,False,,,0.0008753083472586934,,,,,,,,,,,,,,,
6. Engineering & Design,33-0000,Protective Service Occupations,60.0,80.0,major,False,0.0004964421644878371,,0.0006365878889154134,,20.0,33.33333333333333,,,,,,,,,,,,
6. Engineering & Design,35-0000,Food Preparation and Serving Related Occupations,40.0,,major,False,0.00033096144299189144,,,,,,,,,,,,,,,,,
6. Engineering & Design,37-0000,Building and Grounds Cleaning and Maintenance Occupations,250.0,340.0,major,False,0.0020685090186993217,,0.0027054985278905067,,90.0,36.00000000000001,,,,,,,,,,,,
6. Engineering & Design,41-0000,Sales and Related Occupations,3020.0,3770.0,major,False,0.024987588945887804,,0.029999204265138857,,750.0,24.83443708609272,,,,,,,,,,,,
6. Engineering & Design,43-0000,Office and Administrative Support Occupations,6410.0,7280.0,major,False,0.0530365712394506,,0.05792949789130262,,870.0,13.572542901716078,,,,,,,,,,,,
