segment_id,segment_name,year,methodology,occcd,soctitle,employment,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,empl_2021,ep_openings_annual_avg,openings
0,0. All Segments,2033,bea_moody,19-3051,Urban and Regional Planners,0.203894109367718,4.955347015313278e-07,0.0007311129163281062,0.0007250288975889767,Master's degree,,,BA+,3.676671811534893,3.4,0.32335324848264474
0,0. All Segments,2033,lightcast_bls,19-3051,Urban and Regional Planners,3.803529462995168,8.681088240090242e-06,0.0007311129163281062,0.0007250288975889767,Master's degree,,,BA+,3.676671811534893,3.4,0.3217003032103938
0,0. All Segments,2033,lightcast_moody,19-3051,Urban and Regional Planners,3.8230725780652612,8.522112321471501e-06,0.0007311129163281062,0.0007250288975889767,Master's degree,,,BA+,3.676671811534893,3.4,0.32335324848264463
0,0. All Segments,2034,bea_bls,19-3051,Urban and Regional Planners,0.20375508580727295,5.078196425034596e-07,0.0007311129163281062,0.0007250288975889767,Master's degree,,,BA+,3.676671811534893,3.4,0.32313277266789486
0,0. All Segments,2034,bea_moody,19-3051,Urban and Regional Planners,0.20431071926787597,5.016927010837079e-07,0.0007311129163281062,0.0007250288975889767,Master's degree,,,BA+,3.676671811534893,3.4,0.32401394517949317
0,0. All Segments,2034,lightcast_bls,19-3051,Urban and Regional Planners,3.8204658467413837,8.750194655831998e-06,0.0007311129163281062,0.0007250288975889767,Master's degree,,,BA+,3.676671811534893,3.4,0.3231327726678946
0,0. All Segments,2034,lightcast_moody,19-3051,Urban and Regional Planners,3.8308841322586784,8.624443205949633e-06,0.0007311129163281062,0.0007250288975889767,Master's degree,,,BA+,3.676671811534893,3.4,0.32401394517949306
0,0. All Segments,2024,bea_bls,19-3099,"Social Scientists and Related Workers, All Other",0.2598677696646603,6.2351279495377e-07,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.29090909090909095
0,0. All Segments,2024,bea_moody,19-3099,"Social Scientists and Related Workers, All Other",0.2598677696646603,6.2351279495377e-07,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.29090909090909095
0,0. All Segments,2024,lightcast_bls,19-3099,"Social Scientists and Related Workers, All Other",4.872594638505232,1.076146025995303e-05,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.29090909090909084
0,0. All Segments,2024,lightcast_moody,19-3099,"Social Scientists and Related Workers, All Other",4.872594638505232,1.076146025995303e-05,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.29090909090909084
0,0. All Segments,2025,bea_bls,19-3099,"Social Scientists and Related Workers, All Other",0.2612875536683293,6.293986578144075e-07,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.2924984687466258
0,0. All Segments,2025,bea_moody,19-3099,"Social Scientists and Related Workers, All Other",0.256762437195882,6.210257881799495e-07,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.2874328250888682
0,0. All Segments,2025,lightcast_bls,19-3099,"Social Scientists and Related Workers, All Other",4.899215992638684,1.0861300380695516e-05,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.2924984687466257
0,0. All Segments,2025,lightcast_moody,19-3099,"Social Scientists and Related Workers, All Other",4.814368770950858,1.0745429230547249e-05,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.28743282508886814
0,0. All Segments,2026,bea_bls,19-3099,"Social Scientists and Related Workers, All Other",0.26271504798452433,6.353192960760502e-07,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.29409647789696436
0,0. All Segments,2026,bea_moody,19-3099,"Social Scientists and Related Workers, All Other",0.258223528450291,6.257249043648675e-07,0.0009748172217709083,0.0009764698957428985,Bachelor's degree,,,BA+,4.902229082047027,3.2,0.2890684443467078
