stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
OEM,2037,181035.8428829139,Forecast,Moody,-0.0011042731667109
OEM,2038,180961.26207062477,Forecast,Moody,-0.04119671060794
OEM,2039,180768.0968218085,Forecast,Moody,-0.1067439774712162
OEM,2040,180405.9887982829,Forecast,Moody,-0.2003163334084038
OEM,2041,179980.19225719201,Forecast,Moody,-0.2360212894966498
OEM,2042,179609.9124629543,Forecast,Moody,-0.2057336363484823
OEM,2043,179261.20220473042,Forecast,Moody,-0.194148671107333
OEM,2044,178939.59045627769,Forecast,Moody,-0.1794095679919753
OEM,2045,178633.03177260503,Forecast,Moody,-0.1713196520071166
OEM,2046,178324.809707306,Forecast,Moody,-0.172544832408923
OEM,2047,177952.1887596283,Forecast,Moody,-0.2089563130835835
OEM,2048,177528.90218756086,Forecast,Moody,-0.2378653361994991
OEM,2049,177139.58424907137,Forecast,Moody,-0.2192983416740552
OEM,2050,176789.30712027705,Forecast,Moody,-0.1977407422960789
OEM,2051,176441.40533112866,Forecast,Moody,-0.1967889318734201
OEM,2052,176065.83704782816,Forecast,Moody,-0.2128572273586604
OEM,2053,175608.36127816243,Forecast,Moody,-0.2598322180704807
OEM,2054,175021.76169764606,Forecast,Moody,-0.3340385254134986
OEM,2055,174341.88105866069,Forecast,Moody,-0.3884549169147716
Upstream,2001,101204.05,QCEW,,
Upstream,2002,93718.87,QCEW,,
Upstream,2003,90765.95,QCEW,,
Upstream,2004,90949.04,QCEW,,
Upstream,2005,90714.65,QCEW,,
Upstream,2006,88238.11,QCEW,,
Upstream,2007,84293.16,QCEW,,
Upstream,2008,80458.02,QCEW,,
Upstream,2009,62587.37,QCEW,,
Upstream,2010,66263.75,QCEW,,
Upstream,2011,73961.21,QCEW,,
Upstream,2012,77967.82,QCEW,,
Upstream,2013,79599.67,QCEW,,
Upstream,2014,82926.78,QCEW,,
Upstream,2015,85340.12,QCEW,,
Upstream,2016,85692.98,QCEW,,
Upstream,2017,86515.83,QCEW,,
Upstream,2018,88523.09,QCEW,,
Upstream,2019,87573.13,QCEW,,
Upstream,2020,75936.48,QCEW,,
Upstream,2021,77664.83,QCEW,,
Upstream,2022,79474.6,QCEW,,
Upstream,2023,81282.5,QCEW,,
Upstream,2024,79562.27,QCEW,,
Upstream,2025,79581.31414810798,Forecast,BLS,0.0239361547979655
Upstream,2025,77789.82815996342,Forecast,Moody,-2.227741667044679
Upstream,2026,79600.36285465273,Forecast,BLS,0.0239361547979655
Upstream,2026,77371.8554646943,Forecast,Moody,-0.5373102180012963
Upstream,2027,79619.41612072536,Forecast,BLS,0.0239361547979655
Upstream,2027,76855.68917822948,Forecast,Moody,-0.6671240897154654
Upstream,2028,79638.47394741725,Forecast,BLS,0.0239361547979655
Upstream,2028,76323.42074195616,Forecast,Moody,-0.6925556741010905
Upstream,2029,79657.53633582004,Forecast,BLS,0.0239361547979655
Upstream,2029,75616.32737620876,Forecast,Moody,-0.9264434938497031
Upstream,2030,79676.60328702563,Forecast,BLS,0.0239361547979655
Upstream,2030,74952.2434836255,Forecast,Moody,-0.8782281758796526
Upstream,2031,79695.67480212617,Forecast,BLS,0.0239361547979655
Upstream,2031,74174.07062279631,Forecast,Moody,-1.038224907836403
Upstream,2032,79714.7508822141,Forecast,BLS,0.0239361547979655
Upstream,2032,73113.30382983293,Forecast,Moody,-1.430104595927835
Upstream,2033,79733.83152838207,Forecast,BLS,0.0239361547979655
Upstream,2033,71826.26506771277,Forecast,Moody,-1.7603345693632917
Upstream,2034,79752.91674172305,Forecast,BLS,0.0239361547979655
Upstream,2034,70483.77400690338,Forecast,Moody,-1.8690809824843089
Upstream,2035,69225.62367510064,Forecast,Moody,-1.7850212329429274
Upstream,2036,68121.22712002331,Forecast,Moody,-1.5953580429417722
Upstream,2037,67080.19518502135,Forecast,Moody,-1.528204906185487
Upstream,2038,66056.90702781384,Forecast,Moody,-1.5254698564681757
Upstream,2039,65078.485728638996,Forecast,Moody,-1.4811794000025982
Upstream,2040,64078.7923980908,Forecast,Moody,-1.5361348982775385
Upstream,2041,63084.98029205918,Forecast,Moody,-1.5509220271467374
Upstream,2042,62093.86832260343,Forecast,Moody,-1.5710743902388251
Upstream,2043,61100.88348369682,Forecast,Moody,-1.5991673022328683
Upstream,2044,60134.754192746106,Forecast,Moody,-1.5812034718098666
Upstream,2045,59194.714088254055,Forecast,Moody,-1.5632226606913526
