stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
OEM,2037,298156.3409131104,Forecast,Moody,-0.0011042731667109
OEM,2038,298033.51030818524,Forecast,Moody,-0.04119671060794
OEM,2039,297715.3774850852,Forecast,Moody,-0.1067439774712162
OEM,2040,297119.0049569141,Forecast,Moody,-0.2003163334084038
OEM,2041,296417.7408500752,Forecast,Moody,-0.2360212894966498
OEM,2042,295807.90985304234,Forecast,Moody,-0.2057336363484823
OEM,2043,295233.60272703227,Forecast,Moody,-0.194148671107333
OEM,2044,294703.92539581255,Forecast,Moody,-0.1794095679919753
OEM,2045,294199.03965637315,Forecast,Moody,-0.1713196520071166
OEM,2046,293691.4144164494,Forecast,Moody,-0.172544832408923
OEM,2047,293077.72766504175,Forecast,Moody,-0.2089563130835835
OEM,2048,292380.5973428055,Forecast,Moody,-0.2378653361994991
OEM,2049,291739.411541456,Forecast,Moody,-0.2192983416740552
OEM,2050,291162.5238635037,Forecast,Moody,-0.1977407422960789
OEM,2051,290589.54824277706,Forecast,Moody,-0.1967889318734201
OEM,2052,289971.00738739345,Forecast,Moody,-0.2128572273586604
OEM,2053,289217.5692871375,Forecast,Moody,-0.2598322180704807
OEM,2054,288251.471183454,Forecast,Moody,-0.3340385254134986
OEM,2055,287131.7441705627,Forecast,Moody,-0.3884549169147716
Upstream,2001,259100.0,QCEW,,
Upstream,2002,238374.0,QCEW,,
Upstream,2003,230883.0,QCEW,,
Upstream,2004,230022.0,QCEW,,
Upstream,2005,232073.0,QCEW,,
Upstream,2006,226718.0,QCEW,,
Upstream,2007,217064.0,QCEW,,
Upstream,2008,207466.0,QCEW,,
Upstream,2009,163364.0,QCEW,,
Upstream,2010,171977.0,QCEW,,
Upstream,2011,190260.0,QCEW,,
Upstream,2012,201476.0,QCEW,,
Upstream,2013,205887.0,QCEW,,
Upstream,2014,213904.0,QCEW,,
Upstream,2015,220278.0,QCEW,,
Upstream,2016,221825.0,QCEW,,
Upstream,2017,224348.0,QCEW,,
Upstream,2018,229519.0,QCEW,,
Upstream,2019,227192.0,QCEW,,
Upstream,2020,197715.0,QCEW,,
Upstream,2021,201624.0,QCEW,,
Upstream,2022,205458.0,QCEW,,
Upstream,2023,209044.0,QCEW,,
Upstream,2024,205217.0,QCEW,,
Upstream,2025,205266.12105879173,Forecast,BLS,0.0239361547979655
Upstream,2025,200645.2953831409,Forecast,Moody,-2.227741667044679
Upstream,2026,205315.25387527613,Forecast,BLS,0.0239361547979655
Upstream,2026,199567.20770910842,Forecast,Moody,-0.5373102180012963
Upstream,2027,205364.39845226755,Forecast,BLS,0.0239361547979655
Upstream,2027,198235.84679130846,Forecast,Moody,-0.6671240897154654
Upstream,2028,205413.55479258098,Forecast,BLS,0.0239361547979655
Upstream,2028,196862.9531862529,Forecast,Moody,-0.6925556741010905
Upstream,2029,205462.72289903215,Forecast,BLS,0.0239361547979655
Upstream,2029,195039.1291646585,Forecast,Moody,-0.9264434938497031
Upstream,2030,205511.90277443736,Forecast,BLS,0.0239361547979655
Upstream,2030,193326.24057834415,Forecast,Moody,-0.8782281758796526
Upstream,2031,205561.0944216137,Forecast,BLS,0.0239361547979655
