stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
OEM,2055,169709.33249414078,Forecast,Moody,-0.3884549169147716
Upstream,2001,15531.291111477,QCEW,,
Upstream,2002,14301.686463480999,QCEW,,
Upstream,2003,13815.577595825,QCEW,,
Upstream,2004,13916.400831207,QCEW,,
Upstream,2005,13845.120726927,QCEW,,
Upstream,2006,13440.129514147,QCEW,,
Upstream,2007,12811.704711004999,QCEW,,
Upstream,2008,12205.434202011,QCEW,,
Upstream,2009,9411.921174769,QCEW,,
Upstream,2010,9994.191463919,QCEW,,
Upstream,2011,11129.06674308,QCEW,,
Upstream,2012,11715.36168482,QCEW,,
Upstream,2013,11933.675616983,QCEW,,
Upstream,2014,12387.597036127,QCEW,,
Upstream,2015,12696.570305203999,QCEW,,
Upstream,2016,12719.915277494,QCEW,,
Upstream,2017,12834.685811553,QCEW,,
Upstream,2018,13120.431522388999,QCEW,,
Upstream,2019,12977.971179738,QCEW,,
Upstream,2020,11134.434704308,QCEW,,
Upstream,2021,11365.400447482,QCEW,,
Upstream,2022,11612.870160894,QCEW,,
Upstream,2023,11831.493951842,QCEW,,
Upstream,2024,11602.590562029,QCEW,,
Upstream,2025,11344.114817622087,Forecast,Moody,-2.227741667044679
Upstream,2026,11283.161729565205,Forecast,Moody,-0.5373102180012963
Upstream,2027,11207.88903958572,Forecast,Moody,-0.6671240897154654
Upstream,2028,11130.268168095114,Forecast,Moody,-0.6925556741010905
Upstream,2029,11027.152522803772,Forecast,Moody,-0.9264434938497031
Upstream,2030,10930.308962351286,Forecast,Moody,-0.8782281758796526
Upstream,2031,10816.82777220068,Forecast,Moody,-1.038224907836403
Upstream,2032,10662.13582109684,Forecast,Moody,-1.430104595927835
Upstream,2033,10474.446558405605,Forecast,Moody,-1.7603345693632917
Upstream,2034,10278.670669761965,Forecast,Moody,-1.8690809824843089
Upstream,2035,10095.194215842437,Forecast,Moody,-1.7850212329429274
Upstream,2036,9934.139722969401,Forecast,Moody,-1.5953580429417722
Upstream,2037,9782.325712335662,Forecast,Moody,-1.528204906185487
Upstream,2038,9633.099282332445,Forecast,Moody,-1.5254698564681757
Upstream,2039,9490.41580018074,Forecast,Moody,-1.4811794000025982
Upstream,2040,9344.630211082516,Forecast,Moody,-1.5361348982775385
Upstream,2041,9199.702282783428,Forecast,Moody,-1.5509220271467374
Upstream,2042,9055.1681162404,Forecast,Moody,-1.5710743902388251
Upstream,2043,8910.360828563267,Forecast,Moody,-1.5991673022328683
Upstream,2044,8769.469893791238,Forecast,Moody,-1.5812034718098666
Upstream,2045,8632.383553188987,Forecast,Moody,-1.5632226606913526
Upstream,2046,8499.218072224128,Forecast,Moody,-1.5426270177217138
Upstream,2047,8367.067167701085,Forecast,Moody,-1.5548595576682471
Upstream,2048,8233.464670537283,Forecast,Moody,-1.5967661605435772
Upstream,2049,8103.105946086882,Forecast,Moody,-1.5832790892621185
Upstream,2050,7979.506571414545,Forecast,Moody,-1.5253333165664142
Upstream,2051,7861.090183672902,Forecast,Moody,-1.4840063941529014
Upstream,2052,7744.459695108222,Forecast,Moody,-1.4836426734667871
Upstream,2053,7625.549832180168,Forecast,Moody,-1.5354184489224452
Upstream,2054,7502.551726472037,Forecast,Moody,-1.6129736007897126
Upstream,2055,7377.508401201234,Forecast,Moody,-1.666677283004929
