Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,3366,,,53684397.5284,1840864917.7434115,0.029162594718904183
Upstream,5. Component Systems,3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",8300.0,1025158488.3342,35436726744.972916,0.028929265835186933
,,4821,,,1469090743.8429,53119337544.36221,0.027656420651255297
,,3322,,,82370104.8034,2981650351.8124146,0.02762567540936878
,,3219,,,1649674244.4948,62726399487.87359,0.026299520743474507
Upstream,1. Materials & Processing - Non-Metals,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",0.0,2196991078.2213,86949268852.14177,0.02526750491665788
,,3353,,,496213696.14900005,21188482238.328342,0.023419029761904676
,,4248,,,869307823.7030001,37151243087.5838,0.023399158452211487
,,4246,,,767645898.157,32807330825.34584,0.023398608751308184
,,4249,,,1450872138.5830002,62037538482.453354,0.02338700364446864
,,4245,,,233577138.013,9987899209.16364,0.023386012726149562
,,4243,,,681226684.849,29130366526.597015,0.02338544845383311
,,4241,,,472656142.9468,20212917603.46262,0.02338386531916751
,,4251,,,1577912830.0430002,71005006488.99818,0.022222557366958183
,,3323,,,2389493021.5856,115229406346.28726,0.020736833568374885
,,3132,,,139091399.15579998,6946383763.553426,0.020023569657292836
,,4234,,,1689471895.7678,90248470178.974,0.018720227527595383
,,5331,,,4461708420.306,240572982180.17813,0.018546174137561235
,,3341,,,127653437.12890002,7631894773.029799,0.016726309904063662
,,3351,,,134989854.06440002,8083897807.5345745,0.01669860966557285
,,3274,,,186499866.1554,11169010709.91684,0.01669797540706169
,,3271,,,86235557.831,5302689659.018044,0.016262606974244306
,,3324,,,387272690.10710007,25829897283.89836,0.014993195127745051
,,5511,,,12634797680.986801,863700464583.066,0.014628679963818237
,,6211,,,1458711.3551999999,106586540.76343358,0.013685699383354386
,,4572,,,22474615.9513,1765284741.0402722,0.01273143953992138
,,5411,,,3318502004.784,266122280660.34946,0.012469839039968952
,,4242,,,1540292430.0282998,123851668975.91028,0.012436590017433627
,,5178,,,157753131.181,13246395901.602613,0.011909136066355547
,,5174,,,24713793.492700003,2076903632.1812015,0.011899345308932382
,,5231,,,1944712374.3929,163852527923.9759,0.011868674832378573
,,5232,,,133278599.30799998,11280254691.186792,0.011815211886317593
,,4552,,,144457656.13976428,12653335535.588915,0.011416567254812854
,,4551,,,51784015.0262,4566616593.732701,0.011339689672496092
,,3211,,,455900098.0384,43876163725.643654,0.010390609828359876
,,4811,,,546084505.349185,54230130960.687454,0.010069761877304942
,,4812,,,84753576.0714,8454082014.154296,0.01002516605936645
,,8131,,,26331.315,2672873.051877,0.009851315228573644
,,4561,,,45143415.734799996,4738094897.213191,0.009527756770205686
,,3259,,,387368591.9862,40774148009.39007,0.009500347914001565
,,3122,,,5347533.6332,578103434.0619348,0.009250132966044784
