Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,4248,,,1272164026.8472366,37151243087.5838,0.03424283876176414
,,4246,,,1123114596.4905512,32807330825.34584,0.03423364742683884
,,4249,,,2123082270.9679012,62037538482.453354,0.03422254207536606
,,4243,,,996906542.348881,29130366526.597015,0.03422224507332139
,,4245,,,341498674.5907061,9987899209.16364,0.03419124156533237
,,3332,,,212307654.93491858,6209968570.038768,0.03418820120269839
,,4241,,,690977408.7525332,20212917603.46262,0.03418494164514695
,,5331,,,8215354015.915131,240572982180.17813,0.0341491132606163
,,3274,,,371256933.4694681,11169010709.91684,0.03323991203086888
,,3365,,,206256892.97813767,6574063126.77083,0.03137434019126171
,,3324,,,808399570.6684813,25829897283.89836,0.031297049375895704
,,3323,,,3453669990.1271796,115229406346.28726,0.029972123433042907
,,4242,,,3624668177.4878016,123851668975.91028,0.029266203737575925
,,5511,,,24188261616.647865,863700464583.066,0.028005382199631283
,,4234,,,2501483249.6291695,90248470178.974,0.027717735765142783
,,3271,,,143818235.5670266,5302689659.018044,0.02712175232100212
,,4921,,,2945718611.794931,111935426800.7482,0.026316231563028633
,,4922,,,817307923.9831616,31114588710.735683,0.026267675641849644
,,6242,,,222154.6617305415,8940543.950220855,0.024848002869562954
,,4931,,,4630595713.135119,188619419596.16827,0.0245499414803055
,,1132,,,11637064.86379272,489494774.32266396,0.02377362430456066
,,1133,,,302428372.89380866,12746842606.919437,0.023725747796528047
,,1131,,,24908581.32961126,1055265849.5908803,0.023604081700614264
,,4832,,,141066557.78653762,6383857820.029781,0.022097384021293808
,,4831,,,255262513.63485062,11580032556.41498,0.0220433329864382
,,4572,,,37669923.35215778,1765284741.0402722,0.021339290187235804
,,6112,,,8428288.119959222,400571440.39457995,0.02104066158999503
,,3341,,,159290924.40431952,7631894773.029799,0.020871740130279908
,,8129,,,266363099.39370915,12813845427.299126,0.020787132239494525
Downstream,"9. Dealers, Maintenance, & Repair",8111,Automotive Repair and Maintenance,31210.0,1260742515.3871403,60769193390.67089,0.0207464085837395
,,3351,,,166968506.22698212,8083897807.5345745,0.02065445533853231
,,3251,,,3926770563.220063,194278075581.4848,0.02021211375224418
,,2211,,,5830859797.107182,297985490858.42316,0.019567596329304167
,,3259,,,789254647.6895573,40774148009.39007,0.0193567416174532
,,5222,,,2590424143.0091295,133838604830.36107,0.019354835223308425
,,5223,,,1575686092.687973,81455802842.24747,0.019344061904828902
,,8131,,,51640.782723371725,2672873.051877,0.019320327498198044
,,6113,,,671130394.2490373,35339029455.44468,0.018991194851437448
,,5411,,,5019292466.066122,266122280660.34946,0.01886085018365005
,,8113,,,958292055.976072,51020394030.25809,0.01878252950002206
,,6111,,,15159284.522017507,819170786.7840502,0.01850564591241191
,,5231,,,3006576508.034944,163852527923.9759,0.018349283627958013
,,5232,,,205852660.82629886,11280254691.186792,0.018248937321169754
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4571,Gasoline Stations,27370.0,352869038.5078708,19365906642.791557,0.018221147350166375
,,4561,,,85062748.82141271,4738094897.213191,0.0179529432539319
,,4582,,,4329153.181345322,243830092.76640072,0.01775479446457345
,,4879,,,8745651.735144727,493237999.0507568,0.01773109888527618
,,4871,,,23943040.10559561,1353241623.3926194,0.017693100545909647
,,6211,,,1882224.693341425,106586540.76343358,0.017659121685157042
,,4552,,,220802362.7964311,12653335535.588915,0.017450131008965964
,,4551,,,79565670.22203438,4566616593.732701,0.01742333050933849
,,4872,,,46189900.452682555,2653837181.058601,0.017404948872657536
,,4883,,,432297840.8895798,24903838605.70028,0.01735868304216485
,,4881,,,732024300.1321094,42259865891.06969,0.017321974045516317
,,4889,,,111894403.51457033,6463249680.458402,0.01731240614963126
,,4885,,,1027617153.3421433,59448505703.4081,0.01728583656028265
,,4884,,,352311940.50770164,20409962924.11862,0.017261762885976226
,,5174,,,35830891.90925762,2076903632.1812015,0.01725207243805885
,,4882,,,119388172.88668442,6926942267.863598,0.017235335342776867
,,5178,,,227845658.92584056,13246395901.602613,0.01720057747166342
,,5418,,,2843293166.7963734,165700720428.32388,0.01715920823667317
,,4583,,,6122976.401550939,368569441.7512895,0.016612816223876534
,,5619,,,953308424.7092911,57443819392.67829,0.01659549164362839
,,5419,,,2481793046.5889134,150188158281.24707,0.016524558760094985
,,5323,,,60497249.08946397,3687335277.494561,0.016406766550008473
,,5322,,,216552273.9016679,13207627429.246328,0.016396001103282567
,,6241,,,1333383.2671600436,82548423.35739866,0.0161527405724889
,,4581,,,22140814.833500106,1380160906.0470293,0.016042198222317748
,,2372,,,18360640.99022824,1151679020.9064,0.01594249843656782
,,4593,,,5855816.085335279,369637816.9885,0.01584203730301075
,,2379,,,50431214.30710616,3187022709.1639013,0.015823926877614414
,,2381,,,279962373.3055451,17800821565.31339,0.015727497311195944
,,2371,,,187393250.38309205,11945105861.612898,0.015687868534116876
,,2383,,,303142153.23483336,19395313195.943695,0.015629660123159653
,,4592,,,6579078.242118261,422069945.18619,0.01558764919690265
,,2212,,,353126474.54634666,22711767223.508965,0.015548172498916123
,,2362,,,305138845.2049698,19648119745.091057,0.015530180453079058
,,2373,,,114001480.05560617,7342295472.764203,0.015526681060233506
,,2361,,,337517224.27749497,21763194894.815464,0.015508624809397815
,,2382,,,727630324.8699414,46972472686.76625,0.015490568906646886
,,2389,,,294380751.3687253,19008585554.91272,0.015486725749178289
,,4594,,,22116787.129621893,1458738529.6202397,0.01516158425964087
,,5616,,,1035955675.5941137,68344079403.17714,0.015157943228451107
,,4591,,,43134418.35158144,2869793986.2334523,0.01503049297562802
,,4599,,,79314081.99072649,5293603535.828216,0.014983003818459807
,,4491,,,50610086.13428369,3411895600.5986195,0.01483342166899952
,,4492,,,55585885.26654755,3759222239.318518,0.014786538738030106
,,5241,,,4492327464.691792,307580381969.691,0.014605377091749845
,,4595,,,20117655.061902534,1378294780.6053796,0.014596046756461187
OEM,6. Engineering & Design,5414,Industrial design,10160.0,545514501.660733,37624945033.394585,0.014498745477941654
,,5221,,,6198067511.659393,438671950917.1766,0.0141291630310542
,,5211,,,97023663.64901575,6871707720.6076,0.0141192942997344
,,9011,,,829366612.7972481,58789412799.31463,0.014107414469819588
,,5612,,,233977898.5329515,16637505826.6353,0.014063279735017243
,,7213,,,18471165.877210908,1390176343.823931,0.013286922885195004
,,5131,,,762302616.2985443,57483660305.30632,0.013261205223359378
,,7212,,,43691678.83993589,3298782851.08549,0.01324478779364298
,,3231,,,764436263.6128658,59184996671.29532,0.012916048096757211
,,5416,,,4281229064.687008,336201978666.6309,0.012734098358570823
,,3371,,,176988031.55600694,13942841298.844711,0.012693828163322204
,,5614,,,1137115803.1929998,90260660395.27771,0.012598132987430389
,,7211,,,1148392015.1033762,91364776983.32292,0.012569307921727817
,,6216,,,7873782.910078812,627457346.1083502,0.012548714201712696
,,3122,,,7165112.1658732295,578103434.0619348,0.012394169872904783
,,6213,,,14575391.302296218,1185951307.5039172,0.012290041935172852
,,5192,,,1233231547.6876647,100380472882.76389,0.012285572206139909
,,3241,,,3067764980.856227,250578230044.24026,0.012242743435112478
,,4911,,,1161226.6427360305,95577928.7480878,0.012149527175846683
,,5324,,,1930353028.7545407,159715089895.35626,0.012086228233157486
,,6115,,,29467210.454959404,2479779017.381842,0.011882998544794113
,,3211,,,518702683.84396577,43876163725.643654,0.011821969830530268
,,2213,,,91606092.24595383,7766162311.874983,0.011795541809096878
,,5415,,,2389500537.3621078,207656059541.50903,0.011507010884430574
,,6116,,,61059434.38579772,5365873975.236029,0.011379215141390252
,,5182,,,1894950892.281928,167800198046.5783,0.011292900213120868
,,6114,,,32850280.285290655,2918933575.546761,0.011254206180124291
,,4244,,,901937060.9700359,80652262585.65057,0.01118303482202006
,,6221,,,76951456.6059246,6945516709.77534,0.011079299038705168
,,7121,,,10845986.009143816,998304013.8536448,0.010864411901216576
,,6117,,,47710901.37130066,4410358194.011738,0.010817919831564066
,,6223,,,3867016.9106454053,361207775.84347004,0.010705796412093805
,,7139,,,176330836.23661628,16479080755.582102,0.010700283520176707
,,3221,,,535088257.37704384,51084156809.29909,0.010474642057312753
,,8112,,,164524244.43168682,16003914489.16816,0.010280250156487704
,,5412,,,2068644659.4952915,205915429907.55847,0.010046088631745408
OEM,6. Engineering & Design,5413,"Architectural, Engineering, and Related Services",87100.0,1834463157.5228996,184299207248.10474,0.00995372245445057
,,5161,,,423084928.33434635,42930010568.33238,0.009855225347799888
,,5313,,,5128274176.848351,520587938722.66675,0.00985092775954677
,,5312,,,3575521572.8325477,363043217240.66846,0.009848749137936007
,,5311,,,8965825029.193956,910364363741.8279,0.009848611595847346
,,6231,,,1698160.8975303827,174975645.7348338,0.00970512719298007
,,3379,,,226987.825574105,23675297.712338723,0.00958753838418712
,,6222,,,1323854.4900529664,138104692.3298926,0.009585876248800125
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4247,Petroleum and Petroleum Products Merchant Wholesalers,0.0,861673688.4413404,91645725914.85776,0.009402224488263281
,,5162,,,2258139959.8797092,253968627943.18854,0.008891412999186827
,,5613,,,3955398459.2775826,447402856801.39954,0.008840798397121924
,,3333,,,74612168.83501868,8463446727.091424,0.00881581360891488
,,3273,,,667584859.3204522,76017600819.44324,0.008781977491056284
,,8139,,,221840739.10892767,25542927159.31266,0.008685016314899801
,,8132,,,10602024.164991878,1221389212.0194101,0.008680299498849178
,,8134,,,65433169.48022605,7604948602.146382,0.008604025208238556
,,6244,,,10554.88385946634,1227145.525026581,0.008601167216282447
,,5242,,,4754829895.087291,555434680383.8037,0.008560556376857343
,,3352,,,27484743.290373955,3235360914.7713003,0.00849510889647277
,,5239,,,3706353237.0588155,437679849169.0221,0.008468183408707732
,,8133,,,11883748.403855076,1448047447.290757,0.008206739652135798
,,5171,,,1232908225.6344087,151962198559.9359,0.008113256042081633
,,8123,,,143626724.04240167,18150627394.987045,0.00791304459712888
,,5611,,,744858479.2158939,94993565793.80005,0.007841146639686502
,,4851,,,29791643.124707438,4092257148.760297,0.007280002707975593
,,4852,,,9435961.367247155,1313929759.8550854,0.007181480818493568
,,3331,,,91283300.815104,12925557306.716768,0.00706223326770356
,,4451,,,76415521.2075842,10897999295.365301,0.007011885313672407
,,4855,,,13020879.727368973,1861249251.2287772,0.006995774326717781
,,4853,,,283194985.36128503,41414165501.92778,0.006838118839992143
,,4854,,,73411575.85361652,10741846252.658585,0.006834167435178781
,,4859,,,69771529.77142496,10289531033.68432,0.006780826992310671
,,5132,,,925552051.5683903,138293757923.16028,0.006692652405053971
,,8114,,,120243475.85019927,18085269745.584984,0.006648696842332328
,,2123,,,249666673.16355327,37592327588.73223,0.0066414263009983805
,,3256,,,197157088.40917525,29929189760.06012,0.006587451581207764
,,4442,,,91098152.32923508,13887362299.43698,0.006559787983131136
,,3391,,,193956243.39203057,29991388002.70533,0.006467064591159803
,,4441,,,590227302.710226,91499439020.11124,0.006450611162550366
,,7131,,,20418907.954249755,3209239711.8957577,0.006362537481560679
,,5617,,,1539219549.3258572,244162138036.34796,0.0063040877742343345
OEM,6. Engineering & Design,5417,Scientific Research and Development ,28480.0,34503354.88849163,5790265770.901512,0.005958855129221409
,,7112,,,229279957.28917435,40814218749.376724,0.00561764905257866
,,3112,,,336344150.0608495,62854830046.90297,0.005351126553199901
,,6239,,,136012.00675529125,25800492.29737403,0.0052716826170458204
,,7111,,,36906973.49409001,7193056362.19951,0.005130916766903313
,,3364,,,434651510.33673275,88096242561.83159,0.00493382575348394
,,7225,,,965252515.2778822,204016870275.77545,0.004731238715568584
,,8122,,,1023710.4110531255,217126221.85055798,0.004714817042032433
,,6232,,,491368.40925123787,105112134.33455393,0.004674706801093928
,,6233,,,430408.3113429452,96017391.63212553,0.004482607827881663
,,3372,,,27007294.061938114,6049112317.813845,0.004464670623226017
,,7114,,,56781850.57355565,13070939079.362698,0.004344129387245539
,,7113,,,117058775.16810796,27030947934.99613,0.004330546433281224
,,3118,,,36420453.94820693,8671472658.2793,0.004200030996284537
,,4453,,,2629028.9437032635,638392714.6092099,0.00411820010401061
,,4452,,,5293260.987437097,1289746473.2594304,0.004104109681385705
,,5621,,,176089368.78715396,43917618047.73301,0.004009538235788804
,,5629,,,154743293.40251845,38628100900.75227,0.00400597724957027
,,5622,,,104827420.14711444,26183252353.78444,0.004003605767942844
,,3121,,,119527428.16649948,31942630357.474213,0.0037419406864385362
,,7132,,,1695741.2985801902,582136795.0632303,0.0029129601718372792
,,3346,,,6396078.696425609,2200844158.8190885,0.0029061933671203537
,,7115,,,161010419.17181817,57646528596.36995,0.002793063573683379
