Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,3324,,,36363789.68285336,158627250.2550884,0.22924049697877744
,,3274,,,26610030.710542776,116499182.15298043,0.22841388427602796
,,3149,,,12527671.724315915,55552068.8191225,0.2255122444693465
,,3122,,,83660.08441514987,378944.4921603088,0.2207713428903943
,,4811,,,213128759.79721093,965926004.3405093,0.2206470877059839
,,4251,,,326226623.3515274,1495592978.725696,0.2181252707066633
,,4249,,,269078559.43173814,1248812589.2767835,0.2154675263063834
,,4243,,,34807805.6237929,161740806.4153967,0.2152073208686526
,,3323,,,319778658.7816599,1521178851.5792627,0.2102176601059573
,,3369,,,32809106.84653582,157246254.93241906,0.20864793797878647
,,3332,,,20419782.68084939,97869803.50717689,0.20864231815231943
,,5331,,,882442198.3711991,4333368753.737437,0.2036388427848684
,,5511,,,3470160881.865381,17306954846.32232,0.20050672765248362
,,4812,,,29190489.985848967,146271739.73786247,0.19956342925955506
,,2122,,,15988787.53637712,83765997.45423037,0.1908744361948698
,,6242,,,37047.011312382965,197563.160721443,0.1875198350598264
,,4245,,,27890297.27735238,151375245.21271345,0.1842460914805506
,,2121,,,2748144.943981061,15422315.025900375,0.17819276414505875
,,4242,,,182380960.7522894,1024821925.0131407,0.17796356254766002
,,3365,,,2164112.219789254,12289523.331521563,0.17609407309057248
,,3132,,,5684877.950950233,33196633.943726286,0.17124862600789675
,,3271,,,5311462.059031101,31696850.13453063,0.16757065880324748
,,4234,,,142079178.64528683,848235076.5384768,0.167499768136318
,,8131,,,10930.044936478465,67013.63416379201,0.16310180865230636
,,3212,,,65041403.9338939,399642745.2766843,0.16274886683821532
,,5232,,,12921518.576225227,81355835.24123102,0.1588271884605595
,,o|OO,,,8440785.258186685,53984269.73320635,0.15635638492289655
,,3379,,,13283.936653529978,86002.31016954198,0.15446023051406974
,,4831,,,10262738.149833413,68164802.75903907,0.150557732648504
,,4572,,,4174172.787631295,27790826.722408894,0.1501996622599747
,,6211,,,374897.8318135022,2532856.9599218867,0.14801381907688307
,,4922,,,67708220.92364307,458072696.15361804,0.14781108215394836
,,4832,,,1941678.9992241245,13144120.153055955,0.14772224969144793
,,4921,,,270219734.8899618,1852403754.3527641,0.14587518204657138
Upstream,5. Component Systems,3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",8300.0,31433475.829208396,217943698.33431712,0.14422750494483522
,,6112,,,574325.0552856692,4006561.2861408293,0.14334613007726293
,,5178,,,36519722.216807164,259854537.51780528,0.14053909762612796
,,4931,,,411891619.3148844,3007030986.737983,0.13697618053537353
,,4561,,,10308373.786898136,75523434.15995418,0.13649238678773012
Downstream,"9. Dealers, Maintenance, & Repair",8111,Automotive Repair and Maintenance,31210.0,197047778.4933689,1457309619.853268,0.13521339309707503
