Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
Downstream,10. Logistics,4842,Specialized Freight Trucking,11582.0,14848033926.417004,63529868387.95734,0.23371737268121875
Downstream,10. Logistics,4841,General Freight Trucking,35888.0,53041249845.98898,227008877977.27814,0.2336527554279089
,,4236,,,28721202702.186413,122999333735.9271,0.23350697788208577
,,2121,,,4406966167.742248,19634999507.78752,0.22444442466089096
,,8129,,,2821673116.1240573,12813845427.299126,0.22020502214835935
,,3279,,,5128761661.568198,24253597794.23066,0.2114639528980812
,,3259,,,8592511789.35128,40774148009.39007,0.21073430614350228
,,3256,,,6213375832.219399,29929189760.06012,0.20760254059770838
Upstream,4. Parts & Machining,3329,Other Fabricated Metal Product Manufacturing,0.0,9659537691.430899,47673604887.28989,0.20261815137051234
,,4831,,,2335856555.2027,11580032556.41498,0.20171416132234515
,,4832,,,1276879949.1816978,6383857820.029781,0.20001697800590132
Downstream,"9. Dealers, Maintenance, & Repair",8111,Automotive Repair and Maintenance,31210.0,11851779038.3047,60769193390.67089,0.1950293952745496
,,6243,,,1624569.6603735,8493378.6617382,0.19127484185910842
,,3399,,,3638008078.5743,19899443624.70701,0.1828195876822091
,,3222,,,17107488092.428383,94980048458.81589,0.18011664944397587
,,5419,,,26147655919.076225,150188158281.24707,0.17409931793764527
OEM,6. Engineering & Design,5414,Industrial design,10160.0,6495587105.3235,37624945033.394585,0.17264044105734225
,,6244,,,211717.97331571602,1227145.525026581,0.17252882319000432
,,6223,,,62044025.5919,361207775.84347004,0.17176824459833023
,,4242,,,21265847804.020702,123851668975.91028,0.1717041682188151
,,3133,,,700211341.07485,4118688192.826291,0.1700083396199888
,,6222,,,23389097.253,138104692.3298926,0.16935773041751642
,,4572,,,297103589.3383538,1765284741.0402722,0.16830349372604464
,,5416,,,56450610553.94629,336201978666.6309,0.16790683617576574
,,4812,,,1410745640.9854,8454082014.154296,0.166871534795079
,,4811,,,9034836285.846924,54230130960.687454,0.16660177885973507
