naics_code,naics_title,segment_id,segment_name,stage,share_method,share_label,projection_method,projection_label,base_employment,share_value,share_applied,auto_base_employment,projection_rate,projected_employment
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,12179,0.018,0.018,219,-0.038,211
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,4970,0.18,0.18,895,-0.031,867
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,8867,0.018,0.018,160,-0.004,159
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,4446,0.0289999999999999,0.0289999999999999,129,-0.027,126
5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,84452,0.002,0.002,169,0.078,182
5414,Industrial design,6,Engineering & Design,OEM,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,10458,0.002,0.002,21,-0.002,21
5417,Scientific Research and Development ,6,Engineering & Design,OEM,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,25297,0.002,0.002,51,0.1169999999999999,57
3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,48138,1.0,1.0,48138,0.316,63350
3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,7921,1.0,1.0,7921,0.043,8262
3363,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,117023,1.0,1.0,117023,-0.053,110821
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,25978,1.0,1.0,25978,0.054,27381
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,6359,1.0,1.0,6359,0.063,6760
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,24407,1.0,1.0,24407,0.026,25042
4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,8732,1.0,1.0,8732,0.046,9134
4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,3846,1.0,1.0,3846,-0.05,3654
4413,"Automotive Parts, Accessories, and Tire Retailers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,18192,1.0,1.0,18192,0.045,19011
4571,Gasoline Stations,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,27826,1.0,1.0,27826,0.038,28883
4411,Automobile Dealers,9,"Dealers, Maintenance, & Repair",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,38262,1.0,1.0,38262,0.034,39563
8111,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,31338,1.0,1.0,31338,0.052,32968
4841,General Freight Trucking,10,Logistics,Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,35249,1.0,1.0,35249,-0.124,30878
4842,Specialized Freight Trucking,10,Logistics,Downstream,bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,11640,1.0,1.0,11640,-0.115,10301
