naics_code,naics_title,segment_id,segment_name,stage,share_method,share_label,projection_method,projection_label,base_employment,share_value,share_applied,auto_base_employment,projection_rate,projected_employment
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,lightcast,Lightcast,bls_us,BLS US,24530,0.51,0.51,12510,-0.024,12210
3329,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,lightcast,Lightcast,bls_us,BLS US,10865,0.24,0.24,2608,-0.0579999999999999,2457
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,lightcast,Lightcast,bls_us,BLS US,12179,0.39,0.39,4750,0.067,5068
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,lightcast,Lightcast,bls_us,BLS US,4970,0.85,0.85,4224,-0.0289999999999999,4102
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,lightcast,Lightcast,bls_us,BLS US,8867,0.08,0.08,709,0.02,723
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,lightcast,Lightcast,bls_us,BLS US,4446,0.39,0.39,1734,0.166,2022
5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,lightcast,Lightcast,bls_us,BLS US,84452,0.05,0.05,4223,0.023,4320
5414,Industrial design,6,Engineering & Design,OEM,lightcast,Lightcast,bls_us,BLS US,10458,0.05,0.05,523,0.023,535
5417,Scientific Research and Development ,6,Engineering & Design,OEM,lightcast,Lightcast,bls_us,BLS US,25297,0.01,0.01,253,0.049,265
3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM,lightcast,Lightcast,bls_us,BLS US,48138,1.0,1.0,48138,0.032,49678
3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM,lightcast,Lightcast,bls_us,BLS US,7921,1.0,1.0,7921,0.02,8079
3363,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM,lightcast,Lightcast,bls_us,BLS US,117023,1.0,1.0,117023,-0.141,100523
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,lightcast,Lightcast,bls_us,BLS US,25978,1.0,1.0,25978,0.027,26679
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,lightcast,Lightcast,bls_us,BLS US,6359,1.0,1.0,6359,0.02,6486
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,lightcast,Lightcast,bls_us,BLS US,24407,1.0,1.0,24407,0.024,24993
4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,lightcast,Lightcast,bls_us,BLS US,8732,1.0,1.0,8732,0.02,8907
4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,lightcast,Lightcast,bls_us,BLS US,3846,1.0,1.0,3846,0.0069999999999999,3873
4413,"Automotive Parts, Accessories, and Tire Retailers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,lightcast,Lightcast,bls_us,BLS US,18192,1.0,1.0,18192,0.018,18519
4571,Gasoline Stations,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,lightcast,Lightcast,bls_us,BLS US,27826,1.0,1.0,27826,-0.087,25405
4411,Automobile Dealers,9,"Dealers, Maintenance, & Repair",Downstream,lightcast,Lightcast,bls_us,BLS US,38262,1.0,1.0,38262,0.016,38874
8111,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream,lightcast,Lightcast,bls_us,BLS US,31338,1.0,1.0,31338,0.009,31620
4841,General Freight Trucking,10,Logistics,Downstream,lightcast,Lightcast,bls_us,BLS US,35249,0.22,1.0,35249,0.008,35531
4842,Specialized Freight Trucking,10,Logistics,Downstream,lightcast,Lightcast,bls_us,BLS US,11640,0.21,1.0,11640,0.008,11733
