segment_id,segment_name,education_group,employment_base_auto_adj,employment_target_auto_adj,employment_change,pct_change
1,1. Materials & Processing,BA+,1007.8202243244909,974.2519707822128,-33.56825354227817,-0.03330777923689503
1,1. Materials & Processing,HS or Less,4903.39977066285,4566.281989621118,-337.1177810417321,-0.06875184500735904
1,1. Materials & Processing,SC or Associate's,292.1468574799976,272.0887744470533,-20.058083032944296,-0.06865753479589494
2,2. Equipment Manufacturing,BA+,215.0316046456151,217.0986626307871,2.0670579851719992,0.00961281011960374
2,2. Equipment Manufacturing,HS or Less,502.2536127601651,489.9328157743956,-12.320796985769505,-0.02453102710015329
2,2. Equipment Manufacturing,SC or Associate's,89.46820145557429,85.31428346006602,-4.153917995508266,-0.04642898737123834
3,3. Forging & Foundries,BA+,626.6461176519293,556.8387004305551,-69.80741722137418,-0.11139846757998861
3,3. Forging & Foundries,HS or Less,4088.710807253696,3461.9658598335336,-626.7449474201626,-0.1532866903446112
3,3. Forging & Foundries,SC or Associate's,223.35901223237124,187.22104206587733,-36.137970166493915,-0.1617932037096306
4,4. Parts & Machining,BA+,738.2036388408274,739.9808878093856,1.7772489685582968,0.0024075321158658096
4,4. Parts & Machining,HS or Less,3360.04153433795,3189.967233274578,-170.07430106337188,-0.05061672581285001
4,4. Parts & Machining,SC or Associate's,227.9130417306526,219.07749875222268,-8.835542978429913,-0.03876716712364248
5,5. Component Systems,BA+,809.9564262387338,801.4018317960312,-8.554594442702637,-0.010561795876388514
5,5. Component Systems,HS or Less,1060.59843009005,1044.908046204849,-15.690383885201072,-0.014793896954824724
5,5. Component Systems,SC or Associate's,113.59145002128535,106.76930580018328,-6.822144221102079,-0.06005860669816003
6,6. Engineering & Design,BA+,6.277150757598107,6.412300859720414,0.13515010212230738,0.021530485301586307
6,6. Engineering & Design,HS or Less,1.7008639578358749,1.6765023722660957,-0.024361585569779187,-0.01432306532074211
6,6. Engineering & Design,SC or Associate's,0.8008680187210412,0.7983389161572767,-0.002529102563764485,-0.0031579517531532537
7,7. Core Automotive,BA+,27331.245647193307,28187.732622672804,856.4869754794963,0.03133728284965491
7,7. Core Automotive,HS or Less,131117.52794959943,131827.9308613712,710.4029117717582,0.0054180621224405
7,7. Core Automotive,SC or Associate's,7998.226403207245,7603.002698736,-395.2237044712456,-0.0494139181047392
8,"8. Motor Vehicle Parts, Materials, & Products Sales",BA+,19856.656972543227,20833.296270941286,976.6392983980586,0.04918447751545014
8,"8. Motor Vehicle Parts, Materials, & Products Sales",HS or Less,88712.72091763023,88957.63221651221,244.91129888198338,0.0027607235619498535
8,"8. Motor Vehicle Parts, Materials, & Products Sales",SC or Associate's,8001.622109826555,8158.934459966553,157.31235013999776,0.019660057420958072
9,"9. Dealers, Maintenance, & Repair",BA+,6398.639265413194,6524.864651469127,126.22538605593309,0.019726910804024212
9,"9. Dealers, Maintenance, & Repair",HS or Less,47440.736335811074,48411.33956324153,970.6032274304525,0.020459278299560957
9,"9. Dealers, Maintenance, & Repair",SC or Associate's,18604.624398775733,19290.63138619317,686.0069874174369,0.036872928617821446
10,10. Logistics,BA+,3773.5008517887354,3533.828863135817,-239.67198865291857,-0.06351449173234132
10,10. Logistics,HS or Less,15219.145017035751,13759.906457882553,-1459.2385591531984,-0.09588176980505675
10,10. Logistics,SC or Associate's,26212.354131175507,23747.76454694008,-2464.5895842354257,-0.09402396945737052
