adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio
sam_mi,bls_us,BLS US,5,5. Component Systems,2006,QCEW,4258.335351222572,15814.0,0.2692762963970262
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2006,QCEW,702.9105061683313,95510.0,0.007359548802935098
sam_mi,bls_us,BLS US,7,7. Core Automotive,2006,QCEW,213893.0,213893.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2006,QCEW,98829.07436879477,98829.07436879477,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2006,QCEW,68884.0,68884.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2006,QCEW,38765.0,38765.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2007,QCEW,24394.545657051964,82139.0,0.29699102322954946
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2007,QCEW,6121.481468137235,51185.0,0.11959522258742279
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2007,QCEW,11290.772743144455,19764.0,0.5712797380664063
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2007,QCEW,14954.380044474763,48225.0,0.3100960092166877
sam_mi,bls_us,BLS US,5,5. Component Systems,2007,QCEW,4118.463209059919,15751.0,0.2614731260910367
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2007,QCEW,698.9605940006151,93220.0,0.00749796818279999
sam_mi,bls_us,BLS US,7,7. Core Automotive,2007,QCEW,198068.0,198068.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2007,QCEW,97215.68500010173,97215.68500010173,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2007,QCEW,66333.0,66333.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2007,QCEW,40761.0,40761.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2008,QCEW,22980.537668868237,77593.0,0.29616766549647827
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2008,QCEW,5888.67928593189,49109.0,0.11991038884790751
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2008,QCEW,10282.619410605712,17934.0,0.5733589500728065
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2008,QCEW,14528.855524594714,46965.0,0.30935495634184423
sam_mi,bls_us,BLS US,5,5. Component Systems,2008,QCEW,4292.290995626545,15865.0,0.270550960959757
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2008,QCEW,673.0359223288975,88873.0,0.0075730078013445876
sam_mi,bls_us,BLS US,7,7. Core Automotive,2008,QCEW,167000.0,167000.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2008,QCEW,95828.59295272827,95828.59295272827,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2008,QCEW,63843.0,63843.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2008,QCEW,38940.0,38940.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2009,QCEW,17615.54463589301,59620.0,0.29546368057519307
