stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Core Automotive,sam_mi_bls_us,bls_us,BLS US,00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58266.25532512931,158280.593,158280.593,158280.593,173082.00000000003,173082.00000000003,-14801.407000000036,-14801.407000000036,15315.542953649066,6966.0,168160.0,-0.08551673195364067,-0.08551673195364067,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133494.38562820357,8194.523040539409,8194.523040539409,8194.523040539409,8931.665635738758,8931.665635738758,-737.1425951993497,-737.1425951993497,606.221047628683,761.9,7780.0,-0.0825313693170265,-0.0825313693170265,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,13-0000,Business and Financial Operations Occupations,Bachelor's degree,Unreported,Unreported,BA+,82697.59450439614,5608.143406643497,5608.143406643497,5608.143406643497,5967.661168384812,5967.661168384812,-359.51776174131555,-359.51776174131555,482.52641207274525,784.0000000000001,5340.0,-0.06024433217588683,-0.06024433217588683,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,15-0000,Computer and Mathematical Occupations,Bachelor's degree,Unreported,Unreported,BA+,118067.84309307828,2316.3617946290797,2316.3617946290797,2316.3617946290797,2438.6123711339515,2438.6123711339515,-122.25057650487179,-122.25057650487179,143.89735889148582,305.8,1450.0,-0.05013120492291501,-0.05013120492291501,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,17-0000,Architecture and Engineering Occupations,Bachelor's degree,Unreported,Unreported,BA+,96289.15374747862,12531.377274226092,12531.377274226092,12531.377274226092,13352.889690721599,13352.889690721599,-821.5124164955068,-821.5124164955068,849.8562529994608,98.5,12260.0,-0.06152319352015195,-0.06152319352015195,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,19-0000,"Life, Physical, and Social Science Occupations",Bachelor's degree,Unreported,Unreported,BA+,80202.06517098683,287.25643762638106,287.25643762638106,287.25643762638106,317.21786941579364,317.21786941579364,-29.961431789412586,-29.961431789412586,31.3831150494295,25.5,230.0,-0.09445064316392784,-0.09445064316392784,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,23-0000,Legal Occupations,Doctoral or professional degree,Unreported,Unreported,BA+,151160.0,38.79448233351958,38.79448233351958,38.79448233351958,39.65223367695906,39.65223367695906,-0.8577513434394746,-0.8577513434394746,1.3843400662768244,31.5,70.0,-0.02163185434715858,-0.02163185434715858,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",Bachelor's degree,Unreported,Unreported,BA+,77301.11111111188,174.57517050090144,174.57517050090144,174.57517050090144,178.43505154636767,178.43505154636767,-3.8598810454662384,-3.8598810454662384,14.225180872531226,30.1,50.0,-0.021631854347088413,-0.021631854347088413,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,29-0000,Healthcare Practitioners and Technical Occupations,Bachelor's degree,Unreported,Unreported,BA+,93600.0,87.28758525044448,87.28758525044448,87.28758525044448,89.21752577318385,89.21752577318385,-1.929940522739372,-1.929940522739372,4.751250664457636,189.1,110.0,-0.021631854347158492,-0.021631854347158492,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,33-0000,Protective Service Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,106.09381835576966,106.09381835576966,106.09381835576966,128.86975945016022,128.86975945016022,-22.77594109439056,-22.77594109439056,13.50712063520395,161.0,60.0,-0.17673611863300676,-0.17673611863300676,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,37-0000,Building and Grounds Cleaning and Maintenance Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35930.0,408.5698861002492,408.5698861002492,408.5698861002492,456.00068728521956,456.00068728521956,-47.430801184970335,-47.430801184970335,58.07193760601131,351.3,280.0,-0.10401475810781682,-0.10401475810781682,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,41-0000,Sales and Related Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,76838.40269455184,1001.1689172768748,1001.1689172768748,1001.1689172768748,1120.1756013745521,1120.1756013745521,-119.0066840976773,-119.0066840976773,86.8798877604525,171.8,1280.0,-0.10623931100770792,-0.10623931100770792,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,43-0000,Office and Administrative Support Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,49466.27454472247,4846.404200640162,4846.404200640162,4846.404200640162,5640.530240549771,5640.530240549771,-794.1260399096091,-794.1260399096091,463.7502068343938,1316.8000000000002,6000.0,-0.1407892531451453,-0.1407892531451453,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,47-0000,Construction and Extraction Occupations,High school diploma or equivalent,Unreported,Apprenticeship,HS or less,62404.02647337872,4229.510124206684,4229.510124206684,4229.510124206684,4411.310996563572,4411.310996563572,-181.80087235688825,-181.80087235688825,389.45212213283094,209.7,4520.0,-0.04121243605325306,-0.04121243605325306,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,49-0000,"Installation, Maintenance, and Repair Occupations",High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,62612.83123963231,8281.292638696938,8281.292638696938,8281.292638696938,8554.969415807507,8554.969415807507,-273.6767771105697,-273.6767771105697,763.6208592458753,450.50000000000006,8690.0,-0.0319903863834839,-0.0319903863834839,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,51-0000,Production Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,45767.79451060899,102586.72943842123,102586.72943842123,102586.72943842123,112929.56151202798,112929.56151202798,-10342.832073606754,-10342.832073606754,10507.454154726183,647.7000000000002,112020.0,-0.09158657782006134,-0.09158657782006134,2030
Core Automotive,sam_mi_bls_us,bls_us,BLS US,53-0000,Transportation and Material Moving Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,42332.830113728756,7582.504784552757,7582.504784552757,7582.504784552757,8525.230240549816,8525.230240549816,-942.7254559970588,-942.7254559970588,898.561706463043,1430.8,8020.0,-0.1105806446743261,-0.1105806446743261,2030
Core Automotive,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58266.25532512933,167716.4579999999,167716.4579999999,167716.4579999999,173082.00000000003,173082.00000000003,-5365.542000000132,-5365.542000000132,16228.575897064517,6966.0,168160.0,-0.03100000000000076,-0.03100000000000076,2030
Core Automotive,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133494.38562820357,8683.03784633066,8683.03784633066,8683.03784633066,8931.665635738758,8931.665635738758,-248.62778940809767,-248.62778940809767,642.3607907087636,761.9,7780.0,-0.027836665583768586,-0.027836665583768586,2030
Core Automotive,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,13-0000,Business and Financial Operations Occupations,Bachelor's degree,Unreported,Unreported,BA+,82697.59450439615,5942.471722470111,5942.471722470111,5942.471722470111,5967.661168384812,5967.661168384812,-25.189445914701537,-25.189445914701537,511.29212489296935,784.0000000000001,5340.0,-0.0042209913069711415,-0.0042209913069711415,2030
Core Automotive,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,15-0000,Computer and Mathematical Occupations,Bachelor's degree,Unreported,Unreported,BA+,118067.84309307834,2454.451226637194,2454.451226637194,2454.451226637194,2438.6123711339515,2438.6123711339515,15.838855503242485,15.838855503242485,152.47577034813617,305.8,1450.0,0.006495027947339346,0.006495027947339346,2030
Core Automotive,sam_mi_dtmb_mi,dtmb_mi,DTMB MI,17-0000,Architecture and Engineering Occupations,Bachelor's degree,Unreported,Unreported,BA+,96289.15374747863,13278.432753249126,13278.432753249126,13278.432753249126,13352.889690721599,13352.889690721599,-74.45693747247242,-74.45693747247242,900.5202587421531,98.5,12260.0,-0.005576091707266154,-0.005576091707266154,2030
