stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_edu_training_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1020,Buyers and Purchasing Agents,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,BA+,75650,1033.66241978974,1033.66241978974,2340.803403346365,1101.1674793007974,2340.3548664092905,-67.50505951105738,0.44853693707443654,100.43216065709527,104.4,2310.0,-0.061303172115036234,0.00019165338706202627,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1041,Compliance Officers,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,BA+,78420,63.846209709679435,63.846209709679435,452.92510427012536,62.74796828244236,440.31287529205343,1.0982414272370775,12.612228978071883,5.012563440604327,66.6,260.0,0.017502422107017905,0.028643788737057408,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1051,Cost Estimators,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,BA+,77070,99.6603953040165,99.6603953040165,409.6080150491458,101.89718384142085,421.37518208032805,-2.2367885374043603,-11.767167031182268,7.770522171339694,33.8,410.0,-0.021951426458315066,-0.02792562906312564,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1071,Human Resources Specialists,Bachelor's degree,Unreported,Unreported,BA+,BA+,72910,852.0436373233895,852.0436373233895,1814.1318856947732,930.0465592306541,1869.1182510238077,-78.00292190726458,-54.98636532903447,71.59442170832384,163.6,1700.0,-0.08386991074058653,-0.029418344879418808,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1081,Logisticians,Bachelor's degree,Unreported,Unreported,BA+,BA+,80880,783.2323344866669,783.2323344866669,1662.4962425895324,770.2639155807533,1573.7994869089193,12.96841890591351,88.69675568061291,79.1779959044534,52.8,1720.0,0.01683633186443085,0.056358358493826394,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1082,Project Management Specialists,Bachelor's degree,Unreported,Unreported,BA+,BA+,100750,814.883968372031,814.883968372031,5021.678826959364,858.4142988221085,4972.90367008079,-43.53033045007768,48.77515687857408,59.242250106161684,156.4,4820.0,-0.050710164672010644,0.009808184536536915,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1111,Management Analysts,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,101190,175.39729220761532,175.39729220761532,333.6927691434659,189.68949161362784,344.58791500218354,-14.29219940601253,-10.895145858717598,15.330073383434659,196.2,650.0,-0.07534523543941923,-0.03161789890004865,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,77020,49.09168968739782,49.09168968739782,118.46992439814292,50.152146567205,117.92020679969288,-1.0604568798071856,0.5497175984500515,3.7986286967945513,17.0,120.0,-0.021144795435348907,0.004661776071880865,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1151,Training and Development Specialists,Bachelor's degree,Less than 5 years,Unreported,BA+,BA+,65850,204.977376770306,204.977376770306,439.0748122553413,220.01552134235337,442.6820049634089,-15.038144572047369,-3.6071927080675152,18.878646470610374,87.8,180.0,-0.06835038037451634,-0.008148496364485558,2030
Core/OEM,sam_mi_bls_us,bls_us,BLS US,13-1161,Market Research Analysts and Marketing Specialists,Bachelor's degree,Unreported,Unreported,BA+,BA+,76950,205.5197405812035,205.5197405812035,1215.6409361117333,216.72553481007773,1204.202983912163,-11.205794228874236,11.437952199570077,18.414839065640102,174.4,1020.0,-0.05170500208336857,0.009498358958064486,2030
