segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,empl_2021,ep_openings_annual_avg,openings
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-2021,Marketing Managers,23.306376029650973,23.306376029650973,70.95143933109246,0.0037236550494358298,0.003733665214685714,0.0053497942386831,Bachelor's degree,5 years or more,,BA+,50.0,34.3,35.76205218755464
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-2021,Marketing Managers,2.0706472006959142,2.0706472006959142,242.06567311257356,0.001957993087397878,0.0019496344435418166,0.0049614299792707,Bachelor's degree,5 years or more,,BA+,380.0,34.3,35.298529239141295
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-2021,Marketing Managers,90.36878771126585,90.36878771126585,90.36878771126585,0.0005709404166262244,0.0005727376861397041,0.0008728859792689,Bachelor's degree,5 years or more,,BA+,70.0,34.3,31.268346128974486
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-2021,Marketing Managers,127.42283530273318,127.42283530273318,127.42283530273318,0.0011093509562235158,0.0010838150289017069,0.0028588718933244,Bachelor's degree,5 years or more,,BA+,140.0,34.3,34.96280503568151
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-2021,Marketing Managers,278.3523898547724,278.3523898547724,636.8385321923375,0.0006202412947913427,0.0006147678719493403,0.000623635548568985,Bachelor's degree,5 years or more,,BA+,780.0,240.09999999999997,239.59331667617687
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,38.34303131663912,38.34303131663912,141.5448827124338,0.0028957035577859974,0.002829325122742718,0.004653349001175,Bachelor's degree,Less than 5 years,,BA+,250.0,49.0,51.13802400709569
10,Logistics,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,71.97903766049272,71.97903766049272,71.97903766049272,0.0015229110336504937,0.001490630323679703,0.0012312876676819,Bachelor's degree,Less than 5 years,,BA+,40.0,49.0,50.46162055014514
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,41.00524022440547,41.00524022440547,309.04668413335287,0.006651752722466501,0.006573367260390131,0.0078477746721135,Bachelor's degree,Less than 5 years,,BA+,250.0,49.0,48.94900108455162
3,Forging & Foundries,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,26.29832726992235,26.29832726992235,47.82656229695569,0.0031713256475347455,0.003140703517587909,0.0052570093457943,Bachelor's degree,Less than 5 years,,BA+,60.0,49.0,45.471532212372814
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,46.756882468679386,46.756882468679386,158.339498076761,0.0031748094667520465,0.0030989734650397143,0.0054246482454653,Bachelor's degree,Less than 5 years,,BA+,150.0,49.0,49.49673359907572
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,80.7673144702701,80.7673144702701,245.87937675432985,0.012904177722609956,0.013067828251400149,0.0089163237311385,Bachelor's degree,Less than 5 years,,BA+,190.0,49.0,50.5844744025254
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,8.62059843962484,8.62059843962484,1007.7771641734341,0.008151592481976437,0.00820471161657187,0.0038060284772487,Bachelor's degree,Less than 5 years,,BA+,420.0,49.0,49.886121956334065
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,535.0700712835437,535.0700712835437,535.0700712835437,0.003380515963088057,0.0033218785796105235,0.0025095471903982,Bachelor's degree,Less than 5 years,,BA+,370.0,49.0,45.60065498015143
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,1186.8575530432768,1186.8575530432768,1186.8575530432768,0.01033285406215898,0.010115606936416164,0.0119363118465808,Bachelor's degree,Less than 5 years,,BA+,1200.0,49.0,49.845136006083266
9,"Dealers, Maintenance, & Repair",2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,960.5231786295061,960.5231786295061,960.5231786295061,0.013625556646654345,0.014429383471797147,0.0141503474415666,Bachelor's degree,Less than 5 years,,BA+,770.0,49.0,46.86481581624786
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-2022,Sales Managers,2996.2212348063604,2996.2212348063604,4664.8440087640865,0.006676357760489155,0.006592813104895545,0.006719225418567117,Bachelor's degree,Less than 5 years,,BA+,3700.0,490.0,488.298114614583
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,4.496455722344811,4.496455722344811,16.59885189006321,0.0003395767727673325,0.00033286177914620214,0.0008460634547591,Bachelor's degree,Less than 5 years,,BA+,,23.2,24.13451913397169
10,Logistics,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,53.41716760512666,53.41716760512666,53.41716760512666,0.0011301845172744733,0.0010647359454855022,0.0005832415267967,Bachelor's degree,Less than 5 years,,BA+,,23.2,24.823096429906162
