segment_id,segment_name,year,adjustment_source,forecast_source,value_type,employment_qcew
4,Parts & Machining,2030,sam_mi,bls_us,Forecast,14727.460957369985
5,Component Systems,2030,sam_mi,bls_us,Forecast,6259.0051227172935
6,Engineering & Design,2030,sam_mi,bls_us,Forecast,1057.5355010306757
7,Core Automotive,2030,sam_mi,bls_us,Forecast,158280.593
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi,bls_us,Forecast,114862.51000000002
9,"Dealers, Maintenance, & Repair",2030,sam_mi,bls_us,Forecast,70494.23399999995
10,Logistics,2030,sam_mi,bls_us,Forecast,47264.112000000016
1,Materials & Processing - Coatings & Surface Treatments,2031,sam_mi,bls_us,Forecast,4714.469347325225
1,Materials & Processing - Metals,2031,sam_mi,bls_us,Forecast,3402.7040762653196
1,Materials & Processing - Non-Metals,2031,sam_mi,bls_us,Forecast,13284.578316705989
2,Equipment Manufacturing,2031,sam_mi,bls_us,Forecast,6151.571405256011
3,Forging & Foundries,2031,sam_mi,bls_us,Forecast,8176.868750258764
4,Parts & Machining,2031,sam_mi,bls_us,Forecast,14695.285188446604
5,Component Systems,2031,sam_mi,bls_us,Forecast,6310.3761759953395
6,Engineering & Design,2031,sam_mi,bls_us,Forecast,1061.8521330953447
7,Core Automotive,2031,sam_mi,bls_us,Forecast,156054.42140298497
8,"Motor Vehicle Parts, Materials, & Products Sales",2031,sam_mi,bls_us,Forecast,114808.27786421019
9,"Dealers, Maintenance, & Repair",2031,sam_mi,bls_us,Forecast,70644.46726930262
10,Logistics,2031,sam_mi,bls_us,Forecast,47326.92177446927
1,Materials & Processing - Coatings & Surface Treatments,2032,sam_mi,bls_us,Forecast,4692.168813772927
1,Materials & Processing - Metals,2032,sam_mi,bls_us,Forecast,3405.6094051342784
1,Materials & Processing - Non-Metals,2032,sam_mi,bls_us,Forecast,13327.96859266568
2,Equipment Manufacturing,2032,sam_mi,bls_us,Forecast,6138.658638849205
3,Forging & Foundries,2032,sam_mi,bls_us,Forecast,8062.877571439578
4,Parts & Machining,2032,sam_mi,bls_us,Forecast,14663.868800435002
5,Component Systems,2032,sam_mi,bls_us,Forecast,6363.586743593164
6,Engineering & Design,2032,sam_mi,bls_us,Forecast,1066.1875657657042
7,Core Automotive,2032,sam_mi,bls_us,Forecast,153892.60613878194
8,"Motor Vehicle Parts, Materials, & Products Sales",2032,sam_mi,bls_us,Forecast,114761.06228326539
9,"Dealers, Maintenance, & Repair",2032,sam_mi,bls_us,Forecast,70795.04395455231
10,Logistics,2032,sam_mi,bls_us,Forecast,47389.815017507
1,Materials & Processing - Coatings & Surface Treatments,2033,sam_mi,bls_us,Forecast,4670.181796155657
1,Materials & Processing - Metals,2033,sam_mi,bls_us,Forecast,3408.5236548818652
1,Materials & Processing - Non-Metals,2033,sam_mi,bls_us,Forecast,13371.523921243821
2,Equipment Manufacturing,2033,sam_mi,bls_us,Forecast,6125.837864586048
3,Forging & Foundries,2033,sam_mi,bls_us,Forecast,7950.536011158498
4,Parts & Machining,2033,sam_mi,bls_us,Forecast,14633.21227119197
5,Component Systems,2033,sam_mi,bls_us,Forecast,6418.6819190000215
6,Engineering & Design,2033,sam_mi,bls_us,Forecast,1070.541889720289
7,Core Automotive,2033,sam_mi,bls_us,Forecast,151793.58163932987
8,"Motor Vehicle Parts, Materials, & Products Sales",2033,sam_mi,bls_us,Forecast,114720.78151625342
9,"Dealers, Maintenance, & Repair",2033,sam_mi,bls_us,Forecast,70945.9648839423
10,Logistics,2033,sam_mi,bls_us,Forecast,47452.791840035454
1,Materials & Processing - Coatings & Surface Treatments,2034,sam_mi,bls_us,Forecast,4648.504942549662
1,Materials & Processing - Metals,2034,sam_mi,bls_us,Forecast,3411.44683431239
1,Materials & Processing - Non-Metals,2034,sam_mi,bls_us,Forecast,13415.24497720149
2,Equipment Manufacturing,2034,sam_mi,bls_us,Forecast,6113.108493364076
3,Forging & Foundries,2034,sam_mi,bls_us,Forecast,7839.819518586253
4,Parts & Machining,2034,sam_mi,bls_us,Forecast,14603.316147813035
5,Component Systems,2034,sam_mi,bls_us,Forecast,6475.707977176246
6,Engineering & Design,2034,sam_mi,bls_us,Forecast,1074.9151961363677
7,Core Automotive,2034,sam_mi,bls_us,Forecast,149755.82172360306
8,"Motor Vehicle Parts, Materials, & Products Sales",2034,sam_mi,bls_us,Forecast,114687.35514742402
9,"Dealers, Maintenance, & Repair",2034,sam_mi,bls_us,Forecast,71097.23088773794
10,Logistics,2034,sam_mi,bls_us,Forecast,47515.8523531243
1,Materials & Processing - Coatings & Surface Treatments,2024,sam_mi,dtmb_mi,QCEW,4879.641192022313
1,Materials & Processing - Metals,2024,sam_mi,dtmb_mi,QCEW,3382.6158243114137
1,Materials & Processing - Non-Metals,2024,sam_mi,dtmb_mi,QCEW,12985.411769331364
2,Equipment Manufacturing,2024,sam_mi,dtmb_mi,QCEW,6244.586842570626
3,Forging & Foundries,2024,sam_mi,dtmb_mi,QCEW,9023.139594640334
4,Parts & Machining,2024,sam_mi,dtmb_mi,QCEW,14936.444494648236
5,Component Systems,2024,sam_mi,dtmb_mi,QCEW,5987.024880706003
6,Engineering & Design,2024,sam_mi,dtmb_mi,QCEW,1032.0255054257461
7,Core Automotive,2024,sam_mi,dtmb_mi,QCEW,173082.0
8,"Motor Vehicle Parts, Materials, & Products Sales",2024,sam_mi,dtmb_mi,QCEW,115340.0
9,"Dealers, Maintenance, & Repair",2024,sam_mi,dtmb_mi,QCEW,69600.0
10,Logistics,2024,sam_mi,dtmb_mi,QCEW,46889.0
1,Materials & Processing - Coatings & Surface Treatments,2025,sam_mi,dtmb_mi,Forecast,4871.046429875141
1,Materials & Processing - Metals,2025,sam_mi,dtmb_mi,Forecast,3354.4096263032693
