adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio
sam_mi,bls_us,BLS US,2,Equipment Manufacturing,2028,Forecast,6190.86760576668,46819.12019044488,0.13222947335584806
sam_mi,bls_us,BLS US,3,Forging & Foundries,2028,Forecast,8528.991219901669,15487.973312753675,0.550684782810054
sam_mi,bls_us,BLS US,4,Parts & Machining,2028,Forecast,14794.08907174855,50050.70948360427,0.29558200521802463
sam_mi,bls_us,BLS US,5,Component Systems,2028,Forecast,6161.606914487691,18783.606879441137,0.32803108338216114
sam_mi,bls_us,BLS US,6,Engineering & Design,2028,Forecast,1048.9582784793033,122476.52723194232,0.008564565816703947
sam_mi,bls_us,BLS US,7,Core Automotive,2028,Forecast,162932.47048130518,162932.47048130518,1.0
sam_mi,bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",2028,Forecast,114992.35764510151,114992.35764510151,1.0
sam_mi,bls_us,BLS US,9,"Dealers, Maintenance, & Repair",2028,Forecast,70194.79440679129,70194.79440679129,1.0
sam_mi,bls_us,BLS US,10,Logistics,2028,Forecast,47138.74241381377,47138.74241381377,1.0
sam_mi,bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,2029,Forecast,4760.024560671221,15003.859022245735,0.31725335152867584
sam_mi,bls_us,BLS US,1,Materials & Processing - Metals,2029,Forecast,3396.920146067359,9225.802765528537,0.36819778532006725
sam_mi,bls_us,BLS US,1,Materials & Processing - Non-Metals,2029,Forecast,13198.290237727735,48706.45933214079,0.2709761789032024
sam_mi,bls_us,BLS US,2,Equipment Manufacturing,2029,Forecast,6177.675290020212,46639.43160057817,0.13245605870427524
sam_mi,bls_us,BLS US,3,Forging & Foundries,2029,Forecast,8409.900065434525,15283.033794589997,0.5502768742428303
sam_mi,bls_us,BLS US,4,Parts & Machining,2029,Forecast,14760.395698424192,49960.60938954987,0.29544066573198335
sam_mi,bls_us,BLS US,5,Component Systems,2029,Forecast,6209.429641943426,18917.163593473015,0.3282431645347648
sam_mi,bls_us,BLS US,6,Engineering & Design,2029,Forecast,1053.2375793887861,123051.47372754113,0.00855932519525
sam_mi,bls_us,BLS US,7,Core Automotive,2029,Forecast,160572.72689417674,160572.72689417674,1.0
sam_mi,bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",2029,Forecast,114923.84177657956,114923.84177657956,1.0
sam_mi,bls_us,BLS US,9,"Dealers, Maintenance, & Repair",2029,Forecast,70344.34332051783,70344.34332051783,1.0
sam_mi,bls_us,BLS US,10,Logistics,2029,Forecast,47201.3855833242,47201.3855833242,1.0
sam_mi,bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,2030,Forecast,4737.086786798944,14895.146,0.3180288925532481
sam_mi,bls_us,BLS US,1,Materials & Processing - Metals,2030,Forecast,3399.8076594949475,9232.635999999997,0.3682380264417387
sam_mi,bls_us,BLS US,1,Materials & Processing - Non-Metals,2030,Forecast,13241.352421432084,48880.999,0.2708895622495785
sam_mi,bls_us,BLS US,2,Equipment Manufacturing,2030,Forecast,6164.576756725937,46460.94000000002,0.13268299687276958
sam_mi,bls_us,BLS US,3,Forging & Foundries,2030,Forecast,8292.534476983012,15080.936999999998,0.5498686505343144
sam_mi,bls_us,BLS US,4,Parts & Machining,2030,Forecast,14727.460957369985,49873.700999999994,0.29529512873668606
sam_mi,bls_us,BLS US,5,Component Systems,2030,Forecast,6259.0051227172935,19054.246,0.32848348461110943
sam_mi,bls_us,BLS US,6,Engineering & Design,2030,Forecast,1057.5355010306757,123629.48300000005,0.00855407201719573
sam_mi,bls_us,BLS US,7,Core Automotive,2030,Forecast,158280.593,158280.593,1.0
sam_mi,bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",2030,Forecast,114862.51000000002,114862.51000000002,1.0
sam_mi,bls_us,BLS US,9,"Dealers, Maintenance, & Repair",2030,Forecast,70494.23399999995,70494.23399999995,1.0
sam_mi,bls_us,BLS US,10,Logistics,2030,Forecast,47264.112000000016,47264.112000000016,1.0
sam_mi,bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,2031,Forecast,4714.469347325225,14787.769811424441,0.3188086782148187
sam_mi,bls_us,BLS US,1,Materials & Processing - Metals,2031,Forecast,3402.7040762653196,9239.493511833673,0.3682782039845838
sam_mi,bls_us,BLS US,1,Materials & Processing - Non-Metals,2031,Forecast,13284.578316705989,49056.227861304054,0.2708030946501896
sam_mi,bls_us,BLS US,2,Equipment Manufacturing,2031,Forecast,6151.571405256011,46283.637698375154,0.13291028344282388
sam_mi,bls_us,BLS US,3,Forging & Foundries,2031,Forecast,8176.868750258764,14881.641950693482,0.5494601185373716
sam_mi,bls_us,BLS US,4,Parts & Machining,2031,Forecast,14695.285188446604,49789.986202834734,0.29514539587500316
sam_mi,bls_us,BLS US,5,Component Systems,2031,Forecast,6310.3761759953395,19194.93969244831,0.32875207096784853
sam_mi,bls_us,BLS US,6,Engineering & Design,2031,Forecast,1061.8521330953447,124210.57372034501,0.008548806283481638
sam_mi,bls_us,BLS US,7,Core Automotive,2031,Forecast,156054.42140298497,156054.42140298497,1.0
sam_mi,bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",2031,Forecast,114808.27786421019,114808.27786421019,1.0
sam_mi,bls_us,BLS US,9,"Dealers, Maintenance, & Repair",2031,Forecast,70644.46726930262,70644.46726930262,1.0
sam_mi,bls_us,BLS US,10,Logistics,2031,Forecast,47326.92177446927,47326.92177446927,1.0
sam_mi,bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,2032,Forecast,4692.168813772927,14681.715836871474,0.31959267335695696
sam_mi,bls_us,BLS US,1,Materials & Processing - Metals,2032,Forecast,3405.6094051342784,9246.375322693586,0.36831831785757335
sam_mi,bls_us,BLS US,1,Materials & Processing - Non-Metals,2032,Forecast,13327.96859266568,49232.14876547173,0.27071677606753297
