naics_code
3252
3255
3261
3262
3272
3311
3312
3313
3314
3315
3321
3326
3327
3328
3329
3335
3336
3339
3344
3345
3359
3361
3362
3363
4231
4235
4238
4239
4247
4411
4413
4571
4841
4842
5413
5414
5417
8111
