segment_id,segment_name,total_employment_2024,exposure_matched_employment_2024,employment_coverage_pct_2024,employment_weighted_exposure_score_2024,employment_weighted_exposure_percentile_2024,q1_employment_2024,q1_share_of_matched_pct_2024,q1_share_of_total_pct_2024,total_employment_2030,exposure_matched_employment_2030,employment_coverage_pct_2030,employment_weighted_exposure_score_2030,employment_weighted_exposure_percentile_2030,q1_employment_2030,q1_share_of_matched_pct_2030,q1_share_of_total_pct_2030,total_employment_change,q1_employment_change,q1_employment_pct_change
0,0. All Segments,463381.8901036561,454058.689192701,97.98800921873111,0.41332385697812113,36.25554010632268,44914.21891537629,9.89172104496713,9.692700529433555,459704.19705692923,450412.1431069179,97.97868846760592,0.41335319274227167,36.27461452559954,44474.20409674624,9.874113026786013,9.674526441453962,-3677.6930467268685,-440.0148186300503,-0.9796782160658084
1,1. Materials & Processing,21247.668785665093,20720.695810348334,97.5198550926571,0.41174850259972645,34.16791067956202,1933.221083605849,9.329904272038776,9.098509126375838,19652.47629338272,19162.94046248181,97.50903741801869,0.41186873934773355,34.3230129122585,1799.1633654123912,9.388764573656562,9.15489396121646,-1595.1924922823746,-134.05771819345773,-6.934422520543431
2,2. Equipment Manufacturing,6244.586842570625,6076.422608260518,97.3070398642918,0.4168595137960348,40.90218715157383,797.1249531864923,13.118326432773959,12.765055131467284,6107.466445385028,5941.372494536286,97.28047706305045,0.41699210592583213,41.07098600899124,776.1832295648119,13.064039163991042,12.708759622434235,-137.12039718559663,-20.941723621680467,-2.6271569517384084
3,3. Forging & Foundries,9023.139594640334,8887.11236457038,98.4924623115578,0.4088231500436768,30.142736094437957,680.1361503497691,7.653061224489741,7.537688442211001,7469.677278379074,7358.152087848506,98.50696105903563,0.4090700840239101,30.48671525366836,572.9849155522741,7.787076275557284,7.670812194400616,-1553.4623162612597,-107.15123479749502,-15.754380169675008
4,4. Parts & Machining,14936.444494648236,14670.290535030257,98.21809025760219,0.41293908199301066,35.930994140921996,1458.0608222550197,9.938868073358252,9.761766414875016,14209.03585349492,13957.704297602082,98.23118501153603,0.41316993365482935,36.24154260597198,1402.1411962983038,10.045643369441422,9.867954523835104,-727.4086411533171,-55.91962595671589,-3.835205301671247
5,5. Component Systems,5987.0248807060025,5778.391779698202,96.51524579962664,0.42461176834322956,50.76687595276892,1203.3659218842763,20.825274016763302,20.099564405724884,5868.690563094324,5660.253453167238,96.44831998405475,0.42448368550490095,50.59288087456941,1172.9517975686238,20.722602040237078,19.986601524790114,-118.33431761167867,-30.414124315652543,-2.5274211079560027
6,6. Engineering & Design,1032.0255054257461,978.8732576239652,94.84971567831032,0.4368349738776275,66.72048054398165,289.6545996138053,29.590613223706672,28.066612510154272,1047.8416231931733,994.3279060440334,94.89295748855031,0.43703677082045306,66.9303442802849,297.9658391893361,29.966557046035557,28.436152238476698,15.816117767427158,8.311239575530806,2.869362194355667
7,7. Core Automotive,173082.00000000003,171248.08419243988,98.94043528064145,0.4085585171576272,29.57292676002513,12262.453264604565,7.160636758321129,7.084765177548539,174973.01200000002,173108.78928767747,98.93456557041921,0.4086701550271105,29.701544016110123,12522.824730542237,7.234077935656649,7.157003578667455,1891.011999999988,260.37146593767284,2.1233227994371418
8,"8. Motor Vehicle Parts, Materials, & Products Sales",115340.0,113235.71170520235,98.17557803468212,0.4202614010756813,45.94796792444646,12906.99602601144,11.39834406623724,11.1903901734103,116956.14599999998,114759.33028174983,98.12167569351153,0.4201674904101612,45.76759771607252,13197.257485086207,11.499942926370464,11.283936703152145,1616.1459999999788,290.2614590747671,2.2488692062026194
9,"9. Dealers, Maintenance, & Repair",69600.00000000001,66932.05072146919,96.16673954234076,0.41455102682675227,38.03306306951728,8480.629645824207,12.670506214004215,12.184812709517535,71696.004,68949.73606206091,96.16956624536691,0.41424879444130236,37.63515235982827,8388.45895084824,12.16604940053415,11.700036937690754,2096.0039999999863,-92.1706949759664,-1.0868378743711617
10,10. Logistics,46889.00000000001,45531.056218057936,97.1039182282794,0.4114987629662253,33.80265427475541,4902.576448040856,10.767543859649054,10.455706984667737,41723.84700000001,40519.5367737498,97.1136165218653,0.41141014470807935,33.68484017332899,4344.272586683814,10.721427075884563,10.411965576145969,-5165.152999999998,-558.3038613570425,-11.38796849522151
