segment_id,segment_name,year,total_employment,exposure_matched_employment,exposure_unmatched_employment,employment_coverage_pct,employment_weighted_exposure_score,employment_weighted_exposure_percentile,q1_employment,q1_share_of_matched_pct,q1_share_of_total_pct,q2_employment,q2_share_of_matched_pct,q2_share_of_total_pct,q3_employment,q3_share_of_matched_pct,q3_share_of_total_pct,q4_employment,q4_share_of_matched_pct,q4_share_of_total_pct
0,0. All Segments,2024,463381.8901036561,454058.689192701,9323.200910955085,97.98800921873111,0.41332385697812113,36.25554010632268,44914.21891537629,9.89172104496713,9.692700529433555,76234.16682554496,16.78949630081662,16.45169318302271,97342.28613662836,21.438260835774162,21.006925004094008,235568.01731515137,51.88052181844208,50.83669050218083
0,0. All Segments,2030,459704.19705692923,450412.1431069179,9292.053950011323,97.97868846760592,0.41335319274227167,36.27461452559954,44474.20409674624,9.874113026786013,9.674526441453962,76891.4620481291,17.071356362138925,16.72629106725492,95064.83607355886,21.106188527202423,20.679566704453244,233981.6408884837,51.948342083872646,50.8983042544438
1,1. Materials & Processing,2024,21247.668785665093,20720.695810348334,526.9729753167594,97.5198550926571,0.41174850259972645,34.16791067956202,1933.221083605849,9.329904272038776,9.098509126375838,2975.3249449064133,14.359194170595739,14.00306534763823,5361.505945498055,25.87512501785973,25.233384422460677,10450.643836338017,50.43577653950575,49.18489619618236
1,1. Materials & Processing,2030,19652.47629338272,19162.94046248181,489.5358309009098,97.50903741801869,0.41186873934773355,34.3230129122585,1799.1633654123912,9.388764573656562,9.15489396121646,2807.103396070719,14.648604693870496,14.283713432163825,4952.741764495025,25.8454164390468,25.2016167863929,9603.931936503674,50.11721429342613,48.8688132382455
2,2. Equipment Manufacturing,2024,6244.586842570625,6076.422608260518,168.16423431010662,97.3070398642918,0.4168595137960348,40.90218715157383,797.1249531864923,13.118326432773959,12.765055131467284,1426.0856720628863,23.46916539551103,22.837150127226494,1170.5290010246895,19.263456090651566,18.744698897370665,2682.682981986451,44.149052081063466,42.96013570822737
2,2. Equipment Manufacturing,2030,6107.466445385028,5941.372494536286,166.09395084874268,97.28047706305045,0.41699210592583213,41.07098600899124,776.1832295648119,13.064039163991042,12.708759622434235,1424.8183162184414,23.981299228902266,23.329122295793763,1123.1130296010474,18.903258979871527,18.38918051608295,2617.257919151984,44.051402627235156,42.8534146287395
3,3. Forging & Foundries,2024,9023.139594640334,8887.11236457038,136.02723006995438,98.4924623115578,0.4088231500436768,30.142736094437957,680.1361503497691,7.653061224489741,7.537688442211001,940.8550079838529,10.58673469387754,10.42713567839195,1893.0456184735365,21.301020408163254,20.979899497487427,5373.075587763221,60.45918367346946,59.54773869346741
3,3. Forging & Foundries,2030,7469.677278379074,7358.152087848506,111.52519053056767,98.50696105903563,0.4090700840239101,30.48671525366836,572.9849155522741,7.787076275557284,7.670812194400616,803.0066584007186,10.91315657536938,10.7502188980107,1582.0345565988073,21.500432958044332,21.17942312150479,4400.125957296706,59.79933419102899,58.9065068451195
4,4. Parts & Machining,2024,14936.444494648236,14670.290535030257,266.1539596179791,98.21809025760219,0.41293908199301066,35.930994140921996,1458.0608222550197,9.938868073358252,9.761766414875016,2172.626344272865,14.809702228357294,14.545806701530088,3841.8745475291253,26.188128574245727,25.721479759829577,7197.728820973248,49.06330112403874,48.18903738136751
4,4. Parts & Machining,2030,14209.03585349492,13957.704297602082,251.33155589283706,98.23118501153603,0.41316993365482935,36.24154260597198,1402.1411962983038,10.045643369441422,9.867954523835104,2126.7795110860648,15.237316006554481,14.967796077190926,3686.8290613073304,26.414294089470882,25.94707409651937,6741.95452891038,48.30274653453319,47.44836031399061
5,5. Component Systems,2024,5987.0248807060025,5778.391779698202,208.63310100780018,96.51524579962664,0.42461176834322956,50.76687595276892,1203.3659218842763,20.825274016763302,20.099564405724884,1754.7534031191844,30.367504835589962,29.309271935283157,1281.6033347622083,22.179239200515834,21.406347230865006,1538.6691199325328,26.62798194713089,25.70006222775359
5,5. Component Systems,2030,5868.690563094324,5660.253453167238,208.43710992708566,96.44831998405475,0.42448368550490095,50.59288087456941,1172.9517975686238,20.722602040237078,19.986601524790114,1713.3794008557584,30.270365364947107,29.19525884752667,1259.4789814578573,22.25128241833599,21.46098806739241,1514.4432732849987,26.755750176479825,25.805471544345558
6,6. Engineering & Design,2024,1032.0255054257461,978.8732576239652,53.15224780178096,94.84971567831032,0.4368349738776275,66.72048054398165,289.6545996138053,29.590613223706672,28.066612510154272,531.5224780178111,54.29941760877033,51.50284321689702,111.33467678354073,11.373758136348027,10.78797725426479,46.36150320880792,4.7362110311749595,4.492282696994218
