stage_clean,year,total_employment,exposure_matched_employment,exposure_unmatched_employment,employment_coverage_pct,employment_weighted_exposure_score,employment_weighted_exposure_percentile,q1_employment,q1_share_of_matched_pct,q1_share_of_total_pct,q2_employment,q2_share_of_matched_pct,q2_share_of_total_pct,q3_employment,q3_share_of_matched_pct,q3_share_of_total_pct,q4_employment,q4_share_of_matched_pct,q4_share_of_total_pct
Core Automotive,2024,173082.00000000003,171248.08419243988,1833.9158075601445,98.94043528064145,0.4085585171576272,29.572926760025126,12262.453264604566,7.160636758321131,7.08476517754854,19756.72542955313,11.536903039073726,11.414662084765098,25992.039175257683,15.178002894355975,15.017182130584162,113236.8663230245,66.12445730824916,65.42382588774366
Core Automotive,2030,174973.012,173108.78928767747,1864.2227123225166,98.93456557041922,0.4086701550271105,29.701544016110123,12522.824730542237,7.234077935656649,7.157003578667457,20357.59529136343,11.760000965365517,11.63470586616148,25429.1177683906,14.68967455264892,14.533165702371631,114799.25149738116,66.31624654632888,65.60969042321862
Downstream,2024,231829.0,225698.81864472944,6130.181355270557,97.35573144202384,0.4168002432728234,41.150646528271594,26290.202119876503,11.648356104716562,11.340342286718446,46676.27354562882,20.68077884762948,20.133923515017027,57690.35383729951,25.560769074343007,24.884873694533262,95041.98914192463,42.11009597331096,40.996591945755114
Downstream,2030,230375.99699999997,224228.60311756056,6147.393882439414,97.33158229915792,0.4167649980184998,41.083459810245216,25929.98902261826,11.56408623257732,11.255508108606586,47120.457902718364,21.014472394502512,20.453718493389037,56920.281212899594,25.384933242908765,24.707557190908044,94257.87497932432,42.03650813001139,40.91479850625425
Upstream,2024,58470.89010365603,57111.78635553164,1359.1037481243839,97.67558909105882,0.41387433940783896,36.94830422565686,6361.563530895211,11.138792772639396,10.879881458307816,9801.167850363014,17.16137504323345,16.76247416960422,13659.893124071155,23.91781801226763,23.361869641209786,27289.161850202276,47.782014171859544,46.67136382193702
Upstream,2030,54355.18805692924,53074.75070167996,1280.4373552492834,97.64431436810005,0.4142133128042369,37.39709962874291,6021.390343585741,11.345112815377101,11.077857622862423,9413.408854047315,17.73613390472196,17.31832634667389,12715.437092268672,23.957601164702588,23.39323539631779,24924.51441177822,46.96115211519833,45.85489500224592
Upstream + Core Automotive,2024,231552.89010365604,228359.8705479715,3193.0195556845283,98.62104094047146,0.4098879806221562,31.417475809285843,18624.016795499778,8.155555856118527,8.043094079785671,29557.89327991615,12.943558432131328,12.765072060506082,39651.93229932884,17.363791722328536,17.12435214329582,140526.02817322675,61.537093989421614,60.68852265688389
Upstream + Core Automotive,2030,229328.2000569293,226183.53998935744,3144.660067571851,98.62875125397086,0.40997087618982164,31.507332782483736,18544.215074127977,8.198746502508774,8.086321293903014,29771.004145410745,13.162321248845762,12.981833083772637,38144.55486065927,16.864425617555582,16.633172392749835,139723.76590915938,61.77450663108986,60.927424483545344
