stage_clean,total_employment_2024,exposure_matched_employment_2024,employment_coverage_pct_2024,employment_weighted_exposure_score_2024,employment_weighted_exposure_percentile_2024,q1_employment_2024,q1_share_of_matched_pct_2024,q1_share_of_total_pct_2024,total_employment_2030,exposure_matched_employment_2030,employment_coverage_pct_2030,employment_weighted_exposure_score_2030,employment_weighted_exposure_percentile_2030,q1_employment_2030,q1_share_of_matched_pct_2030,q1_share_of_total_pct_2030,total_employment_change,q1_employment_change,q1_employment_pct_change
Core Automotive,173082.00000000003,171248.08419243988,98.94043528064145,0.4085585171576272,29.572926760025126,12262.453264604566,7.160636758321131,7.08476517754854,174973.012,173108.78928767747,98.93456557041922,0.4086701550271105,29.701544016110123,12522.824730542237,7.234077935656649,7.157003578667457,1891.0119999999588,260.371465937671,2.1233227994371267
Downstream,231829.0,225698.81864472944,97.35573144202384,0.4168002432728234,41.150646528271594,26290.202119876503,11.648356104716562,11.340342286718446,230375.99699999997,224228.60311756056,97.33158229915792,0.4167649980184998,41.083459810245216,25929.98902261826,11.56408623257732,11.255508108606586,-1453.003000000026,-360.21309725824176,-1.3701419852755923
Upstream,58470.89010365603,57111.78635553164,97.67558909105882,0.41387433940783896,36.94830422565686,6361.563530895211,11.138792772639396,10.879881458307816,54355.18805692924,53074.75070167996,97.64431436810005,0.4142133128042369,37.39709962874291,6021.390343585741,11.345112815377101,11.077857622862423,-4115.702046726787,-340.17318730947045,-5.347320445003882
Upstream + Core Automotive,231552.89010365604,228359.8705479715,98.62104094047146,0.4098879806221562,31.417475809285843,18624.016795499778,8.155555856118527,8.043094079785671,229328.2000569293,226183.53998935744,98.62875125397086,0.40997087618982164,31.507332782483736,18544.215074127977,8.198746502508774,8.086321293903014,-2224.690046726755,-79.80172137180125,-0.4284882377849024
