share_method,share_label,projection_method,projection_label,segment_id,segment_name,base_employment,auto_base_employment,projected_employment
lightcast,Lightcast,moodys_us,Moody's US,5,Component Systems,18283,6667,6486
lightcast,Lightcast,moodys_us,Moody's US,6,Engineering & Design,120207,4999,5357
lightcast,Lightcast,moodys_us,Moody's US,7,Core Automotive,173082,173082,182433
lightcast,Lightcast,moodys_us,Moody's US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,119865
lightcast,Lightcast,moodys_us,Moody's US,9,"Dealers, Maintenance, & Repair",69600,69600,72531
lightcast,Lightcast,moodys_us,Moody's US,10,Logistics,46889,46889,41179
lightcast,Lightcast,dtmb_mi,DTMB MI,1,Materials & Processing - Coatings & Surface Treatments,15568,6249,6169
lightcast,Lightcast,dtmb_mi,DTMB MI,1,Materials & Processing - Metals,9192,4157,3954
lightcast,Lightcast,dtmb_mi,DTMB MI,1,Materials & Processing - Non-Metals,47844,16225,15933
lightcast,Lightcast,dtmb_mi,DTMB MI,2,Equipment Manufacturing,47550,14759,14494
lightcast,Lightcast,dtmb_mi,DTMB MI,3,Forging & Foundries,16337,10459,10031
lightcast,Lightcast,dtmb_mi,DTMB MI,4,Parts & Machining,50443,21044,20696
lightcast,Lightcast,dtmb_mi,DTMB MI,5,Component Systems,18283,6667,6711
lightcast,Lightcast,dtmb_mi,DTMB MI,6,Engineering & Design,120207,4999,5145
lightcast,Lightcast,dtmb_mi,DTMB MI,7,Core Automotive,173082,173082,167716
lightcast,Lightcast,dtmb_mi,DTMB MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,113557
lightcast,Lightcast,dtmb_mi,DTMB MI,9,"Dealers, Maintenance, & Repair",69600,69600,69272
lightcast,Lightcast,dtmb_mi,DTMB MI,10,Logistics,46889,46889,47498
lightcast,Lightcast,bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,15568,6249,6033
lightcast,Lightcast,bls_us,BLS US,1,Materials & Processing - Metals,9192,4157,4179
lightcast,Lightcast,bls_us,BLS US,1,Materials & Processing - Non-Metals,47844,16225,16554
lightcast,Lightcast,bls_us,BLS US,2,Equipment Manufacturing,47550,14759,14493
lightcast,Lightcast,bls_us,BLS US,3,Forging & Foundries,16337,10459,9627
lightcast,Lightcast,bls_us,BLS US,4,Parts & Machining,50443,21044,20843
lightcast,Lightcast,bls_us,BLS US,5,Component Systems,18283,6667,6847
lightcast,Lightcast,bls_us,BLS US,6,Engineering & Design,120207,4999,5120
lightcast,Lightcast,bls_us,BLS US,7,Core Automotive,173082,173082,158280
lightcast,Lightcast,bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,114862
lightcast,Lightcast,bls_us,BLS US,9,"Dealers, Maintenance, & Repair",69600,69600,70494
lightcast,Lightcast,bls_us,BLS US,10,Logistics,46889,46889,47264
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,1,Materials & Processing - Coatings & Surface Treatments,15568,647,628
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,1,Materials & Processing - Metals,9192,1332,1134
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,1,Materials & Processing - Non-Metals,47844,2575,2400
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,2,Equipment Manufacturing,47550,1855,1773
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,3,Forging & Foundries,16337,1726,1399
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,4,Parts & Machining,50443,2247,2147
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,5,Component Systems,18283,1184,1143
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,6,Engineering & Design,120207,241,251
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,7,Core Automotive,173082,173082,174974
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,116955
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,9,"Dealers, Maintenance, & Repair",69600,69600,71696
bea_summary,BEA Summary (Total Output),moodys_mi,Moody's MI,10,Logistics,46889,46889,41724
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,1,Materials & Processing - Coatings & Surface Treatments,15568,647,637
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,1,Materials & Processing - Metals,9192,1332,1185
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,1,Materials & Processing - Non-Metals,47844,2575,2484
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,2,Equipment Manufacturing,47550,1855,1744
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,3,Forging & Foundries,16337,1726,1474
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,4,Parts & Machining,50443,2247,2154
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,5,Component Systems,18283,1184,1152
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,6,Engineering & Design,120207,241,260
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,7,Core Automotive,173082,173082,182433
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,119865
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,9,"Dealers, Maintenance, & Repair",69600,69600,72531
bea_summary,BEA Summary (Total Output),moodys_us,Moody's US,10,Logistics,46889,46889,41179
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,1,Materials & Processing - Coatings & Surface Treatments,15568,647,632
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,1,Materials & Processing - Metals,9192,1332,1267
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,1,Materials & Processing - Non-Metals,47844,2575,2529
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,2,Equipment Manufacturing,47550,1855,1821
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,3,Forging & Foundries,16337,1726,1650
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,4,Parts & Machining,50443,2247,2198
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,5,Component Systems,18283,1184,1179
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,6,Engineering & Design,120207,241,248
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,7,Core Automotive,173082,173082,167716
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,113557
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,9,"Dealers, Maintenance, & Repair",69600,69600,69272
bea_summary,BEA Summary (Total Output),dtmb_mi,DTMB MI,10,Logistics,46889,46889,47498
bea_summary,BEA Summary (Total Output),bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,15568,647,609
bea_summary,BEA Summary (Total Output),bls_us,BLS US,1,Materials & Processing - Metals,9192,1332,1337
bea_summary,BEA Summary (Total Output),bls_us,BLS US,1,Materials & Processing - Non-Metals,47844,2575,2635
bea_summary,BEA Summary (Total Output),bls_us,BLS US,2,Equipment Manufacturing,47550,1855,1812
bea_summary,BEA Summary (Total Output),bls_us,BLS US,3,Forging & Foundries,16337,1726,1582
bea_summary,BEA Summary (Total Output),bls_us,BLS US,4,Parts & Machining,50443,2247,2189
bea_summary,BEA Summary (Total Output),bls_us,BLS US,5,Component Systems,18283,1184,1182
bea_summary,BEA Summary (Total Output),bls_us,BLS US,6,Engineering & Design,120207,241,247
bea_summary,BEA Summary (Total Output),bls_us,BLS US,7,Core Automotive,173082,173082,158280
bea_summary,BEA Summary (Total Output),bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,114862
bea_summary,BEA Summary (Total Output),bls_us,BLS US,9,"Dealers, Maintenance, & Repair",69600,69600,70494
bea_summary,BEA Summary (Total Output),bls_us,BLS US,10,Logistics,46889,46889,47264
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1470,1446
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,1,Materials & Processing - Metals,9192,825,699
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,1,Materials & Processing - Non-Metals,47844,2939,2699
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,2,Equipment Manufacturing,47550,2664,2562
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,3,Forging & Foundries,16337,4568,3747
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,4,Parts & Machining,50443,3980,3762
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,5,Component Systems,18283,1473,1430
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,6,Engineering & Design,120207,546,561
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,7,Core Automotive,173082,173082,174974
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,116955
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,9,"Dealers, Maintenance, & Repair",69600,69600,71696
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_mi,Moody's MI,10,Logistics,46889,46889,41724
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,1,Materials & Processing - Coatings & Surface Treatments,15568,1470,1479
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,1,Materials & Processing - Metals,9192,825,729
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,1,Materials & Processing - Non-Metals,47844,2939,2788
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,2,Equipment Manufacturing,47550,2664,2522
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,3,Forging & Foundries,16337,4568,3936
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,4,Parts & Machining,50443,3980,3766
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,5,Component Systems,18283,1473,1431
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,6,Engineering & Design,120207,546,585
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,7,Core Automotive,173082,173082,182433
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,119865
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,9,"Dealers, Maintenance, & Repair",69600,69600,72531
bea_detail_inputs,BEA Detail (Intermediate Inputs),moodys_us,Moody's US,10,Logistics,46889,46889,41179
