share_method,share_label,projection_method,projection_label,segment_id,segment_name,base_employment,auto_base_employment,projected_employment
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,6,Engineering & Design,120207,1516,1611
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,7,Core Automotive,173082,173082,182433
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,119865
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,9,"Dealers, Maintenance, & Repair",69600,69600,72531
mrio_indirect,MRIO Indirect,moodys_us,Moody's US,10,Logistics,46889,46889,41179
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1619,1598
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,1,Materials & Processing - Metals,9192,1310,1246
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,1,Materials & Processing - Non-Metals,47844,3666,3599
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,2,Equipment Manufacturing,47550,771,757
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,3,Forging & Foundries,16337,3525,3379
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,4,Parts & Machining,50443,5251,5126
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,5,Component Systems,18283,515,528
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,6,Engineering & Design,120207,1516,1587
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,7,Core Automotive,173082,173082,167716
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,113557
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,9,"Dealers, Maintenance, & Repair",69600,69600,69272
mrio_indirect,MRIO Indirect,dtmb_mi,DTMB MI,10,Logistics,46889,46889,47498
mrio_indirect,MRIO Indirect,bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,15568,1619,1561
mrio_indirect,MRIO Indirect,bls_us,BLS US,1,Materials & Processing - Metals,9192,1310,1320
mrio_indirect,MRIO Indirect,bls_us,BLS US,1,Materials & Processing - Non-Metals,47844,3666,3741
mrio_indirect,MRIO Indirect,bls_us,BLS US,2,Equipment Manufacturing,47550,771,749
mrio_indirect,MRIO Indirect,bls_us,BLS US,3,Forging & Foundries,16337,3525,3243
mrio_indirect,MRIO Indirect,bls_us,BLS US,4,Parts & Machining,50443,5251,5119
mrio_indirect,MRIO Indirect,bls_us,BLS US,5,Component Systems,18283,515,552
mrio_indirect,MRIO Indirect,bls_us,BLS US,6,Engineering & Design,120207,1516,1557
mrio_indirect,MRIO Indirect,bls_us,BLS US,7,Core Automotive,173082,173082,158280
mrio_indirect,MRIO Indirect,bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,114862
mrio_indirect,MRIO Indirect,bls_us,BLS US,9,"Dealers, Maintenance, & Repair",69600,69600,70494
mrio_indirect,MRIO Indirect,bls_us,BLS US,10,Logistics,46889,46889,47264
mrio_total,MRIO Total,moodys_mi,Moody's MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1731,1694
mrio_total,MRIO Total,moodys_mi,Moody's MI,1,Materials & Processing - Metals,9192,1310,1103
mrio_total,MRIO Total,moodys_mi,Moody's MI,1,Materials & Processing - Non-Metals,47844,3717,3438
mrio_total,MRIO Total,moodys_mi,Moody's MI,2,Equipment Manufacturing,47550,771,727
mrio_total,MRIO Total,moodys_mi,Moody's MI,3,Forging & Foundries,16337,3525,2940
mrio_total,MRIO Total,moodys_mi,Moody's MI,4,Parts & Machining,50443,5387,5094
mrio_total,MRIO Total,moodys_mi,Moody's MI,5,Component Systems,18283,515,510
mrio_total,MRIO Total,moodys_mi,Moody's MI,6,Engineering & Design,120207,1874,1934
mrio_total,MRIO Total,moodys_mi,Moody's MI,7,Core Automotive,173082,173082,174974
mrio_total,MRIO Total,moodys_mi,Moody's MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,116955
mrio_total,MRIO Total,moodys_mi,Moody's MI,9,"Dealers, Maintenance, & Repair",69600,69600,71696
mrio_total,MRIO Total,moodys_mi,Moody's MI,10,Logistics,46889,46889,41724
mrio_total,MRIO Total,moodys_us,Moody's US,1,Materials & Processing - Coatings & Surface Treatments,15568,1731,1727
mrio_total,MRIO Total,moodys_us,Moody's US,1,Materials & Processing - Metals,9192,1310,1150
mrio_total,MRIO Total,moodys_us,Moody's US,1,Materials & Processing - Non-Metals,47844,3717,3549
mrio_total,MRIO Total,moodys_us,Moody's US,2,Equipment Manufacturing,47550,771,713
mrio_total,MRIO Total,moodys_us,Moody's US,3,Forging & Foundries,16337,3525,3078
mrio_total,MRIO Total,moodys_us,Moody's US,4,Parts & Machining,50443,5387,5107
mrio_total,MRIO Total,moodys_us,Moody's US,5,Component Systems,18283,515,500
mrio_total,MRIO Total,moodys_us,Moody's US,6,Engineering & Design,120207,1874,1998
mrio_total,MRIO Total,moodys_us,Moody's US,7,Core Automotive,173082,173082,182433
mrio_total,MRIO Total,moodys_us,Moody's US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,119865
mrio_total,MRIO Total,moodys_us,Moody's US,9,"Dealers, Maintenance, & Repair",69600,69600,72531
mrio_total,MRIO Total,moodys_us,Moody's US,10,Logistics,46889,46889,41179
mrio_total,MRIO Total,dtmb_mi,DTMB MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1731,1707
mrio_total,MRIO Total,dtmb_mi,DTMB MI,1,Materials & Processing - Metals,9192,1310,1246
mrio_total,MRIO Total,dtmb_mi,DTMB MI,1,Materials & Processing - Non-Metals,47844,3717,3649
mrio_total,MRIO Total,dtmb_mi,DTMB MI,2,Equipment Manufacturing,47550,771,757
mrio_total,MRIO Total,dtmb_mi,DTMB MI,3,Forging & Foundries,16337,3525,3379
mrio_total,MRIO Total,dtmb_mi,DTMB MI,4,Parts & Machining,50443,5387,5258
mrio_total,MRIO Total,dtmb_mi,DTMB MI,5,Component Systems,18283,515,528
mrio_total,MRIO Total,dtmb_mi,DTMB MI,6,Engineering & Design,120207,1874,1967
mrio_total,MRIO Total,dtmb_mi,DTMB MI,7,Core Automotive,173082,173082,167716
mrio_total,MRIO Total,dtmb_mi,DTMB MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,113557
mrio_total,MRIO Total,dtmb_mi,DTMB MI,9,"Dealers, Maintenance, & Repair",69600,69600,69272
mrio_total,MRIO Total,dtmb_mi,DTMB MI,10,Logistics,46889,46889,47498
mrio_total,MRIO Total,bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,15568,1731,1666
mrio_total,MRIO Total,bls_us,BLS US,1,Materials & Processing - Metals,9192,1310,1320
mrio_total,MRIO Total,bls_us,BLS US,1,Materials & Processing - Non-Metals,47844,3717,3792
mrio_total,MRIO Total,bls_us,BLS US,2,Equipment Manufacturing,47550,771,749
mrio_total,MRIO Total,bls_us,BLS US,3,Forging & Foundries,16337,3525,3243
mrio_total,MRIO Total,bls_us,BLS US,4,Parts & Machining,50443,5387,5247
mrio_total,MRIO Total,bls_us,BLS US,5,Component Systems,18283,515,552
mrio_total,MRIO Total,bls_us,BLS US,6,Engineering & Design,120207,1874,1930
mrio_total,MRIO Total,bls_us,BLS US,7,Core Automotive,173082,173082,158280
mrio_total,MRIO Total,bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,114862
mrio_total,MRIO Total,bls_us,BLS US,9,"Dealers, Maintenance, & Repair",69600,69600,70494
mrio_total,MRIO Total,bls_us,BLS US,10,Logistics,46889,46889,47264
