segment,occcd,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
Total,17-2072,"Electronics Engineers, Except Computer",2480.0,2810.0,detailed,False,,0.003593265524935524,,0.003894501961110418,330.0,13.306451612903224,"        Electronics engineers, except computer",Line item,95.9,101.8,6.0,6.2,5.7,127590,Bachelor's degree,nan,nan,BA+
Total,17-2081,Environmental Engineers,830.0,390.0,detailed,False,,0.001202584832942131,,0.0005405180657768908,-440.0,-53.012048192771076,      Environmental engineers,Line item,39.4,41.0,1.5,3.9,3.0,104170,Bachelor's degree,nan,nan,BA+
Total,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",250.0,490.0,detailed,False,,0.0003622243472717262,,0.0006791124416171192,240.0,96.0,"        Health and safety engineers, except mining safety engineers and inspectors",Line item,23.8,24.9,1.1,4.4,1.5,109660,Bachelor's degree,nan,nan,BA+
Total,17-2112,Industrial Engineers,18120.0,20780.0,detailed,False,,0.026254020690254717,,0.02879991129959946,2660.0,14.679911699779247,        Industrial engineers,Line item,351.1,389.6,38.5,11.0,25.2,101140,Bachelor's degree,nan,nan,BA+
Total,17-2131,Materials Engineers,440.0,720.0,detailed,False,,0.0006375148511982381,,0.0009978795060496446,280.0,63.63636363636365,      Materials engineers,Line item,23.0,24.3,1.3,5.7,1.5,108310,Bachelor's degree,nan,nan,BA+
Total,17-2141,Mechanical Engineers,23800.0,23640.0,detailed,False,,0.03448375786026833,,0.032763710448629996,-160.0,-0.6722689075630228,      Mechanical engineers,Line item,293.1,319.6,26.5,9.1,18.1,102320,Bachelor's degree,nan,nan,BA+
Total,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",130.0,,detailed,False,,0.00018835666058129763,,,,,"      Mining and geological engineers, including mining safety engineers",Line item,7.0,7.0,0.0,0.7,0.4,101020,Bachelor's degree,nan,nan,BA+
Total,17-2199,"Engineers, All Other",5280.0,3930.0,detailed,False,,0.007650178214378858,,0.005446758970520976,-1350.0,-25.568181818181824,"      Engineers, all other",Line item,158.8,162.1,3.3,2.1,9.3,117750,Bachelor's degree,nan,nan,BA+
Total,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",16410.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,17-3011,Architectural and Civil Drafters,1270.0,1350.0,detailed,False,,0.0018400996841403691,,0.0018710240738430836,80.0,6.299212598425208,        Architectural and civil drafters,Line item,110.5,115.1,4.6,4.1,10.0,64280,Associate's degree,nan,nan,SC or associate's
Total,17-3012,Electrical and Electronics Drafters,100.0,320.0,detailed,False,,0.0001448897389086905,,0.0004435020026887309,220.0,220.00000000000003,        Electrical and electronics drafters,Line item,21.6,20.4,-1.2,-5.6,1.7,73720,Associate's degree,nan,nan,SC or associate's
Total,17-3013,Mechanical Drafters,1250.0,1010.0,detailed,False,,0.0018111217363586311,,0.0013998031959863069,-240.0,-19.199999999999996,        Mechanical drafters,Line item,42.9,40.1,-2.8,-6.5,3.3,68510,Associate's degree,nan,nan,SC or associate's
Total,17-3019,"Drafters, All Other",140.0,60.0,detailed,False,,0.00020284563447216667,,8.315662550413704e-05,-80.0,-57.14285714285714,"        Drafters, all other",Line item,17.1,15.9,-1.2,-6.9,1.3,62010,Associate's degree,nan,nan,SC or associate's
