segment_id,segment_name,year,employment,wages,gdp
6,6. Engineering & Design,2006,108.30032415357879,7688.262332984863,11111.941835572448
6,6. Engineering & Design,2007,104.5221151266722,7841.636325273967,10829.888724908174
6,6. Engineering & Design,2008,101.06119134552691,7744.730956446778,10916.95492315201
6,6. Engineering & Design,2009,87.10467552244533,6525.069214452842,9492.723377414637
6,6. Engineering & Design,2010,88.42703454666051,6668.524154065113,10066.580278768728
6,6. Engineering & Design,2011,94.12820426255328,7339.223410583398,11124.301703442285
6,6. Engineering & Design,2012,98.4708758636152,7781.195063561041,12161.672458922705
6,6. Engineering & Design,2013,101.96586567010715,8383.401890961763,12824.49840195967
6,6. Engineering & Design,2014,105.85514708308165,8933.374212791801,13457.112506860949
6,6. Engineering & Design,2015,107.9807985457286,9658.557114843165,14487.98873619724
6,6. Engineering & Design,2016,110.65986606312111,9904.223496712639,14913.188095764805
6,6. Engineering & Design,2017,113.61286350151757,10289.034769187812,15477.676030237291
6,6. Engineering & Design,2018,116.52193569840665,10778.913909683037,16131.040608217723
6,6. Engineering & Design,2019,116.79597494554386,10978.3295720424,16314.893560407625
6,6. Engineering & Design,2020,114.64582490153127,11133.462877746835,15791.230340986298
6,6. Engineering & Design,2021,117.20577268404801,11767.921105395551,16927.650646869955
6,6. Engineering & Design,2022,119.71586466044926,12605.582738627429,18522.676412104585
6,6. Engineering & Design,2023,121.16977195075543,13377.191435587882,20146.61021121059
6,6. Engineering & Design,2024,118.85586240982659,13687.677149980533,20668.85347088977
6,6. Engineering & Design,2025,117.41559026453992,14549.8645338646,21546.031633148596
6,6. Engineering & Design,2026,118.06366275453374,15062.936762885998,22655.70756410056
6,6. Engineering & Design,2027,119.32747577571675,15604.394214789478,23910.732527012675
6,6. Engineering & Design,2028,120.68995954135805,16077.414359753158,25198.315898958965
6,6. Engineering & Design,2029,121.91499732803936,16609.33243644565,26487.13308504112
6,6. Engineering & Design,2030,123.13853039417853,17246.678593838395,27804.867476493826
6,6. Engineering & Design,2031,124.2116742411826,17908.181664323023,29141.188164028277
6,6. Engineering & Design,2032,124.89034510002729,18511.536179542934,30477.70162364337
6,6. Engineering & Design,2033,125.27888783506306,19040.1699452106,31807.59668722088
6,6. Engineering & Design,2034,125.63979459120304,19541.133575770626,33102.42642232015
6,6. Engineering & Design,2035,126.09273544893774,20074.651010271413,34393.423442409534
6,6. Engineering & Design,2036,126.69979777128829,20676.701445167913,35782.014125564034
6,6. Engineering & Design,2037,127.30010434895645,21335.58197273426,37251.712785975964
6,6. Engineering & Design,2038,127.8489047617191,22042.91161330691,38769.073487547124
6,6. Engineering & Design,2039,128.41099500018487,22804.194172193755,40378.19083680503
6,6. Engineering & Design,2040,128.9463965115226,23610.744884605036,42071.55692228465
6,6. Engineering & Design,2041,129.49779939143693,24450.931986411222,43826.40759448505
6,6. Engineering & Design,2042,130.0316613449424,25329.84357185119,45656.36731602024
6,6. Engineering & Design,2043,130.537609957308,26260.086994646124,47576.37334924877
6,6. Engineering & Design,2044,131.02839386915366,27246.988262517465,49620.61207099192
6,6. Engineering & Design,2045,131.49343719569038,28277.093321289933,51778.735774001325
6,6. Engineering & Design,2046,131.9124161946629,29338.002137708856,54031.46571785059
6,6. Engineering & Design,2047,132.24740886580526,30432.96022543148,56410.666474132224
6,6. Engineering & Design,2048,132.54571877403362,31568.537460108695,58946.596965667646
6,6. Engineering & Design,2049,132.8456864474042,32746.239083420063,61636.70187241898
6,6. Engineering & Design,2050,133.1503233923883,33963.621915805576,64488.18583827334
6,6. Engineering & Design,2051,133.43834524177726,35223.95519255957,67506.69885213398
6,6. Engineering & Design,2052,133.6797295107194,36528.900178025724,70711.77273547353
6,6. Engineering & Design,2053,133.81879027094143,37867.0687506275,74101.09029321688
6,6. Engineering & Design,2054,133.8368344411315,39258.710787960066,77683.34456959843
6,6. Engineering & Design,2055,133.77976116587953,40754.95045210768,81481.19896575266
7,7. Core Automotive,1970,293.2802862315407,NDNDND,NDNDND
7,7. Core Automotive,1971,295.7159578819133,NDNDND,NDNDND
7,7. Core Automotive,1972,306.35290322643357,NDNDND,NDNDND
7,7. Core Automotive,1973,320.96186505826347,NDNDND,NDNDND
7,7. Core Automotive,1974,316.54170286272443,NDNDND,NDNDND
7,7. Core Automotive,1975,310.8203008508979,4870.527908761245,NDNDND
7,7. Core Automotive,1976,348.12573977981356,6423.760062473373,NDNDND
7,7. Core Automotive,1977,368.20112448474913,7576.567848264392,20124.27479027084
7,7. Core Automotive,1978,380.94833264986175,8335.43156515762,21756.542670707706
7,7. Core Automotive,1979,378.9146072168429,8636.783578078739,20128.909928164903
7,7. Core Automotive,1980,317.9181400011332,7623.983520615449,15028.760819666051
7,7. Core Automotive,1981,319.12636702355996,8466.196763002368,19490.380265435087
7,7. Core Automotive,1982,287.11866617989585,7897.961701654617,19655.53834996117
7,7. Core Automotive,1983,295.3877142012761,8903.125520989111,26187.22853576632
7,7. Core Automotive,1984,318.7778685994928,10697.71728477406,29748.599415189434
7,7. Core Automotive,1985,334.3636340455613,12114.59117311525,30141.12573582439
7,7. Core Automotive,1986,336.9561813776692,12409.925149744013,32848.45183845179
7,7. Core Automotive,1987,333.77813417887216,11699.06896932543,30397.702950460643
7,7. Core Automotive,1988,326.70958230888584,12587.725616770407,30552.67939884383
7,7. Core Automotive,1989,318.74178201438673,12709.186443200797,29329.553743879795
7,7. Core Automotive,1990,292.04876280760845,12337.769965769778,25638.501493584336
7,7. Core Automotive,1991,273.54479584203955,11952.132115344048,23914.369904463027
7,7. Core Automotive,1992,281.7892912724311,12707.988420904258,26679.691279147373
7,7. Core Automotive,1993,279.6136656545117,13423.00949633059,31673.786308398245
7,7. Core Automotive,1994,296.98551873626366,15883.087979525666,38941.31353854318
7,7. Core Automotive,1995,304.07610386958817,16177.878499849163,34460.54385010855
7,7. Core Automotive,1996,299.7824945211331,16077.4659166206,35068.59757258254
7,7. Core Automotive,1997,304.4874377027561,16910.43524518494,34867.600000000006
7,7. Core Automotive,1998,312.92304911532796,18037.64194608755,36903.5
7,7. Core Automotive,1999,322.1874849511993,19359.6151336699,43425.399999999994
7,7. Core Automotive,2000,326.4628435130346,20125.458583486256,44896.50000000001
7,7. Core Automotive,2001,297.85273108171754,18388.32087528659,40779.5
7,7. Core Automotive,2002,279.9027567243337,17372.657511441284,43494.90000000002
7,7. Core Automotive,2003,257.31656320801267,17657.897986737713,44874.90000000001
7,7. Core Automotive,2004,243.4230681556168,16616.876300828404,39195.99999999999
7,7. Core Automotive,2005,224.9561963470559,15455.886661123484,39031.09999999999
7,7. Core Automotive,2006,205.23604039156945,14754.29143818062,34245.900000000016
7,7. Core Automotive,2007,187.32011003041717,14338.452764736592,37242.40000000001
7,7. Core Automotive,2008,156.5361340733175,11832.371004125172,25552.09999999999
7,7. Core Automotive,2009,114.2631495680991,8384.696463882208,15463.6
7,7. Core Automotive,2010,118.82198745885854,8335.904204692144,25707.899999999994
