naics_code,mv_purchase_alloc,intermediate_alloc,total_output_alloc,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,share_of_intermediate_inputs_industry,share_of_industry_output_to_motor_vehicles
3252,2229.174781657436,83966.30200073186,95654.8490067161,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1,Materials & Processing - Non-Metals,Upstream,5524,-4.010993025722974,5.928505028558525,30.69803999691861,0.026548445370834676,0.023304357330603508
3255,6059.231896317118,35104.1116932116,41937.96819628813,"Paint, Coating, and Adhesive Manufacturing",1,Materials & Processing - Coatings & Surface Treatments,Upstream,4347,-0.0946318089710933,12.259859433846602,30.43615046713143,0.17260746972523014,0.14448081671380095
3261,8577.874560908287,181862.2447715836,190994.0543179813,Plastics Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,34371,-5.8367142964990455,15.42830193830216,17.527795855030416,0.047166879368953,0.04491173608277457
3262,6442.676082999442,39328.81665517919,43254.967856279596,Rubber Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,5147,-12.990833057016868,5.5515232148048055,1.581927902567325,0.1638156606512342,0.1489465003050307
3272,2891.1957051561026,24399.436475478826,26004.0081965718,Glass and Glass Product Manufacturing,1,Materials & Processing - Non-Metals,Upstream,2802,-9.09571418424086,10.489028561170894,0.3336415648663612,0.11849436391949968,0.11118269473308576
3311,12128.020290429087,103563.8903813642,86044.97328994102,Iron and Steel Mills and Ferroalloy Manufacturing,1,Materials & Processing - Metals,Upstream,3258,-16.971325974482504,9.523471513018205,-1.29529587664095,0.11710665025974598,0.1409497827323621
3312,2487.3330487981398,27331.136548026563,22620.454247351387,Steel Product Manufacturing from Purchased Steel,1,Materials & Processing - Metals,Upstream,1974,-15.007230370890202,11.21377298759406,5.6715982207323945,0.09100730386485655,0.10995946507525949
3313,3291.3952290022507,46413.733865401475,35005.014635245185,Alumina and Aluminum Production and Processing,1,Materials & Processing - Metals,Upstream,2698,-11.217919509285505,13.12738322611663,69.16021411136859,0.07091425220274682,0.09402639202693756
3314,3394.698542295113,59286.557840159585,45795.06516952888,Nonferrous Metal (except Aluminum) Production and Processing,1,Materials & Processing - Metals,Upstream,1262,-16.72114924886053,15.441048033406032,60.435169261794975,0.057259160692841045,0.0741280426117589
3315,10411.207944620766,28906.68347463879,29447.11303990864,Foundries,3,Forging & Foundries,Upstream,9349,-22.87394607610792,1.553981049670505,59.15842012573852,0.3601661170765237,0.3535561510057309
