naics_code,2024_employment,2024_gdp,2024_wages,2030_employment,2030_gdp,2030_wages,pct_change_2024_2030_employment,pct_change_2024_2030_gdp,pct_change_2024_2030_wages
3252,94.39360793040531,41.727819136418994,10292.6809323022,92.4550661974405,59.74495435392414,11642.98531234745,-2.053679031311166,43.17775429049501,13.119073533188999
3255,65.09888844363535,28.537826717539033,5892.211495598664,67.06651296001161,40.67233334368772,7063.595440205259,3.022516303146854,42.52078038826605,19.88020873795161
3261,592.8211019975257,80.28050140703226,41031.43486039031,578.1849581270206,101.3081458589074,49876.88330731997,-2.468897247616222,26.192716890571383,21.557736104102492
3262,132.5622293013024,18.90649859296774,9663.128055486177,119.53747416248031,21.69989852405623,10741.193396571269,-9.825389334105092,14.77481363010015,11.156484058731142
3272,78.02499961853027,14.0490162275635,5752.672397810544,72.09138287815122,14.2191423612271,6104.1495144295095,-7.604763562177406,1.2109469510741948,6.109805883483601
3311,85.4666665395101,27.90222262696119,9828.233611244677,73.70823060075081,27.981352830665607,11307.0679650681,-13.757920385631891,0.28359820922636714,15.046796935427526
3312,59.77499930063884,14.16648909278687,4989.981128068826,53.1946404175814,15.13261963642113,5829.412778712458,-11.008546984603838,6.819830497919082,16.822341189264183
3313,61.987248621588286,9.999341447052323,5172.775038712071,57.59826332305661,16.41554011248163,6146.9356106693385,-7.080464766753865,64.16621233912078,18.83245578372988
3314,59.954419888848726,10.93279097336981,5655.659271846878,52.25601628564911,17.06832749062163,6858.210786194409,-12.84042714027075,56.1204959666458,21.2627999061696
3315,105.94166564941409,15.42215585982982,7978.059696496021,86.98928618480059,24.668145227105953,8510.627168334055,-17.88944826234032,59.95263860196884,6.675400938300047
3321,90.83333333333333,11.55589356965807,6413.587806498435,88.64636022961353,13.18794594435535,6731.880152116664,-2.4076768114346354,14.123117047239925,4.962781444977267
3326,42.03712343298151,4.751148123630795,2636.9147198318196,42.257159706864606,5.070678134744318,2791.453082362987,0.523433232138001,6.725322023202682,5.860574912374252
3327,333.0666681925457,41.97100655411152,23294.15154704899,311.26057843240267,48.85936207963155,24476.446905929908,-6.547064549712596,16.412176145070898,5.0755029926415
3328,129.6500002543132,15.22496708158911,8449.944838309144,127.03954692495421,18.08315577902645,9349.503042773365,-2.0134618775460784,18.773036960412355,10.645728719860205
3329,273.9912301976085,41.514917351394914,23041.019248457513,273.261462213606,50.350427711601434,26983.40838616612,-0.2663472051554912,21.282736240132834,17.11030703631972
3335,157.0403518231177,24.60942621804226,11831.07367850523,141.4850141001261,25.87389120131557,11866.19342969589,-9.9053125788411,5.1381327304017965,0.29684331401354686
3336,92.82907503862583,19.73815680936154,9489.192429404178,89.94479264518003,22.7390424100358,10708.87278027107,-3.107089446109058,15.203474314536702,12.853363022626299
3339,285.4378496154147,51.543945921493034,24779.944322886342,286.6118138820773,61.61572137034633,28515.05919586873,0.4112854228142314,19.540171534778672,15.073136663720014
3344,392.37499745686847,126.7169919190332,74324.18463067192,377.437422290713,189.2071703839581,108389.2439462582,-3.806964068294758,49.31475843812129,45.833075041267776
3345,412.7166646321615,136.2950183951982,56944.47142787099,411.1344676459452,162.07742081983238,67382.68886190598,-0.38336154602005856,18.916613921923435,18.330519490828205
3359,165.9900681842678,32.98143065215271,14789.57768968573,161.4647739923564,42.31432815351252,19309.146204626988,-2.7262439502632225,28.29743075669353,30.559145161347047
3361,301.8083318074545,94.54777285578726,29187.68562959778,397.0863801045314,138.7123878070832,38003.11570140329,31.569058324692524,46.71142811439859,30.202566190675345
3362,163.5,20.08843020257998,10539.48221416729,170.5525550708389,27.39175326962165,12994.676303034359,4.313489339962634,36.3558674988138,23.29520595961317
3363,553.308329264323,75.86079694163277,39800.697010841504,523.7829959170754,92.47456731576163,43031.41863402747,-5.336144747089641,21.90033725444709,8.11724885698844
4231,381.01024543866777,113.62940831027049,30489.903608713892,401.4533410389946,145.76482056368098,38233.41404227109,5.365497606708747,28.28089376797882,25.396965936435873
4235,137.4172356103418,31.20988057929794,13164.59295572037,146.0203536201605,39.809689905036365,16110.96707144205,6.260581484999138,27.554765241373037,22.38104987850308
4238,777.3956409991541,174.82334247649192,77174.72132813041,797.3808875055543,212.7340608095191,96964.2086116756,2.570794773265506,21.685158169381722,25.6424473493134
4239,320.4681602394114,61.57790758519686,25974.084882946332,335.1474530078774,79.00047772302375,32485.51036186633,4.580577601687343,28.293540363841817,25.068931237670554
4247,100.4948735032096,163.4315399186651,12032.637454948679,95.4949178408297,196.13008528344508,14511.012761974149,-4.975334052458124,20.00748777197661,20.597107793737983
4411,1263.953218594005,265.5050597233288,104950.14153397761,1307.088511811509,357.9783991505204,130929.0837098942,3.4127286186657217,34.8292192712086,24.75360375527069
4413,583.400362974927,69.38771423198259,27427.91578761287,609.7312459769674,96.3781083922363,34493.69516983943,4.513347038005194,38.89794390692459,25.761269784186975
4471,966.6664975246044,98.64165250592946,31914.685365256948,1002.958427282679,93.01689824859237,41334.60340670239,3.754338218093762,-5.702210085135159,29.51593579456113
4841,1064.635220434782,180.2006665775653,75548.68409387182,932.8451316924363,207.812804404498,79155.04561871503,-12.378896190239177,15.322994277075756,4.773559682869097
4842,456.9981164986896,77.34033342243471,32424.74362876261,404.5776812798928,95.8877983053912,33795.54115838469,-11.470602027951063,23.981620019207575,4.227627966211889
5413,1703.091631782427,319.8352415306835,197727.65311159892,1836.4274982279949,449.89712753453136,240838.8480704684,7.829048300003734,40.66527671603391,21.80332102285016
