stage,2024_employment,2030_employment,2024_wages,2030_wages,2024_gdp,2030_gdp,pct_change_employment_2024_2030,pct_change_wages_2024_2030,pct_change_gdp_2024_2030
Upstream,206.92131274707498,194.9318014049898,16108.374675322299,17668.72549501727,28932.25302601743,34898.066495591935,-5.794237037699563,9.686581366184607,20.619940881236328
OEM,294.42962803950013,300.64929191358135,28622.79956969581,33899.87865270829,64539.82760820478,83939.21929663143,2.1124449721638756,18.436628011047365,30.058015968360685
Downstream,231.24288463953295,229.73922382932585,16021.201929522551,19259.330193354643,46872.07491254056,56718.69297404174,-0.6502517093881774,20.21151894893189,21.007429433994897
