year,actual_total,flat_total,mean_abs_diff,diff_total,pct_diff_total
2024,732.5938254261081,732.5938254261081,0.0,0.0,0.0
2025,723.3412197278607,730.9144676959362,0.34424535826862873,-7.5732479680755205,-1.0361332690470189
2026,722.173539485375,729.419879188939,0.29967411510200065,-7.24633970356399,-0.9934387463666858
2027,722.4932577310584,728.1114683712061,0.20539381596715592,-5.6182106401477085,-0.7716140844087667
2028,723.6473643499509,726.9908375381807,0.1273777445486494,-3.3434731882298365,-0.45990582213551506
2029,724.1886582113443,726.0597865977886,0.06915060661036017,-1.8711283864442976,-0.2577099601139095
2030,725.320317147897,725.320317147897,2.1035804677108228e-16,0.0,0.0
2031,724.7980795368012,724.7746368548824,0.04789098278325323,0.023442681918822927,0.0032344787919940314
2032,720.9025896384215,724.4251641405712,0.11006960841860502,-3.5225745021496095,-0.48625788784251445
2033,714.5344666996532,724.2745331853122,0.2592214887811101,-9.740066485658986,-1.3448031153080597
2034,707.3532638402077,724.3255992554518,0.44841026573259807,-16.972335415244174,-2.343191436653677
