NAICS,Code,Commodity Description,3361MV,T001_Intermediate Inputs,Final Use (GDP),Total Commodity Output
3362,336214,Travel trailer and camper manufacturing,1645,3316.0,12863.0,16179.0
3363,336310,Motor vehicle gasoline engine and engine parts manufacturing,12264,45341.0,-7163.0,38178.0
3363,336320,Motor vehicle electrical and electronic equipment manufacturing,5735,34135.0,-10172.0,23963.0
3363,336350,Motor vehicle transmission and power train parts manufacturing,15605,49169.0,-7686.0,41482.0
3363,336360,Motor vehicle seating and interior trim manufacturing,27439,36862.0,-6339.0,30523.0
3363,336370,Motor vehicle metal stamping,33240,34574.0,980.0,35554.0
3363,336390,Other motor vehicle parts manufacturing,14729,69361.0,-8151.0,61210.0
3363,3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",8755,32661.0,-7322.0,25339.0
4231,423100,Motor vehicle and motor vehicle parts and supplies,29686,60518.0,75589.0,136107.0
4238,423800,"Machinery, equipment, and supplies",7811,72610.0,96256.0,168866.0
4247,424700,Petroleum and petroleum products,157,89082.0,72864.0,161947.0
5413,541300,"Architectural, engineering, and related services",1250,266697.0,73475.0,340173.0
5414,541400,Specialized design services,202,30211.0,7391.0,37602.0
5417,541700,Scientific research and development services,18,12978.0,603866.0,616844.0
8111,811100,Automotive repair and maintenance,187,29356.0,164930.0,194285.0
