year,actual_total,flat_total,mean_abs_diff,diff_total,pct_diff_total
2024,14610.451187088876,14610.451187088876,0.0,0.0,0.0
2025,14630.313808095932,14637.33422343582,4.491434722916043,-7.020415339888132,-0.047962390095921646
2026,14645.446857871575,14666.888944240593,3.9715818654193176,-21.44208636901749,-0.14619382781538948
2027,14674.741272677413,14699.134218260679,2.9951252730110074,-24.392945583265828,-0.1659481791312754
2028,14719.754148760509,14734.09105608011,2.0502416432772193,-14.336907319600869,-0.09730432142052399
2029,14757.995284089186,14771.782668276792,1.1235771888050343,-13.787384187606222,-0.09333595339996019
2030,14812.234527106191,14812.234527106191,8.975276662232844e-15,0.0,0.0
2031,14845.841356014065,14855.474431842551,0.9447327743390375,-9.633075828485744,-0.06484529237139239
2032,14826.77324559763,14901.532577925971,2.4935506598158383,-74.75933232834177,-0.501688882921242
2033,14774.868831903423,14950.441630071158,4.883512000619333,-175.57279816773553,-1.1743652964377338
2034,14715.743526438042,15002.236799501476,7.666505170003422,-286.49327306343366,-1.9096703837720643
