stage,year,employment_yoy_pct,wages_yoy_pct,gdp_yoy_pct
Downstream,1970,,,
Downstream,1971,2.3327445988174147,,
Downstream,1972,3.409925126822554,,
Downstream,1973,2.6105954855828024,,
Downstream,1974,-2.129745417642452,,
Downstream,1975,-4.608819570887623,,
Downstream,1976,2.104158354471424,11.539049045950108,
Downstream,1977,2.4376330841169946,14.238975993413428,
Downstream,1978,4.769717622444686,15.619999932572389,14.18737009116335
Downstream,1979,-0.4246358858891121,7.335463863650271,9.754027225364116
Downstream,1980,-10.582758956246417,-7.507349572160277,-7.116386313212161
Downstream,1981,-5.549776979353556,3.078257615364381,3.5148982893997123
Downstream,1982,-4.97296239164145,-1.4192380565071367,-3.2865003791987397
Downstream,1983,1.0473922645260856,6.059046948336313,9.97096923256742
Downstream,1984,7.915401753834553,17.68762853961341,18.092919486283016
Downstream,1985,6.5062801448963965,10.458567476036723,10.756716635050829
Downstream,1986,2.4771234440830456,7.8092350153598185,8.689191643964806
Downstream,1987,0.8725848434446919,5.287420103549656,1.3212235670631634
Downstream,1988,2.8797934786174135,8.018226144159035,6.274836621956514
Downstream,1989,3.8455048427417142,5.515533074252546,7.301561133494918
Downstream,1990,1.25713786069582,3.9122132786507593,1.9319792340086632
Downstream,1991,-2.0929457699210556,-8.083927445039325,-0.47267057571203736
Downstream,1992,-0.3365416375708206,8.503119794815516,5.1201300255569775
Downstream,1993,1.8688702260762864,7.903028689002066,9.627007988060344
Downstream,1994,5.443992742803767,12.914572379044875,16.987680318778946
Downstream,1995,3.910778247002664,6.372742710466644,4.762259545473388
Downstream,1996,3.350058776456106,5.9400147684835165,8.830334651425146
Downstream,1997,2.8772597159455815,7.565739155863345,5.553164813968047
Downstream,1998,0.909633138518964,3.9881765366710806,3.577808667237978
Downstream,1999,1.3418433710364763,4.673484931002335,4.649980645819515
Downstream,2000,1.5711093863691117,3.4940425785048435,5.6016349498879325
Downstream,2001,-2.5364225603305712,0.2636452986156873,-3.001209715616215
Downstream,2002,-1.7310029782032217,0.47700179767683526,1.3610590471018118
Downstream,2003,-2.2481119049092535,-0.345003194684987,2.6864030181044116
Downstream,2004,-0.8932112927401283,2.4122823521073626,3.6145777477737258
Downstream,2005,-0.2124703232678181,1.2503731118323862,5.077227206872773
Downstream,2006,-1.062037502463268,1.0476570281379212,2.1289448983323207
Downstream,2007,-0.8960289398094635,1.9434184684885523,0.6456571373204678
Downstream,2008,-2.7971798896653204,-0.3197175136464787,-1.0068417435698331
Downstream,2009,-9.34174226910444,-13.16841572694697,-11.132011644951964
Downstream,2010,0.5887801132911098,3.789413131320749,8.406140996309556
Downstream,2011,3.596911303904938,8.296260888344534,6.902901520684352
Downstream,2012,3.0053812586761564,4.933117921707381,5.067586089430706
Downstream,2013,3.142153660400218,2.9830688381355617,4.034258683563023
Downstream,2014,4.375258849897674,9.00426184688553,7.2927120827408025
Downstream,2015,3.468734636685516,6.091545633225238,4.365569689625673
Downstream,2016,1.3105700382596441,3.536692074635729,3.725504609913687
Downstream,2017,1.0872713110571015,2.9595042261777844,4.77527204666109
Downstream,2018,1.2682631211480457,7.3840395918043935,7.3322799054280265
Downstream,2019,1.1487600389941988,2.888866971676977,4.220665583965383
Downstream,2020,-7.910271496388124,-3.674710357534331,-4.736224910917013
Downstream,2021,3.052867536723648,13.354565385527279,17.08063863228547
Downstream,2022,4.249930793029157,9.326896787517846,12.893195964990628
Downstream,2023,1.466380859029969,3.8574520612366556,4.587385947135401
Downstream,2024,-0.2131588312967233,2.7638101349279887,2.3085910369090406
Downstream,2025,0.922827261985878,2.8670630479646873,4.635631010342305
Downstream,2026,-0.3748135123318358,3.5714123893832723,3.802654495041155
Downstream,2027,-0.5124679078477147,3.271600748818588,2.7229608648578445
Downstream,2028,-0.3240297765198482,2.6334925059109073,2.7913287193357132
Downstream,2029,-0.24325028528546366,2.9336271367659914,2.814268698754556
Downstream,2030,-0.11350008722677671,3.419528274185537,2.623442342446669
Downstream,2031,-0.23282402012098474,3.451118788032068,2.526950989904169
Downstream,2032,-0.5984300348883415,3.0454268528810777,2.226869669508992
Downstream,2033,-0.9056335243393717,2.5600021928789847,2.2341583911754537
Downstream,2034,-1.0137922216892812,2.4023771006029726,2.2869195283903836
Downstream,2035,-0.9549831001928143,2.5521428483727218,2.2305599656310466
Downstream,2036,-0.8217726950411347,2.8382966515019556,2.4152474881443835
Downstream,2037,-0.788914143926143,3.1043905577922315,2.5146585642876604
Downstream,2038,-0.7875592212667983,3.3345484635983267,2.4821910746648643
Downstream,2039,-0.7577436753713246,3.5731746030169953,2.513951681555202
Downstream,2040,-0.8094825959514834,3.733558682737776,2.5027752502072302
Downstream,2041,-0.8582369482058485,3.819822568032084,2.4459215299799517
Downstream,2042,-0.888865874447995,3.9000107769987262,2.4177742054708338
Downstream,2043,-0.9012006919335492,4.019515820997945,2.435093604500042
Downstream,2044,-0.8886047475553706,4.140007889416719,2.4922966193633265
Downstream,2045,-0.897200433763898,4.174971883638356,2.5101591512183834
Downstream,2046,-0.9170574626385226,4.162075993603744,2.4541093378893373
Downstream,2047,-0.9537881700241095,4.183128830054036,2.4507715909772316
Downstream,2048,-0.9576163271893948,4.209769420447678,2.525550577768564
Downstream,2049,-0.9143701385988311,4.2274032966895065,2.5748775129075545
Downstream,2050,-0.8756521796577654,4.242112729755951,2.6160064836939636
Downstream,2051,-0.8538889307054703,4.267705596161264,2.651541953375749
Downstream,2052,-0.8512527431499068,4.2950798931306435,2.6994973873726185
