naics_code,Occupation Title,Occupation Code,Occupation Type,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",Occupation Sort,Display Level,source_url,annual_employment_rate_change,six_year_employment_rate_change
4235,"Total, all occupations",00-0000,Summary,1529.3,100.0,0.9,1581.5,100.0,0.9,52.2,3.4,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i,0.336200,2.034233
4238,"Total, all occupations",00-0000,Summary,777.5,100.0,0.5,808.9,100.0,0.5,31.4,4.0,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=423800&ioType=i,0.396701,2.403939
4239,"Total, all occupations",00-0000,Summary,1529.3,100.0,0.9,1581.5,100.0,0.9,52.2,3.4,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i,0.336200,2.034233
4247,"Total, all occupations",00-0000,Summary,540.0,100.0,0.3,546.4,100.0,0.3,6.4,1.2,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4240A3&ioType=i,0.117891,0.709435
4411,"Total, all occupations",00-0000,Summary,1287.3,100.0,0.8,1322.5,100.0,0.8,35.2,2.7,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=441100&ioType=i,0.270133,1.631783
4413,"Total, all occupations",00-0000,Summary,594.1,100.0,0.3,611.7,100.0,0.3,17.6,3.0,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=441300&ioType=i,0.292370,1.767090
4571,"Total, all occupations",00-0000,Summary,983.4,100.0,0.6,845.2,100.0,0.5,-138.2,-14.1,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=457100&ioType=i,-1.503017,-8.685957
4841,"Total, all occupations",00-0000,Summary,1522.1,100.0,0.9,1543.1,100.0,0.9,21.0,1.4,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=484000&ioType=i,0.137118,0.825534
4842,"Total, all occupations",00-0000,Summary,1522.1,100.0,0.9,1543.1,100.0,0.9,21.0,1.4,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=484000&ioType=i,0.137118,0.825534
5413,"Total, all occupations",00-0000,Summary,1703.6,100.0,1.0,1770.7,100.0,1.0,67.1,3.9,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=541300&ioType=i,0.387060,2.344949
5414,"Total, all occupations",00-0000,Summary,151.1,100.0,0.1,156.9,100.0,0.1,5.8,3.8,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=541400&ioType=i,0.377378,2.285739
5417,"Total, all occupations",00-0000,Summary,936.7,100.0,0.6,1015.1,100.0,0.6,78.4,8.4,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=541700&ioType=i,0.807033,4.940948
8111,"Total, all occupations",00-0000,Summary,1036.0,100.0,0.6,1052.0,100.0,0.6,16.0,1.5,,0.0,https://data.bls.gov/projections/nationalMatrix?queryParams=811100&ioType=i,0.153377,0.923799
