naics_code,naics_title,segment_id,segment_name,stage,legacy_stage,legacy_sector,legacy_naics_title,legacy_bea_share_to_set,commodity_share_of_intermediate_inputs,commodity_share_of_total_output,merge_status,mv_purchase_alloc,intermediate_alloc,total_output_alloc,industry_share_of_intermediate_inputs,industry_share_of_total_output
3344,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,Upstream,4. Parts & Machining,"""Semiconductor and Other Electronic Component Manufacturing""",0.017526805,0.0389586729312494,0.0430922936597161,both,4046.705867878647,104241.38926598866,112583.04708820212,0.0388205289316782,0.0359441849598216
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,Upstream,5. Component Systems,"""Engine, Turbine, and Power Transmission Equipment Manufacturing""",0.179901049,0.2148293328581973,0.1827195774068541,both,8241.327466825309,38574.27115042343,46519.06085946549,0.2136483003058593,0.1771602288301227
3345,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,Upstream,5. Component Systems,"""Navigational, Measuring, Electro medical, and Control Instruments Manufacturing""",0.017526805,0.0090603158167227,0.0030891438658428,both,485.220749143798,50040.77679065995,154838.03248778408,0.0096965071340452,0.0031337310436444
3359,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,Upstream,5. Component Systems,"""Other Electrical Equipment and Component Manufacturing""",0.029018617,0.0688315292811545,0.0623768601970236,both,3146.621053704242,43691.08580830463,48547.101056307525,0.0720197494635426,0.0648158383351175
5413,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,OEM,6. Engineering & Design,"""Architectural, Engineering, and Related Services""",0.002217683,0.0046869668575199,0.003674600864854,both,1198.4375174989525,255134.35379623732,327655.00757406274,0.0046972800787779,0.0036576200265398
5414,Industrial design,6,Engineering & Design,OEM,OEM,6. Engineering & Design,"""Industrial design""",0.002217683,0.0066863063122703,0.0053720546779426,both,192.59931284609328,28805.272265878782,35866.0000453925,0.0066862521231655,0.0053699691240265
5417,Scientific Research and Development ,6,Engineering & Design,OEM,OEM,6. Engineering & Design,"""Scientific Research and Development """,0.002217683,0.001386962552011,2.9180797738163943e-05,both,11.252833155868933,6109.871146351241,251454.81181242524,0.0018417463946991,4.4750915978744815e-05
3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM,OEM,7. Core Automotive,"""Motor Vehicle Manufacturing""",1.0,0.6012269938650306,0.0042365554210617,both,1429.6074006892354,3313.842720045503,278822.0186513185,0.4314047229947006,0.0051273117080363
3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM,OEM,7. Core Automotive,"""Motor Vehicle Body and Trailer Manufacturing""",1.0,0.7577988520089842,0.1395258006708634,both,6115.144341963541,8408.963300238449,47043.88506354339,0.7272173897809896,0.1299880809950891
3363,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM,OEM,7. Core Automotive,"""Motor Vehicle Parts Manufacturing""",1.0,0.3898240004236965,0.4595803300695807,both,117204.4838369846,300312.04562524107,266715.29882144945,0.3902756667417992,0.4394366740673779
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales","""Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers""",1.0,0.4905317426220298,0.2181078122359614,both,28575.74047149293,58965.09910877983,135616.93850344498,0.4846212573776211,0.2107092284107788
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales","""Metal and Mineral (except Petroleum) Merchant Wholesalers""",1.0,,,left_only,,,,,
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales","""Machinery, Equipment, and Supplies Merchant Wholesalers""",1.0,0.1075747142266905,0.0462556109578008,both,7431.771963619361,69056.14553298076,160527.19864674192,0.1076192698891656,0.0462960297461728
4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales","""Miscellaneous Durable Goods Merchant Wholesalers""",1.0,,,left_only,,,,,
4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales","""Petroleum and Petroleum Products Merchant Wholesalers""",1.0,0.0017624211400731,0.0009694529691812,both,144.74908119024093,82130.82202537249,149312.00000648465,0.001762420947711,0.0009694403744103
4413,"Automotive Parts, Accessories, and Tire Retailers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales","""Automotive Parts, Accessories, and Tire Retailers""",1.0,,,left_only,,,,,
4571,Gasoline Stations,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales","""Gasoline Stations""",1.0,,,left_only,,,,,
4411,Automobile Dealers,9,"Dealers, Maintenance, & Repair",Downstream,Downstream,"9. Dealers, Maintenance, & Repair","""Automobile Dealers""",1.0,,,left_only,,,,,
8111,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream,Downstream,"9. Dealers, Maintenance, & Repair","""Automotive Repair and Maintenance""",1.0,0.0063700776672571,0.0009625035386159,both,219.91234037767708,20632.94787373892,135755.30639205323,0.0106583093081709,0.00161991708628
4841,General Freight Trucking,10,Logistics,Downstream,Downstream,10. Logistics,"""General Freight Trucking""",1.0,,,left_only,,,,,
4842,Specialized Freight Trucking,10,Logistics,Downstream,Downstream,10. Logistics,"""Specialized Freight Trucking ",1.0,,,left_only,,,,,
