legacy_stage,legacy_sector,naics_code,legacy_naics_title,legacy_bea_share_to_set,naics_title,segment_id,segment_name,stage,share_of_intermediate_inputs,share_of_total_commodity_output,merge_status
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4247,"""Petroleum and Petroleum Products Merchant Wholesalers""",1.0,Petroleum and Petroleum Products Merchant Wholesalers,8.0,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,0.0017624211400731,0.0009694529691812,both
Downstream,"9. Dealers, Maintenance, & Repair",4411,"""Automobile Dealers""",1.0,,,,,,,left_only
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4413,"""Automotive Parts, Accessories, and Tire Retailers""",1.0,,,,,,,left_only
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4571,"""Gasoline Stations""",1.0,,,,,,,left_only
Downstream,10. Logistics,4841,"""General Freight Trucking""",1.0,,,,,,,left_only
Downstream,10. Logistics,4842,"""Specialized Freight Trucking ",1.0,,,,,,,left_only
OEM,6. Engineering & Design,5413,"""Architectural, Engineering, and Related Services""",0.002217683,"Architectural, Engineering, and Related Services",6.0,Engineering & Design,OEM,0.0046869668575199,0.003674600864854,both
OEM,6. Engineering & Design,5414,"""Industrial design""",0.002217683,Industrial design,6.0,Engineering & Design,OEM,0.0066863063122703,0.0053720546779426,both
OEM,6. Engineering & Design,5417,"""Scientific Research and Development """,0.002217683,Scientific Research and Development ,6.0,Engineering & Design,OEM,0.001386962552011,2.9180797738163943e-05,both
Downstream,"9. Dealers, Maintenance, & Repair",8111,"""Automotive Repair and Maintenance""",1.0,Automotive Repair and Maintenance,9.0,"Dealers, Maintenance, & Repair",Downstream,0.0063700776672571,0.0009625035386159,both
