Geography:,naics_code,metric,value_base,value_target,cagr_pct
Michigan,3255,employment,4.752857443971072,4.830260488530058,0.2696026636507032
Michigan,3328,employment,11.40155160160279,11.10971393660777,-0.4312274743707101
Michigan,3311,employment,3.3539287734863,2.826774465276851,-2.8097079005369174
Michigan,3312,employment,1.80088237622072,1.55382652162331,-2.4292753827130698
Michigan,3313,employment,2.867361147096216,2.584588006572077,-1.715547800400996
Michigan,3314,employment,1.228878413874864,1.038858039374342,-2.76083633666232
Michigan,3252,employment,6.07565072827175,5.931936472508502,-0.3981782319204985
Michigan,3261,employment,34.54890768171754,33.02038940229544,-0.7513415906421295
Michigan,3262,employment,5.166939015771877,4.562540969190518,-2.051999769160895
Michigan,3272,employment,3.166696244789309,2.905237816774609,-1.4259621105779274
Michigan,3335,employment,29.741129875183113,27.486939090670766,-1.3050754362647021
Michigan,3339,employment,17.5276172558007,17.76214575048736,0.22177528597340235
Michigan,3315,employment,9.139546791712442,7.154560667078201,-3.9988611622911896
Michigan,3321,employment,7.277884568721422,7.017732092175694,-0.6048324249203096
Michigan,3326,employment,3.385809777770934,3.363983674269681,-0.10772883186650484
Michigan,3327,employment,24.59939972559611,23.12537664814739,-1.02457296341405
Michigan,3329,employment,10.50484961449694,10.48416257169664,-0.032848380300321
Michigan,3344,employment,11.41356671986399,11.05005052477292,-0.538009361823566
Michigan,3336,employment,4.792937152387118,4.591076694402245,-0.7145819217984184
Michigan,3345,employment,9.762393132364156,9.483038527140572,-0.48271091643348196
Michigan,3359,employment,4.412524706375623,4.494404187275929,0.3069047848668349
Michigan,5413,employment,85.22514095498168,86.49637649184288,0.24707223586704075
Michigan,5414,employment,10.38962302546045,10.05721514582582,-0.5404877494347149
Michigan,5417,employment,23.241098429384447,25.10683235884449,1.2952806705502695
Michigan,3361,employment,48.64299297332764,62.05345240167853,4.141607408395664
Michigan,3362,employment,8.594277574762243,8.64340382902658,0.0950431945465402
Michigan,3363,employment,118.33649508158369,107.2096000486123,-1.6323048370169513
Michigan,4231,employment,26.0927193959554,27.37066134123972,0.8001065590091505
Michigan,4235,employment,6.65210060278104,6.678952898398576,0.06716485581783616
Michigan,4238,employment,24.4630282719757,24.998798020528472,0.3617329613302189
Michigan,4239,employment,8.818091551456577,8.942008276566778,0.2328495774487127
Michigan,4247,employment,3.613630902615587,3.445994092101306,-0.7885517125090002
Michigan,4413,employment,17.63536768939793,17.88044369682992,0.230284268613401
Michigan,4571,employment,27.21258560816447,27.69939640018718,0.29595458140370123
Michigan,4411,employment,38.72263871769282,38.95734838676329,0.10076753278138728
Michigan,8111,employment,30.889639598671486,32.422322925427714,0.810371295023038
Michigan,4841,employment,35.49001170792712,32.334928156056954,-1.539744226365014
Michigan,4842,employment,11.65307059289482,9.988529255345156,-2.5361577898278753
United States,3255,employment,65.09888844363535,67.73089319347196,0.662768759649035
United States,3328,employment,129.6500002543132,127.2822140744681,-0.3067242165488482
United States,3311,employment,85.4666665395101,74.46578414996043,-2.270277199905968
United States,3312,employment,59.77499930063884,53.74457465523021,-1.7567980907894354
United States,3313,employment,61.987248621588286,58.200208291845925,-1.0451625334432446
United States,3314,employment,59.954419888848726,52.793496102062086,-2.097630514906057
United States,3252,employment,94.39360793040531,93.36135336316471,-0.18309674312694257
United States,3261,employment,592.8211019975257,582.6320074529265,-0.28853108844995035
United States,3262,employment,132.5622293013024,120.4408753483807,-1.5855165401095217
United States,3272,employment,78.02499961853027,72.41279089247047,-1.2363984966732078
United States,3335,employment,157.0403518231177,141.6122922688719,-1.708729471476722
United States,3339,employment,285.4378496154147,286.9558709282544,0.08844122488271822
United States,3315,employment,105.94166564941409,87.87281486416477,-3.0685691451862174
United States,3321,employment,90.83333333333333,88.81292252322662,-0.3742008191275126
United States,3326,employment,42.03712343298151,42.340328864574765,0.11985366324676061
United States,3327,employment,333.0666681925457,311.830050945384,-1.0920655887093789
United States,3329,employment,273.9912301976085,273.8029461013957,-0.011456451238378573
United States,3344,employment,392.37499745686847,380.8882090733638,-0.4939774172713629
United States,3336,employment,92.82907503862583,90.03747943909096,-0.5076052659510721
United States,3345,employment,412.7166646321615,414.89694629471825,0.08785276359695171
United States,3359,employment,165.9900681842678,162.7267527583177,-0.3303784729772219
United States,5413,employment,1703.091631782427,1841.782640146252,1.3133618590014828
United States,5414,employment,151.0500025864985,151.1422627621207,0.010177281571799313
United States,5417,employment,936.7416585753201,1049.76601630327,1.9167217737959819
United States,3361,employment,301.8083318074545,388.0775697329713,4.27924693024897
United States,3362,employment,163.5,166.5419693455519,0.30771172122801005
United States,3363,employment,553.308329264323,511.3636686078664,-1.3053123674776623
United States,4231,employment,381.01024543866777,403.8148508194563,0.9735453716070763
United States,4235,employment,137.4172356103418,146.8639506771613,1.1142426123796678
United States,4238,employment,777.3956409991541,802.0268804630147,0.5212322607647923
United States,4239,employment,320.4681602394114,337.09298842488766,0.846494253785135
United States,4247,employment,100.4948735032096,96.03325456843008,-0.7540126710829376
United States,4413,employment,583.400362974927,612.1249006989092,0.80426141509502
United States,4571,employment,966.6664975246044,1006.900087998592,0.6819500614651641
United States,4411,employment,1263.953218594005,1312.190578049058,0.6261799137784685
United States,8111,employment,1036.518471802423,1086.187441087249,0.7831562549481363
United States,4841,employment,1064.635220434782,935.4488593530461,-2.132941186988402
United States,4842,employment,456.9981164986896,405.681993665267,-1.9655868073355731
Michigan,3255,gdp,1323.041434722268,1706.32827512697,4.331357204341657
Michigan,3328,gdp,1219.838051981684,1462.1651343994629,3.0660679880781583
Michigan,3311,gdp,664.6369124758701,596.8657610970023,-1.7765083918033442
Michigan,3312,gdp,291.8668637054596,289.5471117796251,-0.13290715536845576
Michigan,3313,gdp,333.5618046718307,531.6000423123247,8.077373524166354
Michigan,3314,gdp,156.4370204511687,239.53704697251058,7.359099295762128
Michigan,3252,gdp,1915.969951366134,2528.712918163385,4.733384685499686
Michigan,3261,gdp,3867.930198901634,4475.178638924754,2.4602217144988225
Michigan,3262,gdp,606.769801098366,605.883944313834,-0.02434740335683916
Michigan,3272,gdp,598.1847908588368,597.0386526901593,-0.03195930622726939
Michigan,3335,gdp,3972.936302744759,3968.238828094808,-0.01971585662284836
Michigan,3339,gdp,2779.674879773375,3126.497334427247,1.978983034602888
Michigan,3315,gdp,975.9973986956707,1492.604347740832,7.336972193386826
Michigan,3321,gdp,819.9271642806006,935.2259694086241,2.2170980532759232
Michigan,3326,gdp,346.4933945459133,372.960912305875,1.2343875480888222
Michigan,3327,gdp,2760.996981184118,3249.655792452892,2.753172229494183
Michigan,3329,gdp,1415.1698483304808,1747.381978153274,3.576972870642292
