series_id,year,employment,naics_code,segment_id,segment_name,stage,segment_label
ENU260001053362,2002,10090.0,3362,7,Core Automotive,OEM,7. Core Automotive
ENU260001053363,2002,191518.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2002,19374.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2002,7855.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2002,25009.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054239,2002,6452.0,4239,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054247,2002,3097.0,4247,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054413,2002,14431.0,4413,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054571,2002,28608.7277730306,4571,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054411,2002,43335.0,4411,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001058111,2002,33069.0,8111,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001054841,2002,23494.0,4841,10,Logistics,Downstream,10. Logistics
ENU260001054842,2002,12250.0,4842,10,Logistics,Downstream,10. Logistics
ENU260001053252,2003,3895.0,3252,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053255,2003,4023.0,3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053261,2003,37603.0,3261,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053262,2003,5552.0,3262,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053272,2003,8200.0,3272,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053311,2003,6615.0,3311,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053312,2003,2399.0,3312,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053313,2003,1861.0,3313,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053314,2003,2260.0,3314,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053315,2003,13733.0,3315,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053328,2003,16067.0,3328,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053335,2003,41612.0,3335,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053339,2003,16773.0,3339,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053321,2003,6387.0,3321,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053326,2003,3333.0,3326,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053327,2003,26700.0,3327,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053329,2003,12921.0,3329,4,Parts & Machining,Upstream,4. Parts & Machining
