segment_name,occcd,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,segment_id
6. Engineering & Design,15-1252,Software Developers,4390.0,6900.0,detailed,False,,0.0368628768158535,,0.0560519902518277,2510.0,57.1753986332574,        Software developers,Line item,1693.8,1961.4,267.7,15.8,115.2,133080.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,15-1253,Software Quality Assurance Analysts and Testers,40.0,980.0,detailed,False,,0.0003358804265681,,0.0079610073111291,940.0,2350.0,        Software quality assurance analysts and testers,Line item,201.7,221.9,20.2,10.0,14.0,102610.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,15-1254,Web Developers,60.0,70.0,detailed,False,,0.0005038206398522,,0.0005686433793663,10.0,16.666666666666675,        Web developers,Line item,86.0,92.5,6.5,7.5,5.4,90930.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,15-1255,Web and Digital Interface Designers,,90.0,detailed,False,,,,0.0007311129163281,,,        Web and digital interface designers,Line item,128.9,137.9,9.0,7.0,9.1,98090.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,15-1299,"Computer Occupations, All Other",270.0,450.0,detailed,False,,0.0022671928793349,,0.0036555645816409,180.0,66.66666666666667,"      Computer occupations, all other",Line item,472.0,510.5,38.5,8.2,31.3,108970.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,15-2031,Operations Research Analysts,50.0,80.0,detailed,False,,0.0004198505332101,,0.0006498781478472,30.0,60.00000000000001,      Operations research analysts,Line item,112.1,136.2,24.1,21.5,9.6,91290.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,15-2041,Statisticians,140.0,50.0,detailed,False,,0.0011755814929884,,0.0004061738424045,-90.0,-64.28571428571428,      Statisticians,Line item,32.2,34.9,2.7,8.5,2.0,103300.0,Master's degree,,,BA+,0.0
6. Engineering & Design,15-2051,Data Scientists,250.0,780.0,detailed,False,,0.0020992526660508,,0.0063363119415109,530.0,212.0,      Data scientists,Line item,245.9,328.3,82.5,33.5,23.4,112590.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-0000,Architecture and Engineering Occupations,52260.0,49530.0,major,False,0.4324011252689062,,0.3941274767247553,,-2730.0,-5.223880597014929,  Architecture and engineering occupations,Summary,2648.4,2788.3,139.9,5.3,186.5,97310.0,—,—,—,,0.0
6. Engineering & Design,17-1011,"Architects, Except Landscape and Naval",1980.0,2510.0,detailed,False,,0.016626081115123,,0.0203899268887083,530.0,26.76767676767677,"        Architects, except landscape and naval",Line item,123.6,128.4,4.8,3.9,7.8,96690.0,Bachelor's degree,,Internship/residency,BA+,0.0
6. Engineering & Design,17-1012,Landscape Architects,240.0,220.0,detailed,False,,0.0020152825594088,,0.00178716490658,-20.0,-8.333333333333337,        Landscape architects,Line item,21.8,22.6,0.8,3.5,1.7,79660.0,Bachelor's degree,,Internship/residency,BA+,0.0
6. Engineering & Design,17-1021,Cartographers and Photogrammetrists,140.0,80.0,detailed,False,,0.0011755814929884,,0.0006498781478472,-60.0,-42.85714285714286,        Cartographers and photogrammetrists,Line item,13.4,14.3,0.9,6.4,1.0,78380.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-1022,Surveyors,1150.0,1180.0,detailed,False,,0.009656562263834,,0.0095857026807473,30.0,2.60869565217392,        Surveyors,Line item,56.1,58.6,2.5,4.4,3.9,72740.0,Bachelor's degree,,Internship/residency,BA+,0.0
6. Engineering & Design,17-2011,Aerospace Engineers,80.0,120.0,detailed,False,,0.0006717608531362,,0.0009748172217709,40.0,50.0,      Aerospace engineers,Line item,71.6,75.9,4.4,6.1,4.5,134830.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2031,Bioengineers and Biomedical Engineers,90.0,,detailed,False,,0.0007557309597783,,,,,      Bioengineers and biomedical engineers,Line item,22.2,23.3,1.1,5.2,1.3,106950.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2041,Chemical Engineers,470.0,40.0,detailed,False,,0.0039465950121756,,0.0003249390739236,-430.0,-91.48936170212764,      Chemical engineers,Line item,21.6,22.1,0.6,2.6,1.1,121860.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2051,Civil Engineers,4000.0,4370.0,detailed,False,,0.0335880426568141,,0.0354995938261576,370.0,9.250000000000004,      Civil engineers,Line item,368.9,387.5,18.5,5.0,23.6,99590.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2061,Computer Hardware Engineers,70.0,630.0,detailed,False,,0.0005877907464942,,0.0051177904142973,560.0,800.0,      Computer hardware engineers,Line item,76.8,82.4,5.6,7.3,4.7,155020.0,Bachelor's degree,,,BA+,0.0
