segment,occcd,soctitle,occ_level,year,employment,share_within_level,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
2. Equipment Manufacturing,11-9199,"Managers, All Other",detailed,2021,,,"      Managers, all other",Line item,1333.7,1393.5,59.8,4.5,106.7,136550,Bachelor's degree,Less than 5 years,nan,BA+
2. Equipment Manufacturing,13-0000,Business and Financial Operations Occupations,major,2021,2840.0,0.059327344892416964,  Business and financial operations occupations,Summary,11262.0,11848.9,586.9,5.2,942.5,80920,—,—,—,
2. Equipment Manufacturing,13-1020,Buyers and Purchasing Agents,detailed,2021,680.0,0.014523707817172148,      Buyers and purchasing agents,Line item,522.2,552.3,30.1,5.8,52.2,75650,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
2. Equipment Manufacturing,13-1051,Cost Estimators,detailed,2021,240.0,0.0051260145237078175,      Cost estimators,Line item,221.4,212.1,-9.3,-4.2,16.9,77070,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
2. Equipment Manufacturing,13-1071,Human Resources Specialists,detailed,2021,260.0,0.005553182400683468,        Human resources specialists,Line item,944.3,1002.7,58.4,6.2,81.8,72910,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,13-1081,Logisticians,detailed,2021,60.0,0.0012815036309269544,        Logisticians,Line item,241.0,281.3,40.3,16.7,26.4,80880,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,13-1082,Project Management Specialists,detailed,2021,650.0,0.013882956001708672,        Project management specialists,Line item,1046.3,1105.0,58.7,5.6,78.2,100750,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,13-1111,Management Analysts,detailed,2021,,,      Management analysts,Line item,1075.1,1169.7,94.5,8.8,98.1,101190,Bachelor's degree,Less than 5 years,nan,BA+
2. Equipment Manufacturing,13-1151,Training and Development Specialists,detailed,2021,50.0,0.0010679196924391287,      Training and development specialists,Line item,452.3,501.0,48.7,10.8,43.9,65850,Bachelor's degree,Less than 5 years,nan,BA+
2. Equipment Manufacturing,13-1161,Market Research Analysts and Marketing Specialists,detailed,2021,150.0,0.0032037590773173856,      Market research analysts and marketing specialists,Line item,941.7,1004.7,63.0,6.7,87.2,76950,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,13-1199,"Business Operations Specialists, All Other",detailed,2021,140.0,0.00299017513882956,"      Business operations specialists, all other",Line item,1205.7,1242.0,36.3,3.0,108.2,81270,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,13-2011,Accountants and Auditors,detailed,2021,520.0,0.011106364801366937,      Accountants and auditors,Line item,1579.8,1652.6,72.8,4.6,124.2,81680,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,13-2051,Financial and Investment Analysts,detailed,2021,,,        Financial and investment analysts,Line item,368.5,389.6,21.1,5.7,25.1,101350,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,15-0000,Computer and Mathematical Occupations,major,2021,780.0,0.016294129935241278,  Computer and mathematical occupations,Summary,5416.7,5962.3,545.6,10.1,355.4,105850,—,—,—,
2. Equipment Manufacturing,15-1211,Computer Systems Analysts,detailed,2021,,,        Computer systems analysts,Line item,521.1,566.5,45.5,8.7,34.2,103790,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,15-1232,Computer User Support Specialists,detailed,2021,150.0,0.0032037590773173856,        Computer user support specialists,Line item,729.5,702.5,-27.0,-3.7,40.8,60340,"Some college, no degree",nan,Moderate-term on-the-job training,SC or associate's
2. Equipment Manufacturing,15-1244,Network and Computer Systems Administrators,detailed,2021,90.0,0.0019222554463904314,        Network and computer systems administrators,Line item,331.5,317.7,-13.8,-4.2,14.3,96800,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,15-1251,Computer Programmers,detailed,2021,120.0,0.0025630072618539087,        Computer programmers,Line item,121.2,113.9,-7.2,-6.0,5.5,98670,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,15-1252,Software Developers,detailed,2021,300.0,0.006407518154634771,        Software developers,Line item,1693.8,1961.4,267.7,15.8,115.2,133080,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,15-1299,"Computer Occupations, All Other",detailed,2021,40.0,0.0008543357539513029,"      Computer occupations, all other",Line item,472.0,510.5,38.5,8.2,31.3,108970,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-0000,Architecture and Engineering Occupations,major,2021,5070.0,0.10591184457906831,  Architecture and engineering occupations,Summary,2648.4,2788.3,139.9,5.3,186.5,97310,—,—,—,
2. Equipment Manufacturing,17-2071,Electrical Engineers,detailed,2021,740.0,0.015805211448099103,        Electrical engineers,Line item,192.0,205.7,13.8,7.2,11.7,111910,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-2072,"Electronics Engineers, Except Computer",detailed,2021,70.0,0.00149508756941478,"        Electronics engineers, except computer",Line item,95.9,101.8,6.0,6.2,5.7,127590,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,2021,,,"        Health and safety engineers, except mining safety engineers and inspectors",Line item,23.8,24.9,1.1,4.4,1.5,109660,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-2112,Industrial Engineers,detailed,2021,840.0,0.01794105083297736,        Industrial engineers,Line item,351.1,389.6,38.5,11.0,25.2,101140,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-2131,Materials Engineers,detailed,2021,60.0,0.0012815036309269544,      Materials engineers,Line item,23.0,24.3,1.3,5.7,1.5,108310,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-2141,Mechanical Engineers,detailed,2021,2490.0,0.053182400683468606,      Mechanical engineers,Line item,293.1,319.6,26.5,9.1,18.1,102320,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-2199,"Engineers, All Other",detailed,2021,90.0,0.0019222554463904314,"      Engineers, all other",Line item,158.8,162.1,3.3,2.1,9.3,117750,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,17-3013,Mechanical Drafters,detailed,2021,390.0,0.008329773601025202,        Mechanical drafters,Line item,42.9,40.1,-2.8,-6.5,3.3,68510,Associate's degree,nan,nan,SC or associate's
2. Equipment Manufacturing,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,2021,100.0,0.0021358393848782574,        Electrical and electronic engineering technologists and technicians,Line item,93.7,94.3,0.6,0.6,8.4,77180,Associate's degree,nan,nan,SC or associate's
2. Equipment Manufacturing,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,2021,40.0,0.0008543357539513029,        Electro-mechanical and mechatronics technologists and technicians,Line item,15.0,15.1,0.2,1.1,1.3,70760,Associate's degree,nan,nan,SC or associate's
2. Equipment Manufacturing,17-3026,Industrial Engineering Technologists and Technicians,detailed,2021,110.0,0.002349423323366083,        Industrial engineering technologists and technicians,Line item,74.6,75.9,1.3,1.7,6.3,64790,Associate's degree,nan,nan,SC or associate's
2. Equipment Manufacturing,17-3027,Mechanical Engineering Technologists and Technicians,detailed,2021,70.0,0.00149508756941478,        Mechanical engineering technologists and technicians,Line item,38.3,38.3,0.0,0.0,3.2,68730,Associate's degree,nan,nan,SC or associate's
2. Equipment Manufacturing,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2021,,,"        Engineering technologists and technicians, except drafters, all other",Line item,67.3,68.3,1.0,1.5,5.7,77390,Associate's degree,nan,nan,SC or associate's
2. Equipment Manufacturing,19-0000,"Life, Physical, and Social Science Occupations",major,2021,40.0,0.0008355964069354502,"  Life, physical, and social science occupations",Summary,1609.5,1690.4,80.9,5.0,144.7,78980,—,—,—,
2. Equipment Manufacturing,19-5011,Occupational Health and Safety Specialists,detailed,2021,30.0,0.0006407518154634772,      Occupational health and safety specialists,Line item,131.9,148.4,16.5,12.5,14.9,83910,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2021,170.0,0.003551284729475663,"  Arts, design, entertainment, sports, and media occupations",Summary,3021.1,3104.6,83.5,2.8,289.4,60140,—,—,—,
2. Equipment Manufacturing,27-1021,Commercial and Industrial Designers,detailed,2021,110.0,0.002349423323366083,        Commercial and industrial designers,Line item,30.6,31.6,1.0,3.2,2.5,79450,Bachelor's degree,nan,nan,BA+
2. Equipment Manufacturing,27-3042,Technical Writers,detailed,2021,50.0,0.0010679196924391287,        Technical writers,Line item,56.4,56.9,0.5,0.9,4.5,91670,Bachelor's degree,Less than 5 years,Short-term on-the-job training,BA+
2. Equipment Manufacturing,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2021,250.0,0.005222477543346564,  Building and grounds cleaning and maintenance occupations,Summary,5715.9,5832.9,117.1,2.0,788.7,36790,—,—,—,
2. Equipment Manufacturing,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,2021,250.0,0.005339598462195643,"        Janitors and cleaners, except maids and housekeeping cleaners",Line item,2447.7,2495.5,47.8,2.0,351.3,35930,No formal educational credential,nan,Short-term on-the-job training,HS or less
2. Equipment Manufacturing,41-0000,Sales and Related Occupations,major,2021,1840.0,0.03843743471903071,  Sales and related occupations,Summary,14532.6,14234.8,-297.8,-2.0,1786.8,37460,—,—,—,
2. Equipment Manufacturing,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,2021,40.0,0.0008543357539513029,      First-line supervisors of non-retail sales workers,Line item,320.0,320.0,0.0,0.0,24.8,84130,High school diploma or equivalent,Less than 5 years,nan,HS or less
2. Equipment Manufacturing,41-2022,Parts Salespersons,detailed,2021,50.0,0.0010679196924391287,        Parts salespersons,Line item,272.1,280.6,8.5,3.1,30.2,37440,No formal educational credential,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,2021,50.0,0.0010679196924391287,"      Sales representatives of services, except advertising, insurance, financial services, and travel",Line item,1226.7,1264.7,37.9,3.1,123.0,66260,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,2021,50.0,0.0010679196924391287,"      Sales representatives, wholesale and manufacturing, technical and scientific products",Line item,303.2,308.9,5.7,1.9,27.2,100070,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
2. Equipment Manufacturing,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,2021,1380.0,0.02947458351131995,"      Sales representatives, wholesale and manufacturing, except technical and scientific products",Line item,1310.5,1314.9,4.4,0.3,114.8,66780,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,41-9031,Sales Engineers,detailed,2021,270.0,0.005766766339171294,      Sales engineers,Line item,56.8,59.9,3.1,5.5,5.0,121520,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
2. Equipment Manufacturing,43-0000,Office and Administrative Support Occupations,major,2021,4260.0,0.08899101733862544,  Office and administrative support occupations,Summary,19325.2,18563.3,-761.9,-3.9,1996.8,46320,—,—,—,
2. Equipment Manufacturing,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,2021,220.0,0.004698846646732166,      First-line supervisors of office and administrative support workers,Line item,1558.4,1554.4,-3.9,-0.3,144.5,66140,High school diploma or equivalent,Less than 5 years,nan,HS or less
2. Equipment Manufacturing,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,2021,490.0,0.01046561298590346,"      Bookkeeping, accounting, and auditing clerks",Line item,1613.4,1519.1,-94.3,-5.8,170.0,49210,"Some college, no degree",nan,Moderate-term on-the-job training,SC or associate's
2. Equipment Manufacturing,43-3051,Payroll and Timekeeping Clerks,detailed,2021,70.0,0.00149508756941478,      Payroll and timekeeping clerks,Line item,161.1,134.2,-27.0,-16.7,13.0,55290,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,43-3061,Procurement Clerks,detailed,2021,50.0,0.0010679196924391287,      Procurement clerks,Line item,61.9,56.6,-5.4,-8.7,4.6,48510,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,43-4051,Customer Service Representatives,detailed,2021,290.0,0.006193934216146946,      Customer service representatives,Line item,2814.0,2660.3,-153.7,-5.5,341.7,42830,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
2. Equipment Manufacturing,43-4151,Order Clerks,detailed,2021,190.0,0.004058094831268688,      Order clerks,Line item,89.5,74.1,-15.4,-17.2,8.0,44660,"Some college, no degree",nan,Short-term on-the-job training,SC or associate's
2. Equipment Manufacturing,43-4171,Receptionists and Information Clerks,detailed,2021,110.0,0.002349423323366083,      Receptionists and information clerks,Line item,1007.2,1007.6,0.3,0.0,128.5,37230,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
2. Equipment Manufacturing,43-5061,"Production, Planning, and Expediting Clerks",detailed,2021,550.0,0.011747116616830415,"      Production, planning, and expediting clerks",Line item,388.8,381.7,-7.1,-1.8,34.1,57770,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,2021,980.0,0.02093122597180692,"      Shipping, receiving, and inventory clerks",Line item,862.2,795.8,-66.3,-7.7,69.3,43190,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
2. Equipment Manufacturing,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,2021,60.0,0.0012815036309269544,      Executive secretaries and executive administrative assistants,Line item,502.8,494.9,-7.9,-1.6,50.0,74260,High school diploma or equivalent,Less than 5 years,nan,HS or less
2. Equipment Manufacturing,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,2021,240.0,0.0051260145237078175,"      Secretaries and administrative assistants, except legal, medical, and executive",Line item,1944.0,1913.2,-30.8,-1.6,202.8,46290,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
2. Equipment Manufacturing,43-9061,"Office Clerks, General",detailed,2021,930.0,0.01986330627936779,"      Office clerks, general",Line item,2646.0,2468.2,-177.8,-6.7,282.4,43630,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
2. Equipment Manufacturing,47-0000,Construction and Extraction Occupations,major,2021,510.0,0.01065385418842699,  Construction and extraction occupations,Summary,7574.7,7968.8,394.1,5.2,649.3,58360,—,—,—,
2. Equipment Manufacturing,47-2111,Electricians,detailed,2021,340.0,0.007261853908586074,      Electricians,Line item,818.7,896.1,77.4,9.5,81.0,62350,High school diploma or equivalent,nan,Apprenticeship,HS or less
2. Equipment Manufacturing,47-2141,"Painters, Construction and Maintenance",detailed,2021,30.0,0.0006407518154634772,"        Painters, construction and maintenance",Line item,342.2,355.2,13.0,3.8,28.1,48660,No formal educational credential,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,2021,90.0,0.0019222554463904314,"        Plumbers, pipefitters, and steamfitters",Line item,504.5,527.2,22.7,4.5,44.0,62970,High school diploma or equivalent,nan,Apprenticeship,HS or less
2. Equipment Manufacturing,49-0000,"Installation, Maintenance, and Repair Occupations",major,2021,1670.0,0.03488614998955505,"  Installation, maintenance, and repair occupations",Summary,6492.9,6794.3,301.4,4.6,608.1,58230,—,—,—,
2. Equipment Manufacturing,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,2021,110.0,0.002349423323366083,"      First-line supervisors of mechanics, installers, and repairers",Line item,617.5,636.5,19.1,3.1,52.4,78300,High school diploma or equivalent,Less than 5 years,nan,HS or less
2. Equipment Manufacturing,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,2021,90.0,0.0019222554463904314,"        Electrical and electronics repairers, commercial and industrial equipment",Line item,61.1,60.7,-0.5,-0.8,4.7,71300,Postsecondary nondegree award,nan,Long-term on-the-job training,SC or associate's
2. Equipment Manufacturing,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,2021,90.0,0.0019222554463904314,      Bus and truck mechanics and diesel engine specialists,Line item,319.9,327.7,7.8,2.4,26.5,60640,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
2. Equipment Manufacturing,49-9041,Industrial Machinery Mechanics,detailed,2021,990.0,0.021144809910294746,        Industrial machinery mechanics,Line item,439.6,510.3,70.7,16.1,45.7,63760,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
2. Equipment Manufacturing,49-9043,"Maintenance Workers, Machinery",detailed,2021,,,"        Maintenance workers, machinery",Line item,57.5,55.9,-1.6,-2.8,4.8,60500,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
2. Equipment Manufacturing,49-9044,Millwrights,detailed,2021,,,        Millwrights,Line item,41.3,41.3,0.0,0.0,3.6,65170,High school diploma or equivalent,nan,Apprenticeship,HS or less
2. Equipment Manufacturing,49-9071,"Maintenance and Repair Workers, General",detailed,2021,260.0,0.005553182400683468,"      Maintenance and repair workers, general",Line item,1629.7,1692.1,62.4,3.8,159.8,48620,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,2021,40.0,0.0008543357539513029,"        Installation, maintenance, and repair workers, all other",Line item,221.2,226.5,5.4,2.4,21.5,48640,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-0000,Production Occupations,major,2021,25590.0,0.5345728013369543,  Production occupations,Summary,9001.2,8901.6,-99.6,-1.1,963.4,45960,—,—,—,
2. Equipment Manufacturing,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,2021,1980.0,0.04228961982058949,      First-line supervisors of production and operating workers,Line item,698.6,706.9,8.3,1.2,67.7,71190,High school diploma or equivalent,Less than 5 years,nan,HS or less
2. Equipment Manufacturing,51-2028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",detailed,2021,210.0,0.00448526270824434,"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",Line item,261.4,273.3,11.9,4.6,29.6,44040,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-2031,Engine and Other Machine Assemblers,detailed,2021,540.0,0.011533532678342588,      Engine and other machine assemblers,Line item,38.4,30.3,-8.1,-21.1,2.8,52540,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-2041,Structural Metal Fabricators and Fitters,detailed,2021,70.0,0.00149508756941478,      Structural metal fabricators and fitters,Line item,53.8,45.0,-8.8,-16.3,4.1,49900,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-2090,Miscellaneous Assemblers and Fabricators,detailed,2021,3540.0,0.0756087142246903,      Miscellaneous assemblers and fabricators,Line item,1467.1,1465.9,-1.3,-0.1,156.3,42210,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,590.0,0.012601452370781717,"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Line item,174.7,153.6,-21.1,-12.1,14.4,45590,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,120.0,0.0025630072618539087,"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",Line item,5.3,4.3,-1.0,-19.6,0.4,46630,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,790.0,0.01687313114053823,"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Line item,70.1,61.7,-8.4,-12.0,5.5,45190,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,210.0,0.00448526270824434,"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Line item,18.9,16.4,-2.6,-13.6,1.5,48620,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,160.0,0.0034173430158052115,"        Milling and planing machine setters, operators, and tenders, metal and plastic",Line item,13.8,11.8,-2.0,-14.4,1.1,48310,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4041,Machinists,detailed,2021,4740.0,0.10123878684322939,      Machinists,Line item,299.5,299.6,0.0,0.0,29.5,56150,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4061,"Model Makers, Metal and Plastic",detailed,2021,50.0,0.0010679196924391287,"        Model makers, metal and plastic",Line item,3.2,2.6,-0.6,-18.2,0.3,62700,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4071,Foundry Mold and Coremakers,detailed,2021,,,        Foundry mold and coremakers,Line item,12.7,9.4,-3.3,-25.9,0.9,45700,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,800.0,0.01708671507902606,"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",Line item,154.6,148.8,-5.8,-3.8,15.9,41230,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,320.0,0.006834686031610423,"      Multiple machine tool setters, operators, and tenders, metal and plastic",Line item,131.0,130.3,-0.7,-0.5,12.8,46060,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4111,Tool and Die Makers,detailed,2021,3790.0,0.08094831268688595,      Tool and die makers,Line item,55.2,49.3,-6.0,-10.8,4.7,63180,Postsecondary nondegree award,nan,Long-term on-the-job training,SC or associate's
2. Equipment Manufacturing,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,2021,1350.0,0.02883383169585647,"        Welders, cutters, solderers, and brazers",Line item,457.3,467.2,9.9,2.2,45.6,51000,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,2021,190.0,0.004058094831268688,"        Welding, soldering, and brazing machine setters, operators, and tenders",Line item,38.9,35.4,-3.5,-9.0,3.2,47060,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,110.0,0.002349423323366083,"        Heat treating equipment setters, operators, and tenders, metal and plastic",Line item,14.8,12.9,-1.9,-12.8,1.2,47450,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4192,"Layout Workers, Metal and Plastic",detailed,2021,,,"        Layout workers, metal and plastic",Line item,5.7,5.4,-0.3,-5.4,0.5,61870,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,2021,60.0,0.0012815036309269544,"        Tool grinders, filers, and sharpeners",Line item,5.8,5.4,-0.5,-7.8,0.5,48970,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,2021,170.0,0.003630926954293037,"        Metal workers and plastic workers, all other",Line item,20.4,18.5,-1.9,-9.5,1.7,42750,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,2021,,,"        Sawing machine setters, operators, and tenders, wood",Line item,45.0,44.7,-0.3,-0.6,4.8,39950,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-9022,"Grinding and Polishing Workers, Hand",detailed,2021,50.0,0.0010679196924391287,"        Grinding and polishing workers, hand",Line item,11.8,9.3,-2.5,-21.2,0.8,41690,No formal educational credential,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,2021,1060.0,0.022639897479709525,"      Inspectors, testers, sorters, samplers, and weighers",Line item,598.0,598.1,0.1,0.0,69.9,47460,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,2021,40.0,0.0008543357539513029,      Packaging and filling machine operators and tenders,Line item,381.2,398.2,17.0,4.5,45.3,40900,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,2021,270.0,0.005766766339171294,"        Coating, painting, and spraying machine setters, operators, and tenders",Line item,165.5,166.7,1.2,0.7,15.8,47590,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-9161,Computer Numerically Controlled Tool Operators,detailed,2021,2710.0,0.057881247330200766,        Computer numerically controlled tool operators,Line item,177.1,158.1,-19.0,-10.7,13.5,49970,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,51-9162,Computer Numerically Controlled Tool Programmers,detailed,2021,700.0,0.0149508756941478,        Computer numerically controlled tool programmers,Line item,28.3,31.9,3.6,12.8,3.1,65670,Postsecondary nondegree award,nan,Moderate-term on-the-job training,SC or associate's
2. Equipment Manufacturing,51-9198,Helpers--Production Workers,detailed,2021,230.0,0.004912430585219991,        Helpers--production workers,Line item,168.5,153.5,-15.0,-8.9,23.6,38220,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
2. Equipment Manufacturing,51-9199,"Production Workers, All Other",detailed,2021,250.0,0.005339598462195643,"        Production workers, all other",Line item,292.8,294.3,1.5,0.5,31.6,38820,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
2. Equipment Manufacturing,53-0000,Transportation and Material Moving Occupations,major,2021,1320.0,0.027574681428869856,  Transportation and material moving occupations,Summary,14204.6,14784.4,579.9,4.1,1830.0,42740,—,—,—,
2. Equipment Manufacturing,53-1047,"First-Line Supervisors of Transportation and Material-Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,2021,70.0,0.00149508756941478,"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",Line item,609.6,632.2,22.5,3.7,61.3,61890,High school diploma or equivalent,Less than 5 years,nan,HS or less
2. Equipment Manufacturing,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,2021,220.0,0.004698846646732166,        Heavy and tractor-trailer truck drivers,Line item,2235.1,2324.4,89.3,4.0,237.6,57440,Postsecondary nondegree award,nan,Short-term on-the-job training,SC or associate's
2. Equipment Manufacturing,53-3033,Light Truck Drivers,detailed,2021,50.0,0.0010679196924391287,        Light truck drivers,Line item,1079.8,1158.6,78.9,7.3,120.2,44140,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
