segment,occcd,soctitle,occ_level,year,employment,share_within_level,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
1. Materials & Processing,13-2011,Accountants and Auditors,detailed,2021,590.0,0.008302842668167746,      Accountants and auditors,Line item,1579.8,1652.6,72.8,4.6,124.2,81680,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,13-2051,Financial and Investment Analysts,detailed,2021,60.0,0.0008443568815085843,        Financial and investment analysts,Line item,368.5,389.6,21.1,5.7,25.1,101350,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-0000,Computer and Mathematical Occupations,major,2021,690.0,0.009583333333333333,  Computer and mathematical occupations,Summary,5416.7,5962.3,545.6,10.1,355.4,105850,—,—,—,
1. Materials & Processing,15-1211,Computer Systems Analysts,detailed,2021,50.0,0.0007036307345904869,        Computer systems analysts,Line item,521.1,566.5,45.5,8.7,34.2,103790,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1232,Computer User Support Specialists,detailed,2021,160.0,0.002251618350689558,        Computer user support specialists,Line item,729.5,702.5,-27.0,-3.7,40.8,60340,"Some college, no degree",nan,Moderate-term on-the-job training,SC or associate's
1. Materials & Processing,15-1244,Network and Computer Systems Administrators,detailed,2021,110.0,0.0015479876160990713,        Network and computer systems administrators,Line item,331.5,317.7,-13.8,-4.2,14.3,96800,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1251,Computer Programmers,detailed,2021,30.0,0.00042217844075429216,        Computer programmers,Line item,121.2,113.9,-7.2,-6.0,5.5,98670,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1252,Software Developers,detailed,2021,150.0,0.0021108922037714607,        Software developers,Line item,1693.8,1961.4,267.7,15.8,115.2,133080,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-1299,"Computer Occupations, All Other",detailed,2021,40.0,0.0005629045876723895,"      Computer occupations, all other",Line item,472.0,510.5,38.5,8.2,31.3,108970,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,15-2051,Data Scientists,detailed,2021,,,      Data scientists,Line item,245.9,328.3,82.5,33.5,23.4,112590,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-0000,Architecture and Engineering Occupations,major,2021,3750.0,0.052083333333333336,  Architecture and engineering occupations,Summary,2648.4,2788.3,139.9,5.3,186.5,97310,—,—,—,
1. Materials & Processing,17-2041,Chemical Engineers,detailed,2021,230.0,0.00323670137911624,      Chemical engineers,Line item,21.6,22.1,0.6,2.6,1.1,121860,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2071,Electrical Engineers,detailed,2021,40.0,0.0005629045876723895,        Electrical engineers,Line item,192.0,205.7,13.8,7.2,11.7,111910,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2072,"Electronics Engineers, Except Computer",detailed,2021,,,"        Electronics engineers, except computer",Line item,95.9,101.8,6.0,6.2,5.7,127590,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2081,Environmental Engineers,detailed,2021,,,      Environmental engineers,Line item,39.4,41.0,1.5,3.9,3.0,104170,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,2021,,,"        Health and safety engineers, except mining safety engineers and inspectors",Line item,23.8,24.9,1.1,4.4,1.5,109660,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2112,Industrial Engineers,detailed,2021,1800.0,0.02533070644525753,        Industrial engineers,Line item,351.1,389.6,38.5,11.0,25.2,101140,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2131,Materials Engineers,detailed,2021,130.0,0.001829439909935266,      Materials engineers,Line item,23.0,24.3,1.3,5.7,1.5,108310,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2141,Mechanical Engineers,detailed,2021,540.0,0.007599211933577259,      Mechanical engineers,Line item,293.1,319.6,26.5,9.1,18.1,102320,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-2199,"Engineers, All Other",detailed,2021,140.0,0.0019701660568533634,"      Engineers, all other",Line item,158.8,162.1,3.3,2.1,9.3,117750,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,17-3013,Mechanical Drafters,detailed,2021,100.0,0.0014072614691809737,        Mechanical drafters,Line item,42.9,40.1,-2.8,-6.5,3.3,68510,Associate's degree,nan,nan,SC or associate's
1. Materials & Processing,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,2021,60.0,0.0008443568815085843,        Electro-mechanical and mechatronics technologists and technicians,Line item,15.0,15.1,0.2,1.1,1.3,70760,Associate's degree,nan,nan,SC or associate's
1. Materials & Processing,17-3026,Industrial Engineering Technologists and Technicians,detailed,2021,390.0,0.005488319729805798,        Industrial engineering technologists and technicians,Line item,74.6,75.9,1.3,1.7,6.3,64790,Associate's degree,nan,nan,SC or associate's
1. Materials & Processing,17-3027,Mechanical Engineering Technologists and Technicians,detailed,2021,170.0,0.0023923444976076554,        Mechanical engineering technologists and technicians,Line item,38.3,38.3,0.0,0.0,3.2,68730,Associate's degree,nan,nan,SC or associate's
1. Materials & Processing,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2021,50.0,0.0007036307345904869,"        Engineering technologists and technicians, except drafters, all other",Line item,67.3,68.3,1.0,1.5,5.7,77390,Associate's degree,nan,nan,SC or associate's
1. Materials & Processing,19-0000,"Life, Physical, and Social Science Occupations",major,2021,960.0,0.013333333333333334,"  Life, physical, and social science occupations",Summary,1609.5,1690.4,80.9,5.0,144.7,78980,—,—,—,
1. Materials & Processing,19-2031,Chemists,detailed,2021,590.0,0.008302842668167746,        Chemists,Line item,86.8,91.0,4.3,4.9,6.3,84150,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,19-4031,Chemical Technicians,detailed,2021,170.0,0.0023923444976076554,      Chemical technicians,Line item,57.0,59.0,2.1,3.7,6.7,57790,Associate's degree,nan,Moderate-term on-the-job training,SC or associate's
1. Materials & Processing,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,2021,,,"        Life, physical, and social science technicians, all other",Line item,83.2,86.2,2.9,3.5,10.6,60130,Associate's degree,nan,nan,SC or associate's
1. Materials & Processing,19-5011,Occupational Health and Safety Specialists,detailed,2021,140.0,0.0019701660568533634,      Occupational health and safety specialists,Line item,131.9,148.4,16.5,12.5,14.9,83910,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,19-5012,Occupational Health and Safety Technicians,detailed,2021,,,      Occupational health and safety technicians,Line item,31.9,34.6,2.7,8.5,3.4,58440,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2021,230.0,0.0031944444444444446,"  Arts, design, entertainment, sports, and media occupations",Summary,3021.1,3104.6,83.5,2.8,289.4,60140,—,—,—,
1. Materials & Processing,27-1021,Commercial and Industrial Designers,detailed,2021,150.0,0.0021108922037714607,        Commercial and industrial designers,Line item,30.6,31.6,1.0,3.2,2.5,79450,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,27-1024,Graphic Designers,detailed,2021,,,        Graphic designers,Line item,265.9,271.5,5.7,2.1,20.0,61300,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,29-0000,Healthcare Practitioners and Technical Occupations,major,2021,,,  Healthcare practitioners and technical occupations,Summary,10067.5,10794.4,726.9,7.2,634.9,83090,—,—,—,
1. Materials & Processing,29-1141,Registered Nurses,detailed,2021,,,      Registered nurses,Line item,3391.0,3557.1,166.1,4.9,189.1,93600,Bachelor's degree,nan,nan,BA+
1. Materials & Processing,33-0000,Protective Service Occupations,major,2021,30.0,0.0004166666666666667,  Protective service occupations,Summary,3787.4,3816.6,29.1,0.8,423.6,50580,—,—,—,
1. Materials & Processing,33-9032,Security Guards,detailed,2021,30.0,0.00042217844075429216,        Security guards,Line item,1262.1,1267.1,5.1,0.4,161.0,38370,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2021,370.0,0.005138888888888889,  Building and grounds cleaning and maintenance occupations,Summary,5715.9,5832.9,117.1,2.0,788.7,36790,—,—,—,
1. Materials & Processing,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,2021,350.0,0.004925415142133408,"        Janitors and cleaners, except maids and housekeeping cleaners",Line item,2447.7,2495.5,47.8,2.0,351.3,35930,No formal educational credential,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,41-0000,Sales and Related Occupations,major,2021,1600.0,0.022222222222222223,  Sales and related occupations,Summary,14532.6,14234.8,-297.8,-2.0,1786.8,37460,—,—,—,
1. Materials & Processing,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,2021,70.0,0.0009850830284266817,      First-line supervisors of non-retail sales workers,Line item,320.0,320.0,0.0,0.0,24.8,84130,High school diploma or equivalent,Less than 5 years,nan,HS or less
1. Materials & Processing,41-2031,Retail Salespersons,detailed,2021,,,      Retail salespersons,Line item,3936.7,3917.1,-19.6,-0.5,555.8,34580,No formal educational credential,nan,Short-term on-the-job training,HS or less
