segment_id,segment_name,training_group,employment_base,employment_target,employment_change,pct_change,share_base,share_target,share_change
1,1. Materials & Processing,BA+,1010.2238836305461,966.3535420516746,-43.87034157887149,-0.04342635557299448,0.16246342482931486,0.16802272427560133,0.09397388447319016
1,1. Materials & Processing,,1291.80429716394,1184.4652697814158,-107.33902738252414,-0.08309232878244713,0.20774696948585766,0.2059464500083204,0.22992903623909727
1,1. Materials & Processing,,3916.1337512951145,3600.5076603326706,-315.62609096244387,-0.0805963511481349,0.6297896056848274,0.6260308257160782,0.6760970792877126
2,2. Equipment Manufacturing,BA+,218.5840051417633,220.23842355091168,1.6544184091483771,0.0075687990439895145,0.26653944020356185,0.2745862662578333,-0.09187346646117021
2,2. Equipment Manufacturing,,112.3351370895619,108.23765489515364,-4.097482194408258,-0.03647551692700959,0.13698049194232398,0.1349472678153898,0.22754213255943478
2,2. Equipment Manufacturing,,489.16213720269036,473.5976252114598,-15.564511991230574,-0.031818717777785055,0.5964800678541142,0.5904664659267769,0.8643313339017354
3,3. Forging & Foundries,BA+,632.3410114560011,548.0217205806855,-84.31929087531557,-0.13334465003490067,0.12688442211055226,0.1328344022444252,0.09827450286914928
3,3. Forging & Foundries,,879.6426941541436,734.5025565600253,-145.1401375941183,-0.1649989689662389,0.17650753768844218,0.17803529382789893,0.16916146614081112
3,3. Forging & Foundries,,3471.614760914398,2843.076556085344,-628.5382048290544,-0.18105067759981006,0.6966080402010054,0.6891303039276759,0.7325640309900396
4,4. Parts & Machining,BA+,754.6878086751323,753.0092204515689,-1.678588223563338,-0.0022242153699423466,0.1706372264187481,0.1789737600560029,0.007793264106436333
4,4. Parts & Machining,,701.5769753745011,654.7733495381201,-46.803625836381,-0.06671203229181982,0.15862870424171982,0.1556252502207414,0.21729749569399448
4,4. Parts & Machining,,2966.4970277434695,2799.589618067062,-166.9074096764075,-0.056264141887028704,0.670734069339532,0.6654009897232557,0.7749092401995692
5,5. Component Systems,BA+,800.3180821542185,788.8613888485513,-11.456693305667159,-0.01431517488000414,0.40821406347230865,0.4104836703607108,0.2956548262474083
5,5. Component Systems,,252.53939482610193,242.78330054716702,-9.75609427893491,-0.038631969818621506,0.12881144990665808,0.12633218169842703,0.25176866325513153
5,5. Component Systems,,907.6778248822241,890.1403798016572,-17.53744508056684,-0.019321222354244928,0.4629744866210333,0.46318414794086216,0.45257651049746017
6,6. Engineering & Design,BA+,6.335405446248221,6.495547902354826,0.1601424561066045,0.025277380818845563,0.71502843216897,0.7220370319238562,1.1793587217799855
6,6. Engineering & Design,,0.660747807277415,0.6452080122776507,-0.015539794999764323,-0.02351849651048473,0.07457351746547462,0.07172052075692592,-0.11444181145470286
6,6. Engineering & Design,,1.8642013299003373,1.855386409324982,-0.008814920575355156,-0.004728523917438904,0.21039805036555537,0.20624244731921784,-0.06491691032528261
7,7. Core Automotive,BA+,28420.73848797222,29477.977713350538,1057.2392253783182,0.037199569104291445,0.16420389461626408,0.16847156813732245,0.5590864708306066
7,7. Core Automotive,,19251.15945017174,18859.45959321535,-391.69985695639116,-0.020346819004342973,0.1112256586483386,0.10778496282166847,-0.20713768974305527
7,7. Core Automotive,,125410.10206185604,126635.5746934341,1225.4726315780572,0.009771721826473095,0.7245704467353974,0.7237434690410091,0.6480512189124487
8,"8. Motor Vehicle Parts, Materials, & Products Sales",BA+,19646.968930635714,20716.31565468315,1069.3467240474347,0.05442807630137755,0.17033959537572144,0.17712891851517706,0.6616646788393241
8,"8. Motor Vehicle Parts, Materials, & Products Sales",,60774.34609826608,60014.07059865597,-760.2754996101139,-0.012509809622317021,0.5269147398843946,0.5131331071618586,-0.47042501086543587
8,"8. Motor Vehicle Parts, Materials, & Products Sales",,34918.68497109821,36225.75974666086,1307.0747755626435,0.03743195875344372,0.3027456647398839,0.3097379743229643,0.8087603320261118
9,"9. Dealers, Maintenance, & Repair",BA+,6147.44206383908,6300.020290295166,152.57822645608576,0.024819790877508584,0.08832531700918218,0.08787128903718494,0.07279481644886465
9,"9. Dealers, Maintenance, & Repair",,34734.06209007435,35597.97077432211,863.9086842477554,0.024872089017616717,0.49905261623670044,0.4965126197873192,0.412169387199527
9,"9. Dealers, Maintenance, & Repair",,28718.495846086567,29798.01293538272,1079.5170892961542,0.037589611067435434,0.41262206675411733,0.415616091175496,0.5150357963516083
10,10. Logistics,BA+,3914.073253833027,3601.574161102707,-312.49909273032017,-0.07983986820489161,0.08347529812606426,0.08631932144470537,0.06050142033165726
10,10. Logistics,,10643.882879045981,9488.084725005965,-1155.798154040016,-0.1085880187873329,0.22700170357751245,0.227401963318626,0.22376842545419606
10,10. Logistics,,32331.043867120996,28634.188113891338,-3696.855753229658,-0.11434384143065575,0.6895229982964234,0.6862787152366686,0.7157301542141465
